#Selfie, The Chainsmokers
Clockwork, Easton Corbin
Clockwork, Ashley Roberts
Close Your Eyes And Count To F--k, Run The Jewels
Closer, Lee Brice
Closer, Rae Morris
Closer, FKA Twigs
Cloud Factory, Sonata Arctica
Clouds, Prince
Clouds, One Direction
Clueless, Usher
Coast Is Clear, Skrillex
Cobbler, Kelis
Coco, O.T. Genasis
Coconut Dracula, Islander
Cocoon, Catfish and the Bottlemen
Coins In A Fountain, Passenger
Cold, Rae Morris
Cold Cold Man, Saint Motel
Cold Night, You Me at Six
Cold One, Eric Church
Cold Summer, Fuel
Cold Sweat, Band of Skulls
Cologne, Clean Bandit
Colony Collapse, Architects
Colour Fields, Elbow
Come Get It Bae, Pharrell Williams
Come Join The Murder , The White Buffalo & The Forest Rangers
Come On Over, Royal Blood
Come Over, Clean Bandit
Come To, Bombay Bicycle Club
Come to Light, Arkells
Come Together, Echosmith
Comeback, Ella Eyre
"Comet, Come to Me", Me'Shell Ndegéocello
Coming Home, Kaiser Chiefs
Coming Home, Gorgon City
Coming of Age, Foster the People
Coming Up For Air, Phil Selway
Coming Up for Air, Cheryl Cole
Commas, Future
Compass, Sam Bailey
Compassion, Lucinda Williams
Completely Not Me, Jenny Lewis
Confession, Florida Georgia Line
Confidence, Matisyahu
Congregation, Foo Fighters
Conjure, Down
Conqueror, Estelle
Container, Fiona Apple
Conviction, Me'Shell Ndegéocello
Cope, Manchester Orchestra
"Coronus, the Terminator", Flying Lotus
Cosby Sweater, Hilltop Hoods
Counteract, Islander
Country Down, Beck
Country Nation, Brad Paisley
Country Side Of Heaven, Eric Paslay
Crash on the Highway, Hurray for the Riff Raff
Crazy For You, Scars on 45
Crazy Lucky, Better Than Ezra
Crazy Stupid Love, My Crazy Girlfriend
Crazy Stupid Love, Cheryl Cole
Creation, The Pierces
Crickets, Colt Ford
Criminal, Framing Hanley
Cross To Bear, Demon Hunter
Cross to Bier (Cradle of Bones), Hellyeah
Crown, Run The Jewels
Cruel Sexuality, La Roux
Cruel World, Lana Del Rey
Crusaders, LostAlone
Crushin' It, Brad Paisley
Crushing Grief (No Remedy), Neck Deep
Crying For No Reason, Katy B
Cucurucu, Nick Mulvey
Curry Chicken, Joey Bada$$
Curse Curse, James
Cusp of Eternity, Opeth
Custer, Slipknot
Cut the Cable, Umphrey's McGee
Cycle, Beck
Cynical Bastards, Arkells
D'usse, Lil Wayne
Daffodils, Mark Ronson
Daft Punk, Pentatonix
Damn These Dreams, Dierks Bentley
Dance With Me, Le Youth
Dangerous, Big Data
Dangerous, Rumer
Dangerous, David Guetta
Dangerous Days, Zola Jesus
Dangerous Love, Fuse ODG
Dar Um Jeito (We Will Find A Way), Santana & Wyclef
Dare (La La La), Shakira
Dare You, Mallory Knox
Dark Side, Eric Church
Dark Sunglasses, Chrissie Hynde
Daughters, Wild Beasts
Day Drinking, Little Big Town
Day Go By, Karen O
Days in the East, Drake
Days of Wine and Roses, Robin Gibb
Dazed and Confused, Jake Miller
De-Stress, Rebelution
Dead Air, Chvrches
Dead Friend, Against Me!
Dead Man Talking, Architects
Dead Man's Tetris, Flying Lotus
Dear Future Husband, Meghan Trainor
Dear Younger Me, MercyMe
Death, Demon Hunter
Death of Me, Andy Mineo
Decayin' With The Boys, Every Time I Die
Defenders, DragonForce
Delirious (Boneless), Steve Aoki
Denial, We Are Harlot
Dense Water Deeper Down, Sinéad O'Connor
Descent Into Madness, Flying Lotus
Desire, Years & Years
Desperado, Azealia Banks
Destination, Nickel Creek
Detroit Made, Bob Seger
Detroit Vs. Everybody, Eminem
Devil Pray, Madonna
"Devil, Devil  (Prelude: Princess of Darkness)", Eric Church
Diamond In The Witch House, Mastodon
Diamond Rings and Old Barstools, Tim McGraw
Diamonds, Common
Dibby Dibby Sound, DJ Fresh Vs Jay Fay
Did You Miss Me, Olly Murs
Didsbury Girl, Jimi Goodwin
Die Alone, Eminem
Die Tonight, Charli XCX
Difference Maker, Needtobreathe
Different Colors, Walk the Moon
Different Kind Of Christmas, Mark Schultz
Digital Witness, St. Vincent
Dirt, Florida Georgia Line
Dirt Road, Kip Moore
Dirty Lie, The Secret Sisters
Dirty Love, Cher Lloyd
Dirty Love, Wilkinson
Dirty Side, Colt Ford
Dirty Vibe, Skrillex
Dirty Water, Lecrae
Disappear (Remember When), Issues
Disappointed, Chlöe Howl
Disco//Very, Warpaint
Divine Sorrow, Wyclef Jean
Divine Youth, Manic Street Preachers
Do Better, Chris Brown
Do It, Selena Gomez
Do It Again, Röyksopp and Robyn
Do It Again, The Ting Tings
Do It All Over Again, Elyar Fox
Do The Damage, Noel Gallagher's High Flying Birds
Do They Know It's Christmas?, Band Aid 30
Do You, Spoon
Do You Even Know?, Rae Morris
Do You Know Where Your Children Are, Michael Jackson
Do You Love Me For Real, Big K.R.I.T.
Dog on a Leash, Adelitas Way
Doing It, Charli XCX
Don't, Ed Sheeran
Don't Be Gone Too Long, Chris Brown
Don't Change Gone, Jason Aldean
Don't Go Now, Phil Selway
Don't It, Kenny Chesney
Don't It, Billy Currington
Don't Kill the Magic, Magic!
Don't Know What It Means, Puss n Boots
Don't Let It Go Away, Alice Gross
Don't Look Down, Bring Me The Horizon
Don't Panic, French Montana
Don't Say Goodbye, Kem
Don't Say That, Superfood
Don't Shoot, Game
Don't Stop, 5 Seconds of Summer
Don't Take Me Home, Lindsay Ell
Don't Tell 'Em, Jeremih
Don't Tell Mama I Was Drinking, Frankie Ballard
Don't Tell Me, Joel Crouse
Don't Uncork What You Can't Contain, Suzanne Vega
Don't Wanna, Howler
Don't You Find, Jamie T.
Don't You Think It's Come Our Time, Johnny Cash
Don't You Wanna Fall, Frankie Ballard
Donkey, Jerrod Niemann
Doppelgänger, The Antlers
Double or Nothing, Alesana
Double Tap, Jordin Sparks
Down, The Kooks
Down for a Get Down, Josh Thompson
Down In The Hole, Bruce Springsteen
Down on My Luck, Vic Mensa
Down South, Lady A
Down The Wrong Way, Chrissie Hynde
Downtown, Kem
Downtown Love, G-Eazy
Dr. Who!, Tujamo and Plastik Funk
Draft Day, Drake
Drag Me To The Grave, Black Veil Brides
Drag You Around, Blondie
Drake Would Love Me, K. Michelle
Drawbar, Linkin Park
Dream Baby Dream, Bruce Springsteen
Dream for You, Casting Crowns
Dream Girl, Hunter Hayes
Dreaming a City (Hughesovka) , Manic Street Preachers
Dreaming of Houses, Nina Persson
Dreams, Boots
Drinking Class, Lee Brice
Drinking With The Jocks, Against Me!
Drinky Drink, Frankie Ballard
Drip, Howler
Drive, Warpaint
Driving Me Wild, Bryan Ferry
Drop Girl, Ice Cube
Drown, Theory Of A Deadman
Drown, Bring Me The Horizon
Drum + Fife, Smashing Pumpkins
Drunk, Angaleena Presley
Drunk Americans, Toby Keith
Drunk and Incapable, Krishane
Drunk on a Plane, Dierks Bentley
Drunk Walk Home, Mitski
Duane Allman, Amy Ray
Dumb, Jazmine Sullivan
Dust, Eli Young Band
Dust Clears, Clean Bandit
Dynamite, Afrojack
Dynamo, Johnny Marr
Earned It, The Weeknd
Earth Is the Loneliest Planet, Morrissey
Earthquake Driver, Counting Crows
Ease My Mind, Skrillex
Easy Love, David Nail
Easy Money, Johnny Marr
Echo, Vérité
Echo, Foxes
Edge Of A Revolution, Nickelback
Eez-eh, Kasabian
El Perdedor, Enrique Iglesias
Electric Blue, Nicole Scherzinger
Ember City, Mastodon
Embrace Another Fall  , Robert Plant
Emily, Lower Than Atlantis
Emotion (Ain't Nobody), Maverick Sabre
Emotions, Jennifer Lopez
Empire, Shakira
Empty Handed, Lea Michele
Empty Spirits, The Madden Brothers
End Of The Affair, Ben Howard
End Up Here, 5 Seconds of Summer
Endless Sleeper, The Raveonettes
English Garden, Roddy Frame
English Kids In America, Lower Than Atlantis
English Love Affair, 5 Seconds of Summer
Entitlement, Jack White
Eternal Sunshine, Jhené Aiko
Etta's Tune, Rosanne Cash
Eulogy For A Rock Band, Weezer
Europa Geht Durch Mich, Manic Street Preachers
Even My Dad Does Sometimes, Ed Sheeran
Everlasting Light, Dry the River
Every Age, José González
Every Breaking Wave, U2
Every Other Freckle, Alt-J
Every Time the Sun Comes Up, Sharon Van Etten
Everybody Else Can Kiss My Ass, Sunny Sweeney
Everyday Robots, Damon Albarn
Everyone Is Gay, A Great Big World
Everything, Katy B
Everything I Didn't Say, 5 Seconds of Summer
Everything Is Awesome, Tegan and Sara
Everything is Possible, Enation
Everything Is Wrong, Interpol
Everything To Me, Mac Powell
Everything's Gone, In Flames
EW!, Jimmy Fallon
Ex's & Oh's, Elle King
Exit Plan, Cold Specks
Explodes, Kasabian
Exquisite Tenderness, Red Dragon Cartel
Extraction Zone, DragonForce
Extraordinary, Clean Bandit
Eye of the Needle, Sia
Eyes Off You, Bombay Bicycle Club
Ezra's Interlude, Chromeo
F---ed My Way Up To The Top, Lana Del Rey
F---MYLIFE666, Against Me!
F--k It All, Elle Varner
Face Everything And Rise, Papa Roach
Fade Out Lines, The Avener
Faded, Zhu
Faith in Others, Opeth
Faithless, Black Veil Brides
Fake Money, Arkells
Fake Your Death, My Chemical Romance
Fallin' To Pieces, Adrenaline Mob
Falling, Jennifer Nettles
Falling Back, Marianne Faithfull
Falling Star, The Horrors
Fallinlove2nite, Prince
Famous, Kelleigh Bannen
Fancy, Iggy Azalea
Farm Life, Colt Ford
Fashion, Paolo Nutini
Fast Life, Professor Green
Faster Gun, Little Big Town
Fault Lines, Tom Petty & the Heartbreakers
Favorite, Nicki Minaj
Feed My Brain, Radkey
Feeder, Red Dragon Cartel
Feel, Bombay Bicycle Club
Feel It All, Tokio Hotel
Feel That, Vic Mensa
Feel The Adrenaline, Adrenaline Mob
Feeling Myself, Nicki Minaj
Feels Like Love, La Toya Jackson
Fever, The Black Keys
Fight Song, Rachel Platten
Figure It Out, Royal Blood
Filtered Truth, In Flames
Final Journey, Accept
Final Masquerade, Linkin Park
Find a Way, Nico & Vinz
Find You, Zedd
Fire, Michelle Williams
Fire, Jessie J
Fire Away, Skrillex
Fire Meet Gasoline, Sia
Fire Squad, J. Cole
Fireball, Pitbull
Fireflies, Richard Rawson
Fireproof, One Direction
Firestone, Kygo
First, Cold War Kids
First Flight Home, Jake Miller
First Love, Jennifer Lopez
First Things First, Neon Trees
First Time (Revised), Macy Gray
Fishin' for Something, Rachele Lynae
Five Hours (Don't Hold Me Back), Deorro
Five Tattoos, Ella Henderson
Fix My Eyes , For King & Country
FIXURLIFEUP, Prince
Flares, The Script
Flashlight, DJ Fresh
Flesh and Bone, The Pierces
Flicker, Atmosphere
Flicker, Porter Robinson
Flight, Lifehouse
Flora-Bama, Kenny Chesney
Fly, Phillip Phillips
Fly, Maddie & Tae
Fly Boy Blue/Lunette, Elbow
Fly On, Coldplay
Focused On You, Eric Bellinger
Foil, Weird Al Yankovic
Folie A Deux, Me'Shell Ndegéocello
Follow, Mary J. Blige
Following the Angels, Mike Oldfield
Fool's Gold, One Direction
Foolish Father, Weezer
For the Dancing and the Dreaming," Gerard Butler, Craig Ferguson & Mary Jane Wells"
For The Girls, Vincent Poag
Forbidden Fruit, Kandace Springs
Foreign (Remix), Trey Songz
Forever, Kari Jobe
Forever, Andy Grammer
Forever, Eric Hutchinson
Forever Don't Last, Jazmine Sullivan
Forever Love, Robin Thicke
Forever Stuck In Our Youth, Set It Off
Forgive & Forget, The Kooks
Forgive and Forget, You Me at Six
Forgive Me, Joel Compass
Forgive Someone, Morrissey
Forgotten Man, Tom Petty & the Heartbreakers
Four Door Aventador, Nicki Minaj
Fragile, Midge Ure
Frankenstein, Lenny Kravitz
Frankie Fell In Love, Bruce Springsteen
Free My Love, DEC3
Free the Madness, Steve Aoki
Freestyle, Lady A
Freq, Pharrell Williams
Friday Fish Fry, Kelis
Friendly Fire, Nothing More
Friends & Lovers Intro, Marsha Ambrosius
From a Closet in Norway (Oslo Blues), You+Me
From Eden, Hozier
From Here to the Moon and Back, Dolly Parton
From My Cold Dead Hands , Hatriot
From the Backseat, Lucy Hale
From The Night, Stars
Froot, Marina
FTPA, Gorgon City
Fun, Pitbull
Futurology, Manic Street Preachers
För Alla Namn Vi Inte Får Använda, The Knife
G.D.F.R., Flo Rida
G.O.M.D., J. Cole
Gangsta, ScHoolboy Q
Gasoline, Demon Hunter
Gecko (Overdrive), Oliver Heldens x Becky Hill
Generation Day, Godsmack
Georgia, Vance Joy
German Whip, Meridian Dan
Geronimo, Sheppard
Get 'Em Up, Nickelback
Get Around To It, One Night Only
Get Bronx, Sick of It All
Get Her Back, Robin Thicke
Get Hurt, The Gaslight Anthem
Get It On, Joey Hyde
Get Low, Dillon Francis
Get on Your Knees, Nicki Minaj
Get Over It, McBusted
Get Ready for It, Take That
Get Up and Get Out, Sharon Jones & The Dap-Kings
Getting It Out, McBusted
Ghost, Ella Henderson
Ghost, Jake Miller
Ghost, Halsey
Ghost In The Mirror, Mallory Knox
Ghost Of The Empties, Jimi Goodwin
Ghosts, Laura Welsh
Ghosttown, Madonna
Giant In My Heart, Kiesza
Giant's Rolling Pin, Tori Amos
Giants Fall, Francesca Battistelli
Gimme Something, Ryan Adams
Girl Almighty, One Direction
Girl Crush, Little Big Town
Girl Fight, Slaves
Girl in a Country Song, Maddie & Tae
Girlfriends, Joel Compass
Girls, Miranda Lambert
Girls Chase Boys, Ingrid Michaelson
Girls in Bikinis, Lee Brice
Give Me Back My Hometown, Eric Church
Give Me Your Hand (Best Song Ever), The Ready Set
Give My Love to London, Marianne Faithfull
Giving Into Seeing, Cloud Nothings
Giving Up Everything, Natalie Merchant
Glass, Mø
Glass, Kasabian
Glass Castle, The Word Alive
Glass Hearts, Of Mice & Men
Glorious, Foxes
Glory, John Legend
Gloryhole, Steel Panther
Glow, Ella Henderson
Go, Grimes
Go All Night, Gorgon City
Go Away, Weezer
"Go Down, Moses", Natalie Merchant
Go In, Warpaint
God I Get It, K. Michelle
God Made Girls, RaeLynn
God of Ocean Tide, Counting Crows
God Only Knows, Brian Wilson and Various Artists
God Went North, Nothing More
Goddess, Banks
Gold, Imagine Dragons
Gold Coins, Charli XCX
Goldmine, Kimbra
Gone, Miss May I
Gone Green, Brad Paisley
Gonna, Blake Shelton
Gonna Know We Were Here, Jason Aldean
Gonna Wanna Tonight, Chase Rice
Good Bye Reyhaneh, Hussam Ezz Eldin
Good Country Song, Blake Shelton
Good Girls, 5 Seconds of Summer
Good Kisser, Usher
Good Morning Heartache, Jamie Cullum
