#29 Strafford Apts, Bon Iver
Alpha Female, Wild Beasts
Already Dead, I Prevail
Am I Savage? , Metallica
Amen, Hunter Hayes
American Country Love Song, Jake Owen
American Soul, Phil Vassar
American Valhalla , Iggy Pop
Amerika, Young the Giant
Amerika, Wintersleep
An Act Of Kindness, Bastille
Anahorish, Lisa Hannigan
And Then There Was You , Norah Jones
Angel Down, Lady Gaga
Angela, The Lumineers
Angelica, Slaves
Angels In Chelsea, Rachel Platten
Angels In This Town, Eric Paslay
Angels Protect This Home, Billy Ray Cyrus
Animal Style, Biffy Clyro
Annabelle, Macy Gray
Any Ol' Barstool, Jason Aldean
Anyone But Me, Danny Worsnop
Anyone Who Knows Me, Eric Hutchinson
Anywhere You Want to Go, Santana
Apocalypse, Jackie Evancho
Are We Ready? (Wreck) , Two Door Cinema Club
Are You Lost in the World Like Me?, Moby
Around The World, Kings of Leon
Ascending, Jonathan Jackson + Enation
Ascension, Killswitch Engage
Ask Me How I Know, Garth Brooks
Asking 4 It, Gwen Stefani
Astronauts, Rachel Platten
At Night (I Think About You) , MNEK
"At Night, Alone", Mike Posner
"Atlas, Rise!", Metallica
Atomic Number, case/lang/veirs
Auld Wives, Bear's Den
Aviation, The Last Shadow Puppets
B.E.D., Jacquees
Babe, Emeli Sandé
Babies, David Nail
Baby Boy , Childish Gambino
"Baby, Let's Lay Down and Dance", Garth Brooks
Back Around , Olly Murs
Back from the Dead , Skillet
Back From The Edge , James Arthur
Back to Life, Alicia Keys
Back To Me, Marian Hill
Back To The River, The Pretty Reckless
Bacon, Nick Jonas
Bad and Boujee, Migos
Bad Boy, Miranda Lambert
Bad Decisions, Two Door Cinema Club
Bad Guy, Islander
Bad Habits, The Last Shadow Puppets
Bad Things, Machine Gun Kelly
Bad Vibrations, A Day to Remember
Baggage, Drive-By Truckers
Bake Sale, Wiz Khalifa
Bang Bang, Green Day
Baptized in Fire, Kid Cudi
Bar at the End of the World, Kenny Chesney
Barmaid's Blues, The Honeycutters
Battles, The Afters
Be Alright, Ariana Grande
Be Mean, DNCE
Beating Me Up , Rachel Platten
Beats To Your Rhythm, The Shires
Beautiful Broken, Heart
Beautiful People, Mark Pritchard
Beautiful Thing, The Stone Roses
Because I'm Me, The Avalanches
Bedroom Warfare, One Ok Rock
Been A Long Time, Mustard
Been To The Moon, Corinne Bailey Rae
Befour, Zayn
Beggin & Pleadin', Brandy
Behind Bars, Mover
Believer, Major Lazer
Berlin Got Blurry, Parquet Courts
Bet You Still Think of Me, Blake Shelton
Better, Meghan Trainor
Better, Hezekiah Walker
Better Love, Hozier
Better Man, Little Big Town
Better Place, Rachel Platten
Better Place, Kane Brown
Better to Have a Drink to Think, Clarke:Hartnoll
Better You, Zara Larsson
Between Wind And Water, Hael
Between You and Me, Justin Moore
Beyond The Matrix, Epica
Bibi The Dog , M83
Bible And A .44, Ashley McBryde
Big Amount, 2 Chainz
Big Bad Wolf, Fifth Harmony
Big Cat, Wild Beasts
Bing Bong, Super Furry Animals
Bird Song, M.I.A.
Bitter Fruit, The Kills
Bitter Salt, Jake Bugg
Black, Dierks Bentley
Black Barbies, Nicki Minaj
Black Beatles  , Rae Sremmurd
Black Honey, Thrice
Black Is the Soul, Korn
Black Man In A White World, Michael Kiwanuka
Black Rose, Volbeat
Black Water Lilies, Aurora
Blackbird, Madness
Blackout, Garbage
Blame, Bastille
Blame-shifter, Jonathan Jackson + Enation
Blended Family (What You Do For Love), Alicia Keys
Blessings, Chance the Rapper
Blind Pig, Emmi
Blink Of An Eye, Tori Kelly
Blood Eagle Wings, Anthrax
Blow Your Mind (Mwah), Dua Lipa
Blown, DNCE
Blue Ain't Your Color, Keith Urban
Blue And Lonesome , The Rolling Stones
Blue Lights, Jorja Smith
Blue Wall, Issues
Body, Dreezy
Body Moves, DNCE
Boom ADD , M.I.A.
Borderline (An Ode To Self Care) , Solange
Bored To Death, blink-182
Bored to Death, Eric Hutchinson
Born in Dissonance, Meshuggah
Both, Gucci Mane
Bounce, 2 Chainz
Bounce Back , Big Sean
Boy Gets a Truck, Keith Urban
Boyfriend, Tegan and Sara
Boyfriend Jeans, Grace
Boys & Girls, will.i.am
Boys That Sing, Viola Beach
Brad Pitt's Cousin, Macklemore & Ryan Lewis
Brave Enough, Lindsey Stirling
Bread, Laura Mvula
Break, I See Stars
Break Into Your Heart , Iggy Pop
Breakin' Outta Hell, Airbourne
Breakin' Point, Peter Bjorn and John
Breaking Into Aldi, Fat White Family
Breathe Life, Jack Garratt
Breathing Lightning, Anthrax
Breathing Underwater , Emeli Sandé
Breathlessly Waiting, Funeral Suits
Bring On The Holidays , tobyMac
Broccoli , D.R.A.M.
Broke Down, Cole Swindell
Broken Glass, Sia
Broken Halos, Chris Stapleton
Brotherhood of the Snake, Testament
Brothers Without A Name, Lucifer's Friend
Buckshot, Macklemore & Ryan Lewis
Built This Pool, blink-182
Bulletproof, Young Guns
Bullfight, A Day to Remember
Burden, Foy Vance
Buried In Detroit , Mike Posner
Burn It Down, Fitz and the Tantrums
Burn The Witch, Radiohead
Burning Bright (Field on Fire), Nine Inch Nails
Burnout, Beartooth
Bury Me in My Boots, The Cadillac Three
Busted, The Dustbowl Revival
Buy Love, Future
BWU, Tegan and Sara
By Your Side, Jonas Blue
C'mon, Little Big Town
C++ (Love Will Get You Killed), Every Time I Die
California, blink-182
California Kids , Weezer
Call Come Runnin', Taking Back Sunday
Call It What It Is, Ben Harper & the Innocent Criminals
Call Me, Imelda May
Call On Me, Starley
Call To Arms, Sturgill Simpson
Calling All My Lovelies , Bruno Mars
Calling Out Your Name, Kiefer Sutherland
Came Here to Forget, Blake Shelton
Campaign, Ty Dolla $ign
Campaign Speech, Eminem
Can't Be Replaced, Dierks Bentley
Can't Be That Wrong, Dolly Parton
Can't Get Enough of Myself, Santigold
Can't Stay Away, Kiefer Sutherland
Can't Stop Me Now (Destination), Lecrae
Can't Stop The Feeling!, Justin Timberlake
Candles and Stars, Sam Phillips
Candyland, Love and Theft
Cannonball, Grouplove
Capsize, Frenship
Carnival Of Fools, Primal Scream
Caroline, Aminé
Carpet, Frenship
Carry Me, Kygo
Carry On, Norah Jones
Castro, Yo Gotti
Casual Party, Band of Horses
Catherine the Great, The Divine Comedy
Cave Song, Pretty Vicious
Certanity, Temples
Chain Breaker, Zach Williams
Chain of Keys, PJ Harvey
Chainsaw, Nick Jonas
Champagne Problems, Nick Jonas
Champagne Problems, Meghan Trainor
Champions, Kanye West
Change, J. Cole
Chantaje, Shakira
Chasing Shadows, Santigold
Cheap Cologne, William Michael Morgan
Cheap Thrills, Sia
Cheaper To Drink Alone, Black Stone Cherry
Chemical Switches, Andrew Bird
Chevrolet DJ, Cole Swindell
Chewing Gum, Nina Nesbitt
Child's Play, Drake
Chill Bill, Rob $tone
Chill Out, Ray BLK
Chocolate Drops, Iggy Pop
Christmas Makes Me Cry , Kacey Musgraves
Chunky, Bruno Mars
Cigarette, Frankie Ballard
Circle Of Love , Jennifer Nettles
Circles, Pierce the Veil
CIRKLON3, Aphex Twin
City Lights , Wolfmother
City of Angels , The Head and the Heart
Classic Masher, Pixies
Clean Up On Aisle Five, Mo Pitney
Clear, Needtobreathe
Cleopatra, The Lumineers
Cliffs, Farro
Clockworks, Meshuggah
Close, Nick Jonas
Close Encounters, Bat for Lashes
Close To You, Rihanna
Closer, The Chainsmokers
Closer To an Animal, Sonata Arctica
Clumsy, Britney Spears
Coalesce (Synesthesia Pt. II) , Jack Garratt
Coco, Foy Vance
Coconut Oil, Lizzo
Cocoon, Milky Chance
Cold, Maroon 5
Cold Little Heart, Michael Kiwanuka
Cold Spot, Kane Brown
Cold Water, Major Lazer
Cold Winter Sun, Demon Hunter
Come and See Me, PartyNextDoor
Come Around, Snootie Wild
Come to Jesus , Faith Hill
Come To Mama , Lady Gaga
Comeback Kid, The Band Perry
Complicated, Fitz and the Tantrums
Conceal, Banks and Steelz
Confession, M. Ward
Confusion, Metallica
Congratulations, Rachel Platten
Congratulations, Post Malone
Conqueror, Aurora
Consequence Of Love, Gregory Porter
Consideration, Rihanna
Consume Or Be Consumed, Slaves
Contagious, Of Mice & Men
Controlla , Drake
Conversation Piece, Kings of Leon
Cooked Food, Wretch 32
Cool Girl, Tove Lo
Cool Papa Bell, Paul Simon
Coward, Yael Naïm
Cowards, Raleigh Ritchie
Cowboys and Friends, Garth Brooks
Cranes In The Sky, Solange
Crazy=Genius, Panic! At The Disco
Creating God , Avenged Sevenfold
Cruel, Snakehips
Cruel World, Phantogram
Cruisin', Colbie Caillat
Crush, Yuna
Cry, Sigma
Cry Baby, Melanie Martinez
CRZY, Kehlani
Cut Me Loose, Killswitch Engage
Cut To The Feeling, Carly Rae Jepsen
Cute, D.R.A.M.
Cynical, blink-182
D.R.A.M. Sings Special, Chance the Rapper
D.R.U.G.S., Ab-Soul
Daddy, Tom Odell
Daddy Lessons, Beyoncé
Daddy's Little Girl, The Shires
Damn Drunk, Ronnie Dunn
Dance Like Yo Daddy, Meghan Trainor
Dance Monkey, Magic!
Dancin' In Circles , Lady Gaga
Dancing Around It, Charles Kelley
Dandy, Ian Hunter
Dang!, Mac Miller
Dangerous Woman , Ariana Grande
Dangerously, Charlie Puth
Dark Energy, The Cult
Dark Necessities, Red Hot Chili Peppers
Darkened Flags on the Cusp of Dawn, Drive-By Truckers
Darkness and Light , John Legend
Daughter, Brandy Clark
David's Song, Robbie Williams
Day Dream, Gregory Porter
Daybreak, DevilDriver
Daydreaming, Radiohead
Dear Life, Beck
Dear Me, Eric Hutchinson
Death Dream, Frightened Rabbit
Deep, Robin Thicke
Deep Blues, Kano
Defeatist, Eisley
Deja Vu , J. Cole
Delirium, Lacuna Coil
Delirium, case/lang/veirs
Demagogue, Franz Ferdinand
Demolition Man, Lucifer's Friend
Demons, Against The Current
Desert Island Disk, Radiohead
Despacito, Luis Fonsi
Desperado, Rihanna
Detour, Cyndi Lauper
Detroit, Red Hot Chili Peppers
Devastated, Joey Bada$$
Device Control, Frank Ocean
Diamond, Martina McBride
Diamond Heart, Lady Gaga
Diamonds, RaeLynn
Die For A Lie, Anvil
Different Drugs, Bloc Party
Different for Girls, Dierks Bentley
Dig Your Roots, Florida Georgia Line
Digging for Windows, Zack de la Rocha
Dirt on My Boots , Jon Pardi
Dirty Mercy, Gin Wigmore
Dis Generation, A Tribe Called Quest
Distance Inbetween, The Coral
Distant Sky, Nick Cave & the Bad Seeds
Distraction, Kehlani
Divorce Separation Blues, The Avett Brothers
Dizzy, THANKS
Do You Ever Think Of Me?  , Corinne Bailey Rae
Do You Mind, DJ Khaled
Do You Wanna Come Over?, Britney Spears
Do You Wish It Was Me?, Gary Allan
Doing It to Country Songs, Blake Shelton
Doing It To Death, The Kills
Doing The Right Thing , Daughter
Dollar Days, David Bowie
Dominos, Peter Bjorn and John
Don't Be A Fool, Gregory Porter
Don't Cry, Mavis Staples
Don't Ever Play Yourself, DJ Khaled
Don't Hurt Yourself , Beyoncé
Don't Let Me Down, The Chainsmokers
Don't Lose Your Steam, Gregory Porter
Don't Need You , Bullet For My Valentine
Don't Talk To Strangers, Lucifer's Friend
Don't Threaten Me With A Good Time, Panic! At The Disco
Don't Touch My Hair, Solange
Don't Wanna Know, Maroon 5
Don't Worry About Me, Frances
Don't You Wait , Solange
Doomed User, Deftones
Doors Of Heaven, Lucinda Williams
Dope, T.I.
Down, Marian Hill
Down In A Hole, Kiefer Sutherland
Down That Road, Alisan Porter
Dre, Warpaint
Dream of You and I, Jeff Buckley
Dream On, Amy MacDonald
Dreams Of A Samurai, Red Hot Chili Peppers
Drinkee, Sofi Tukker
Drinkin' Problem, Midland
Drinkin' Smokin' Cheatin', Brandy Clark
Drive, The Shires
Drug Dealer, Macklemore
Drug Dealers Anonymous, Pusha T
Drugs, Formation
Drum, Mø
Drunk in Heels, Jennifer Nettles
Drunk Like You, The Cadillac Three
Dull Times/The Moon, Band of Horses
Dust, Lucinda Williams
Dying to Know, Tegan and Sara
Dystopia, Megadeth
Déjà Vu, Twenty88
Déjà Vu, Post Malone
Easy Street, The Collapsable Hearts Club
Echoes, Young Guns
El Camino, Frankie Ballard
Elevated, Wiz Khalifa
Embrace The Journey... Upraised, Killswitch Engage
Empires Attraction, Matt Corby
Empty, Garbage
Encore, Graham Nash
Encore, Red Hot Chili Peppers
End of the Rainbow, Barry Gibb
Enemies, Chevelle
Enlighten Me, Grouplove
EOS, Rostam
"Equal Rights, Equal Lefts", Otep
Escalator, Melanie C
Even Though Our Love Is Doomed, Garbage
Every Time I Hear That Song , Blake Shelton
Everybody, Don Broco
Everybody Dies Young, Jake Owen
Everybody We Know Does, Chase Rice
Everyday, Ariana Grande
Everything It Takes, Loretta Lynn
Everything You've Come To Expect, The Last Shadow Puppets
Evil, Savages
Evil Eye, KT Tunstall
Exercise Man, The Dean Ween Group
Exist, Avenged Sevenfold
Exit, Jean-Michel Jarre
Exposed, A Day to Remember
F--k With Myself, Banks
F.U.B.U., Solange
FAB., JoJo
Facebook Story, Frank Ocean
Fade, Kanye West
Fair Weather Friend, Beartooth
Faith, Stevie Wonder
Faith & Grace, Lucinda Williams
Faithful, Drake
Fake It, Bastille
Fake Love, Drake
Fake My Own Death, Sum 41
Falling, Trent Harmon
Falling Into You, Hillsong Young & Free
False Alarm, The Weeknd
False Prophets (Be Like This) , J. Cole
Familiar, Agnes Obel
Famous, Kanye West
Famous, Nathan Sykes
Far Cry, Jack Garratt
Fat Calmed Kiddos, Hinds
Father Stretch My Hands Pt. 1, Kanye West
Father Stretch My Hands Pt. 2, Kanye West
FDT, YG
Feasting On The Flowers, Red Hot Chili Peppers
Feel Invincible, Skillet
Feel It, 21 Savage and Metro Boomin
Feel No Ways, Drake
Feelin' Fuzzy, Black Stone Cherry
Feet Don't Fail Me Now, Foxes
Fences, Taking Back Sunday
Fermi Paradox, Avenged Sevenfold
Fields & Fences, Yellowcard
Fig In Leather, Devendra Banhart
Fight Like Hell, Tucker Beathard
Fight Sleep, Dagny
Fighter, David Nail
Fighter, Far East Movement
Figure It Out, French Montana
Filthy and Fried, Drive-By Truckers
Final Song , Mø
Finally, James Arthur
Find Me, Kings of Leon
Find Me, Sigma
Finesse, Bruno Mars
Fingertips, OneRepublic
Fire, Barns Courtney
Fire, Justice
Fire & Desire, Drake
Fire Is Ours, Makana
First Day Out, Tee Grizzley
First Kill, Amon Amarth
First Time Again, Jason Aldean
Five Finger Discount, Kacey Musgraves
Fix, Chris Lane
Flatline, Wilkinson
Flatline, B.o.B
Flatliner, Cole Swindell
Flaws, Olly Murs
Flexicution, Logic
Flipside, Norah Jones
Float, Switchfoot
Float Your Boat, Ryan Follesé
Floral & Fading, Pierce the Veil
Flow Of The Year, Kano
FML, Kanye West
Foldin Clothes, J. Cole
Fool For You, Zayn
Footprints, Sia
For Billy, Highly Suspect
For Evigt, Volbeat
For Free, DJ Khaled
For Her, Chris Lane
For Whom the Bell Tolls , J. Cole
For You, Brian Owens & the Deacons of Soul featuring Michael McDonald
Foreign Policy, Megadeth
Forever Country," Artists of Then, Now & Forever"
Forever Now (Say Yes), Kristian Bush
Foreverland, The Divine Comedy
Forget Me Now, Against The Current
Forgive and Forget, A Day to Remember
Forgiveness, Santana
Formation, Beyoncé
Fortress, Bloc Party
Forward, Beyoncé
Four Walls (The Ballad of Perry Smith) , Bastille
Four Years of Chances , Margo Price
Frankie Sinatra, The Avalanches
Free, Broods
Free & Brave, Con Brio
Free on the Wing, Blackberry Smoke
Freedom, Pitbull
Freedom, Beyoncé
Freedom, Dierks Bentley
Freedun, M.I.A.
French African Queen, Gregory Porter
Frequency, Kid Cudi
Fresh Eyes, Andy Grammer
Friends, Blake Shelton
Friends, Francis and the Lights
Friends and Enemies, Biffy Clyro
From the Ground Up, Dan + Shay
From The Outside, Bizzle
Ful Stop , Radiohead
Full Swing, AlunaGeorge
Furnaces, Ed Harcourt
Futura Free, Frank Ocean
Game of War , Of Mice & Men
Gameshow, Two Door Cinema Club
Gangsta, Kehlani
Garden, Hinds
Garden, Emeli Sandé
Gardenia, Iggy Pop
Garry, The Dean Ween Group
Gemini Feed, Banks
General, Yo Gotti
Generation Idiot, Nonpoint
Genghis Khan, Miike Snow
German Days, Iggy Pop
Get My Bang, Wild Beasts
Get Out, Frightened Rabbit
Get Over It, Rat Boy
Get Right, Jimmy Eat World
Get You, Daniel Caesar
Ghost In The Mist, Lacuna Coil
Ghost Melody, Beyond The Labyrinth
Giant, Banks and Steelz
Gimme The Love, Jake Bugg
Girl Can't Be Herself , Alicia Keys
Girl I Met On The Internet, Girli
Girl Loves Me, David Bowie
Girl Next Door, Brandy Clark
Girls Like, Tinie Tempah
Girls Talk Boys, 5 Seconds of Summer
Give It Up, Nathan Sykes
Give Me Your Love, Sigala
Giving It Up, Mallory Knox
Glass Eyes , Radiohead
Glitches, Every Time I Die
Glitter and Gold, Barns Courtney
Gloria, Magic!
Glory, Bastille
Glow, Brett Eldredge
Go Ahead and Break My Heart , Blake Shelton
Go Flex, Post Malone
Go Robot, Red Hot Chili Peppers
Go!, M83
Goals, Dej Loaf
God Damn, Avenged Sevenfold
"God Is Fair, Sexy, Nasty", Mac Miller
God Provides, Tamela Mann
God's Gift, Candlebox
"God, Your Mama, and Me", Florida Georgia Line
Godspeed, Frank Ocean
Godspeed, Tech N9ne
Gold, Iggy Pop
Golden Days, Panic! At The Disco
Golden Gal, Animal Collective
Golden Rope, Primal Scream
Goldmine, Colbie Caillat
Gone, Afrojack
Gone Missing, Shift K3Y
Gone Tomorrow (Here Today) , Keith Urban
Gonnawanna, Deap Vally
Good as Gold, Frankie Ballard
Good As Hell, Lizzo
Good at Tonight , David Nail
Good Day , DNCE
Good Drank, 2 Chainz
Good Girls, Nick Jonas
Good Grief, Bastille
Good To Love, FKA Twigs
Goodbye Angels, Red Hot Chili Peppers
Goodbye Back, Justin Moore
Goodbye Forever, Volbeat
Goosebumps, Travis Scott
Gore, Deftones
Got Em Like , K. Michelle
Got It Good, Craig David
Got Me Gone, David Nail
Gotta Get You Home, Randy Houser
Gotta Lotta, 2 Chainz
Grace to Grace, Hillsong
Grammys, Drake
Grandma's Garden, Zac Brown
Grass Ain't Greener, Chris Brown
Gravity Don't Pull Me, Rostam
Great Is The Lord, Housefires
Greatest Love Story, Lanco
Green Aphrodisiac, Corinne Bailey Rae
Greens Of June, case/lang/veirs
Greyhounds, De La Soul
Grigio Girls , Lady Gaga
Groovy Tony, ScHoolboy Q
Grow Up , Olly Murs
Growing Pains, Birdy
Guilty, Newsboys
Gum, The Dean Ween Group
Guns of Umpqua, Drive-By Truckers
Guys My Age, Hey Violet
H.O.L.Y. , Florida Georgia Line
Ha Ha Ha Ha (Yeah) , White Denim
Haitians, Lajan Slim
Halifax, Pete Yorn
Hallelujah, Alicia Keys
Halo On Fire, Metallica
HandClap, Fitz and the Tantrums
Hands - A Song For Orlando, Various Artists
Hang Me Out To Dry, Metronomy
Hang On to the Night, Tegan and Sara
Happiness, Needtobreathe
Happy Birthday, Kygo
Hard as I Can, Joey Landreth
Hard Love , Needtobreathe
Hardwired, Metallica
Harmony, The Avalanches
Hate by Design, Killswitch Engage
Haters, TLC
"Haunting, Haunted, Haunts", Against Me!
Have It All, Magic!
He Didn't Mention His Mother, Eleanor Friedberger
Head Carrier, Pixies
Heading South On The Great North Road, Sting
Heads Up, Warpaint
Heart Of A Dog, The Kills
Heartache on the Dance Floor, Jon Pardi
Heartbreak, Natalie Stovall and the Drive
Heartbreak Song, Mickey Guyton
Hearts I Leave Behind , Craig Morgan
Hearts in Motion, Yuck
Hearts/Wires, Deftones
Heathens, Twenty One Pilots
Heaven Help Us, Justin Rutledge
Heavy Entertainment Show, Robbie Williams
Heavy Thoughts, Al Atkins
Hell No, Ingrid Michaelson
Hell Of A Girl, Grace
Hell On A Highway, Justin Moore
Hell To Pay, Drowning Pool
Hello Friday, Flo Rida
Help From Heaven, Matt Redman
Helpless, Ashanti
Hendrix, Wyclef Jean
Here Come my Demons, Kula Shaker
Here Comes Revenge, Metallica
Here I Am, Asking Alexandria
Here I Am, Tom Odell
Here Until Forever, In Flames
Here's to the Farmer, Luke Bryan
Herex, Biffy Clyro
Hero, Lissie
Hey Girl, Lady Gaga
Hey Heartbreak, Jennifer Nettles
Hey Hey Hallelujah, Rachel Platten
"Hey, I Won't Break Your Heart", Corinne Bailey Rae
High and Low, Empire of the Sun
High Note, Mavis Staples
Higher, Rihanna
Highlights, Kanye West
Highway Vagabond , Miranda Lambert
Highways and Clouds, Amos Lee
Hinterland, The Cult
History Has Its Eyes On You, John Legend
Hocus Pocus, Animal Collective
Hold My Heart, Lindsey Stirling
Hold On, Richard Ashcroft
Hold On to Our Love , Tom Chaplin
Hold Up, Beyoncé
Holdin' Out, The Lumineers
Holy Key, DJ Khaled
Holy War, Alicia Keys
Home, David Nail
"Home For Grave, Pt. 2", The Devil Wears Prada
Home Is Such a Lonely Place, blink-182
Home of the Strange, Young the Giant
Hometown, Kane Brown
Hometown Girl, Josh Turner
Honey Sweet, Blossoms
Honeymooning Alone, Bat for Lashes
Hoodwinker, Enter Shikari
"Hook, Line And Sinker", Royal Blood
Hope, Lisa Heller
Hopeless Romantic, Meghan Trainor
Horses & Chariots, Billy Talent
Hostage, Klangstof
Hot Beer and Cold Women, Randy Houser
Hotter Than Hell, Dua Lipa
House of Earth, Lucinda Williams
House Of Shame, Lacuna Coil
How Does It Feel, Tonight Alive
How Far I'll Go, Alessia Cara
How Great, Chance the Rapper
How It's Done, Maren Morris
How Not To, Dan + Shay
How To Kiss A Boy, LeAnn Rimes
Howl, Biffy Clyro
Hum Along & Dance (Gotta Get Down) , Janelle Monáe
Hum For Your Buzz, The Kills
Human, Rag'n'Bone Man
Human Performance, Parquet Courts
Hungry Ham , A$ap Ferg
Hurtin, Loverboy
Hurtin' (On the Bottle), Margo Price
Hurts, Emeli Sandé
Hype, Drake
I Am The Enemy, Sepultura
I Broke Up In Amarante, Los Campesinos!
I Can't Be Mad , Nathan Sykes
I Can't Give Everything Away, David Bowie
I Can't Stand You Anymore , Sleigh Bells
I Can't Stop Thinking About You , Sting
I Could Use a Love Song , Maren Morris
I Do, Bat for Lashes
I Don't Know How To Reach You, Suede
I Don't Know My Name, Grace VanderWaal
I Don't Wanna Live Forever, Taylor Swift
I Exhale, Underworld
I Fall Apart, Post Malone
I Feel It Coming, The Weeknd
I Forgive It All, Mudcrutch
I Get It Now, Tech N9ne
I Got The Keys, DJ Khaled
I Got You, Bebe Rexha
I Hate Myself, Pretenders
I Hate U I Love U , Gnash
I Have This Hope, Tenth Avenue North
I Know, Shovels & Rope
I Know All About It, Lucinda Williams
I Lie Awake Every Night  , James Vincent McMorrow
"I Like It When You Sleep, for You Are So Beautiful Yet So Unaware of It", The 1975
I Love Me, Meghan Trainor
I Love The USA, Weezer
I Love You, A$ap Ferg
I Make My Own Sunshine, Steven Tyler
I Met a Girl, William Michael Morgan
I Met Merle Haggard Today , Mo Pitney
I Need a Forest Fire, James Blake
I Need Something New, Savages
I Remember, AlunaGeorge
I See A Victory , Pharrell Williams
I Wanna Be, Katy B
I Wanna Love Like That Again , Ronnie Dunn
I Want a Love, Lonestar
I Want You, Marian Hill
I Went Too Far, Aurora
I Will Be There, Eric Clapton
I Will Love Again, Bat for Lashes
I Wish You Were Here, Charles Kelley
I Won't Let You Down, Meghan Trainor
I Won't Let You Go , David Nail
I Would Like, Zara Larsson
I'll Be Home Soon, Craig Morgan
I'll Be the Moon, Dierks Bentley
I'll Do Happiness, Joe Perry
I'll Never Love, Michael Kiwanuka
I'll Take on the World with You, Tucker Beathard
I'm a Warrior, Shelley Morningsong
I'm Amazing, Peter Gabriel
I'm Drinking Through It, Jack Ingram
I'm Gonna Make It, Banks and Steelz
I'm In Control, AlunaGeorge
I'm Sixteen, Dolly Parton
I've Got A Gun, Candlebox
I.O.U, Wretch 32
Identikit, Radiohead
If He Ain't Gonna Love You, Jake Owen
If I Believe You, The 1975
If I Lost You, Garbage
If I Told You , Darius Rucker
If I Was a Folkstar, The Avalanches
If It Ain't Love , K. Michelle
If My Love Could Kill, Lucinda Williams
If the Boot Fits, Granger Smith
If There's A Heaven, Lucinda Williams
If We Keep Doing Nothing, Kris Allen
If You Leave Me Now, Foxes
If You're a Star, Amy Lee
Illusion Of Bliss, Alicia Keys
Immigrants (We Get the Job Done) , K'NAAN
Immortal, J. Cole
Impossible Tracks, The Kills
In A Drawer, Band of Horses
In a Parade, Paul Simon
In Case You Don't Remember, Jason Aldean
In Cold Blood, Otep
In Common, Alicia Keys
In God's House, Bat for Lashes
In Love With Life, Hifi Sean
In My Blood, The Veronicas
In My Mind, Maty Noyes
In Our Dreams, Black Stone Cherry
In the Garden of Edie , Paul Simon
In the Light, The Lumineers
In the Lobby, Iggy Pop
In The Name Of Love , Martin Garrix
In the Name of the Wee Man, Biffy Clyro
Infinite Sun, Kula Shaker
Influence, Tove Lo
Inner Sanctum , Pet Shop Boys
