#1Nite (One Night), Cobra Starship
Brendan's Death Song, Red Hot Chili Peppers
Brick by Brick, Arctic Monkeys
Brick Shoes, Mona
Bridge Burning, Foo Fighters
Bridges In The Sky, Dream Theater
Brighter Than The Sun, Colbie Caillat
Bring It, Jodie Connor
Bring it Back, Travis Porter
Bring It On, Trapt
Bring Out The Dead, Blindside
Brixton Briefcase, Chase & Status
Broken Bottles, Silversun Pickups
Broken Foundation, Funeral for a Friend
Broken Ocean, Bronze Radio Return
Broken People, Jane's Addiction
Broken Record, Katy B
Brokenhearted, Karmin
Bronte, Gotye
Brother, Matt Corby
Brotherhood Of The Broken, Marlon Roudette
Bug, Lower Than Atlantis
"Build Me Up, Break Me Down", Dream Theater
Bullet in My Hand, Redlight King
Bulletproof, Steel Magnolia
Buried Alive Interlude, Drake
Burned, Alyssa Reid
Burning, Wild Beasts
Buttercup, Lucinda Williams
Buttermilk John, Vince Gill
C'est La Vie, Protest the Hero
C'Mon (Catch 'Em By Surprise), Tiesto Vs Diplo
Cactus Practice, Tori Amos
Caffeine, Alice Cooper
Calamity Song, The Decemberists
Calgary, Bon Iver
Call It What You Want, Foster the People
Call Me Back, The Strokes
Call Me Maybe, Carly Rae Jepsen
Called Out in the Dark, Snow Patrol
Calling, Sebastian Ingrosso and Alesso
Cameras/Good Ones Go, Drake
Camouflage, Brad Paisley
Can A Drummer Get Some?, Travis Barker
Can't Get Enough, J. Cole
Can't Keep Johnny Down, They Might Be Giants
Can't Keep My Hands Off You, Simple Plan
Can't Say Goodbye, Josh Gracin
Can't Stop, DJ Khaled
Canajoharie, They Might Be Giants
Cannonball, Little Mix
Capsizing the Sea, Trivium
Carnival Of Schadenfreude, Screeching Weasel
Carousel, Vanessa Carlton
Carpe Diem, August Burns Red
Carry, Tori Amos
Cashin Out, Ca$h Out
Cassandra, Emmy the Great
Casualty Of Love, Jessie J
Cat Daddy, Rej3ctz
Catastrophe, Josh Gracin
Catch You While I Can, David Nail
Catherine, David Nail
Caught in the Act, New Found Glory
Caylee's Song, John Whynock
Caylee's Song Black Cloud Over Orlando, Lora Kay Alexander
Cellular Material, Cast of London Road
Champagne Showers, LMFAO
Chances Are, Garrett Hedlund
Change, Glasvegas
Changed the Way You Kiss Me, Example
Changing, The Airborne Toxic Event
Changing The Rain, The Horrors
Chaos Lives In Everything, Korn
Charlie Brown, Coldplay
Cheaper Than Free, Stevie Nicks
Cheapskate Lullabyes, Charlie Dore
Checkout Time, Nick Lowe
Cheerleader, St. Vincent
Chicago, The Devil Wears Prada
Children, The Rapture
Children, V.V. Brown
Chill-axin', Toby Keith
Chimes, Friendly Fires
Chloe In The Afternoon, St. Vincent
Christmas Eve, Justin Bieber
Cicadas And Gulls, Feist
Cigarettes and Valentines, Green Day
Cinema, Benny Benassi
Circadian, David Cook
Circle VII: Sins of the Lion, Alesana
Circuital, My Morning Jacket
City of Hope, Journey
City On the Hill, Casting Crowns
Civilization, Justice
Clancy's Tavern, Toby Keith
Claudine, The Rolling Stones
Cleaning My Gun, Chris Cornell
Clear As Day, Scotty McCreery
Cloisonné, They Might Be Giants
Clones, Chevelle
Cloth, Common
Club Paradise, Drake
Club Zydeco Moon, Toby Keith
CNR, Weird Al Yankovic
Coast (It's Gonna Get Better), Patrick Stump
Cockiness (Love It), Rihanna
Codes And Keys, Death Cab for Cutie
Codex, Radiohead
Cold, Black Country Communion
Cold As Stone, Lady A
Cold December Night, Michael Bublé
Cole World, J. Cole
Collapse, Zola Jesus
Collide, Leona Lewis
Collision Of Worlds, Robbie Williams
Colours, Grouplove
Come And See The Violence Inherent In The System, Screeching Weasel
Come Closer, Miles Kane
Come Closer, Chickenfoot
Come Down, White Lies
Come Home, Yael Naïm
Come Home, Faith Hill
Come On Get It, Lenny Kravitz
Come Through For You, Javier Colon
Comeback Kid (That's My Dog), Brett Dennen
Comets of Kandahar, Bruce Cockburn
Comin' Around, Josh Thompson
Coming Down, Dum Dum Girls
Coming Down, Five Finger Death Punch
Coming Home, Gwyneth Paltrow
Compliments, Tank
Constance, The Devil Wears Prada
Cool Head, Travis Barker
Copenhagen, Lucinda Williams
Cosmogony, Björk
Cost of Livin', Ronnie Dunn
Cough Syrup, Young the Giant
Countdown, Beyoncé
Country Girl (Shake It For Me), Luke Bryan
Country Music Jesus, Eric Church
Country Song, Seether
Country Wine, Dave Stewart
Courageous, Casting Crowns
Crash, You Me at Six
Crash Your Party, Karmin
Crawling Back to You, DAUGHTRY
Crazy Girl, Eli Young Band
Creature Lives, Mastodon
Creepin, Eric Church
Crew Love, Drake
Criminal, Britney Spears
Crossfire, Black Country Communion
Cruel, St. Vincent
Crush On You, Nero
Cry Baby, Cee Lo Green
Crystalfilm, Little Dragon
Crystalline, Björk
Cupid, Lloyd
Curl Of The Burl, Mastodon
Cute Girls, Patrick Stump
Cántame Tu Vida, Ricky Martin
Daddy, Emeli Sandé
Damn This Town, John Hiatt
"Damned If You Do, Dead If You Don't", Funeral for a Friend
Dance (A$$), Big Sean
Dance With Me Tonight, Olly Murs
Dancin' Away With My Heart, Lady A
Dancing at a Funeral, Brett Dennen
Dangerous Smile, Candice Night
Daniel, Dia Frampton
Dark Horses, Switchfoot
Dark Matter, Björk
Dark Side, Kelly Clarkson
Darkness Within, Machine Head
Darlin, Avril Lavigne
Darlin' Kate, Emmylou Harris
Dawned on Me, Wilco
Days, The Drums
Days Are Forgotten, Kasabian
Days Like This, Trace Adkins
Dead Throne, The Devil Wears Prada
Dead to Rights, DevilDriver
Deadly Nightshade, Megadeth
Dealbreaker, Rachael Yamagata
Dear Anne (Stan Pt. 2), Lil Wayne
Dear Avery, The Decemberists
Dear Cocaine, Crossfade
Dear Diamond, Miranda Lambert
Dear Friends, Elbow
Dear Rosemary, Foo Fighters
Dedication To My Ex (Miss That), Lloyd
Deep River, John Oates
Deeper, Wild Beasts
Deer in the Headlights, Owl City
Defiance, Incubus
Deliver Us, In Flames
Deranged, Coheed and Cambria
Descartes In Amsterdam, Dave Nachmanoff
Desire, Anna Calvi
Desire, Alela Diane
Desire, Graham Coxon
Desiree, David Nail
Destroyer of the Universe, Amon Amarth
Determinate, Bridgit Mendler
Devil's Got A Hold of Me, Travis Barker
Dial My Number, Sophie Ellis-Bextor
Did I Let You Know, Red Hot Chili Peppers
Die For You, Black Veil Brides
Die Hard, Dr. Dre
Die Like a Rockstar, Danny Brown
Die Trying, Art of Dying
Different Devil, Chickenfoot
Dig a Little Deeper, Peter Bjorn and John
Dinosaur Sex, Emmy the Great
Dirt Road Prayer, Lauren Alaina
Dirty Dishes, Scotty McCreery
Dirty Paws, Of Monsters and Men
Disappear, Katy B
Disaster, JoJo
Disconnected, Julian Lennon
Discoverer, R.E.M.
Distance, Christina Perri
Dive In, The Horrors
Do Everything, Steven Curtis Chapman
Do I Wait, Ryan Adams
Do It in the AM, Frankmusik
Do Ya Thang, Rihanna
Do You Feel What I Feel?, JLS
Doing It Wrong, Drake
Dollar and a Dream III, J. Cole
Domino, Jessie J
Don't Ask Me Why, Laura Marling
"Don't Blame The World, It's the DJ's Fault", Cobra Starship
Don't Carry It All, The Decemberists
Don't Fight the Sea, The Beach Boys
Don't Go, Wretch 32
Don't Hold Your Breath, Nicole Scherzinger
Don't Keep Me Waiting, Britney Spears
Don't Kick The Chair, Dia Frampton
Don't Let It Break Your Heart, Coldplay
Don't Lose Hope, The Red Jumpsuit Apparatus
Don't Mind, Mary J. Blige
Don't Miss It, Francesca Battistelli
Don't Play No Game That I Can't Win, Beastie Boys
Don't Say Goodbye, Take That
Don't Shut 'Em Down, Flogging Molly
Don't Sit Down 'Cause I've Moved Your Chair, Arctic Monkeys
Don't Stop (Color on the Walls), Foster the People
Don't Tell Me You Love Me, Big Sean
Don't Turn Out The Lights, NKOTBSB
Don't Wanna Go Home, Jason Derulo
Don't You Go, Josh Kelley
Don't You Remember, Adele
Donald Trump, Mac Miller
Double M Genius, Wale
Down for Whatever, Kelly Rowland
Down There, Bronze Radio Return
Down With the Trumpets, Rizzle Kicks
Drank In My Cup, Kirko Bangz
Dream Dream Dreaming, Glasvegas
Dream On, Noel Gallagher's High Flying Birds
Dreamember, Twin Atlantic
Dreams Don't Turn to Dust, Owl City
Dreams Money Can Buy, Drake
Drift, Emily Osment
Drift Away, The Box Story
Drink In My Hand, Eric Church
Drink Myself Single, Sunny Sweeney
Drink On It, Blake Shelton
Drop to Hold You, Matt Nathanson
Drown, Carolina Liar
Drowning Again, T-Pain
Drug, White Denim
Drug Test, Game
Drunk, Ed Sheeran
Drunk on Love, Rihanna
Drunk On You, Luke Bryan
Dry Bone Valley, Mastodon
Dub On The Track, Cher Lloyd
Dubai Blues, Chickenfoot
Dumped, New Found Glory
Dumpster Dive, Black Lips
Dusk Dismantled, Trivium
Dustbowl Children, Alison Krauss
E. Watson, The Decemberists
Each One Lost, Bruce Cockburn
Earth On Hell, Anthrax
Earthquake, Labrinth
Eastwood, Brad Paisley
Easy Living, Miranda Lambert
Easy Please Me, Katy B
Easy Way Out, Gotye
Ebb Away, ...And You Will Know Us by the Trail of Dead
Edge of Goodbye, Steel Magnolia
Eggs Over Easy, Steel Magnolia
Eighteen Inches, Lauren Alaina
Einstein, Kelly Clarkson
El Lay, Snoop Dogg
El Paso, Taking Back Sunday
Electric Chapel, Lady Gaga
Elevate, Big Time Rush
Emily (It's Love), Francesca Battistelli
Empty, Montgomery Gentry
End Come Too Soon, Wild Beasts
End Of The Dream, Evanescence
End Of Time, Beyoncé
End To The Lies, Jane's Addiction
Endgame, Rise Against
Endless Blue, The Horrors
EndSeekers," Oh, Sleeper"
England, PJ Harvey
English Curse, Frank Turner
English Lane, Mac Miller
Ethiopia, Red Hot Chili Peppers
Eumenides, Esben and the Witch
"Euphoria, Take My Hand", Glasvegas
Even If I Don't, Rachael Yamagata
Even If It Breaks Your Heart, Eli Young Band
Even You Brutus?, Red Hot Chili Peppers
Every Day Is Yours to Win, R.E.M.
Every Gyal, Chip
Every Other Memory, Eli Young Band
Every Teardrop is a Waterfall, Coldplay
Everybody Hurts, Avril Lavigne
Everybody Hurts Sometimes, Pixie Lott
Everybody Needs Love, Drive-By Truckers
Everybody Needs Love, Jennifer Hudson
Everybody Talks, Neon Trees
Everybody's Girl, Jennifer Lopez
Everybody's Got Somebody But Me, Hunter Hayes
Everybody's On The Run, Noel Gallagher's High Flying Birds
"Everyone Is Very, Very Nervous", Cast of London Road
Everything, Ben Howard
Everything Changes, Julian Lennon
Exit Night / Juliet's Theme, Emmy the Great
Exit Song, Sum 41
Eyes Of The Squirrel, Primus
Eyes on the Prize, Sara Groves
Eyez Closed, Snoop Dogg
F.A.M.E., Jeezy
Fa La La, Justin Bieber
Face Down, Casting Crowns
Face to the Floor, Chevelle
Factory of Faith, Red Hot Chili Peppers
Fade into Me, David Cook
Failing, Staind
Fair Weather, Julia Nunes
Faith (When I Let You Down), Taking Back Sunday
Faithless, Black Country Communion
Fallen Angels, Black Veil Brides
Fallen Empires, Snow Patrol
Falling, The Civil Wars
Falling Down, Sub Focus
Family Friend, The Vaccines
Far From Heaven, Dream Theater
Far Nearer, Jamie xx
Farewell, Rihanna
Fashion Of His Love, Lady Gaga
Fast Lane, Bad Meets Evil
Fast Lane, Megadeth
Faster, Within Temptation
Faster, Matt Nathanson
Fastest Girl in Town, Miranda Lambert
Fastlife, Joe Jonas
Fathers and Daughters, Kristen Chenoweth
Favorite Song, Colbie Caillat
Favourite Day, Bombay Bicycle Club
Fear and Loathing, Marina
Feed The Machine, Red
Feel Inside, Mary J. Blige
Feel Love, Sean Garrett
Feel So Close, Calvin Harris
Feet, Rodney Atkins
Ferris Wheel, Jason Jones
Fight 'em 'Til You Can't, Anthrax
Fight For You, Jason Derulo
Fighting the Gravity, blink-182
Fine By Me, Andy Grammer
Fine Tune, Miranda Lambert
Finish Line, Yasmin
Fire at the Pageant, The Felice Brothers
Fireball, Willow Smith
Firewall, Bright Eyes
Fireworks, Madina Lake
First of the Year (Equinox), Skrillex
Fish, Craig Campbell
Flow, Cage the Elephant
Flower, Amos Lee
Flower Of The Mountain, Kate Bush
Fly Away, Los Lonely Boys
Fly Away, Rebecca Ferguson
Fly From Here, Yes
Flyin' Down a Back Road, Justin Moore
Flyin' High, ZZ Top
Focused, Wale
Fool Like Me, Cobra Starship
Foolin', Dionne Bromfield
For The Love, Blue October
For the Love of a Daughter, Demi Lovato
"For You, and Your Denial", Yellowcard
Forever Decay, The Devil Wears Prada
Forever Falling, Professor Green
Forever Yours, Alex Day
Forgiveness, Wretch 32
Forsaken, Seether
Forward To Love, Ziggy Marley
Four Letter Word, Beady Eye
Fragile Bird, City and Colour
Fragile Thing, Dave Nachmanoff
Freaking Me Out, Simple Plan
Fred And Rose, Kunt and the Gang
Free, Natalia Kills
Free, Twin Atlantic
Free Spirit, Drake
Frick Park Market, Mac Miller
Friday, Rebecca Black
Friday, Glee
Friday Is Forever, We the Kings
Friday Night, Lady A
Friend, The View
Friends And Lovers, Incubus
Front Row Seats To The End Of The World, Funeral for a Friend
Frío, Ricky Martin
Fuels the Comedy, Korn
Funky Elegant, The Box Story
Funny Thing About Love, Lauren Alaina
Future, DJ Khaled
Future's Bright, Richard Ashcroft
Galaxies, Owl City
Games, The Strokes
Gan to the Kye, The Unthanks
Gasoline, Britney Spears
Gasoline and Matches, Michael Grimm
Gentleman, Theory Of A Deadman
George Square Thatcher Death Party, Mogwai
Georgia Peaches, Lauren Alaina
Get Good, Vanessa Carlton
Get It (DT), Big Sean
Get It Right, Glee
Get There From Here, Ben Harper
Get Thru This, Art of Dying
Get Up, Korn
Get Your S--t, Wiz Khalifa
Ghetto Dreams, Common
Ghost, Ingrid Michaelson
Ghost on the Canvas, Glen Campbell
Ghost On The Dance Floor, blink-182
Ghost River, Nightwish
Ghost Walking, Lamb Of God
Girl, The View
Girls Like You, The Naked and Famous
Give, LeAnn Rimes
Give It All Back, Noah and the Whale
Give Me Everything (Tonight), Pitbull
Give Me Love, Ed Sheeran
Give Up the Ghost, Radiohead
Give Your Heart a Break, Demi Lovato
Give Your Heart Away, The Unthanks
Glad You Came, The Wanted
Glass, Thompson Square
Glass Houses, Steel Magnolia
Glitter & Gold, Rebecca Ferguson
Glory - The Overture, Michael W. Smith
Glory Hallelujah, Frank Turner
Go, Santigold
Go, Delilah
Go Away, Katy B
Go-Go Boots, Drive-By Truckers
Goblin," Tyler, the Creator"
God, Stryper
God Bless You, Black Veil Brides
God Gave Me You, Blake Shelton
God is God, Steve Earle
God of My Everything, Bebo Norman
God's Gift, J. Cole
God's Not Dead (Like A Lion), Newsboys
Going Out in Style, Dropkick Murphys
Going Through Hell, The Streets
Gold Cobra, Limp Bizkit
Gold Forever, The Wanted
Gold on the Ceiling, The Black Keys
Golden Days, Kem
Gone, Ian Axel
Gone, The Weeknd
Gone Like That, Josh Kelley
Gone Too Soon, DAUGHTRY
Good Day Today, David Lynch
Good Feeling, Flo Rida
Good Girl, Alexis Jordan
Good Girls Go Bad, Game
Good Good Night, Roscoe Dash
Goodbye, Avril Lavigne
Goodbye, Eddie Vedder
Goodbye Kiss, Kasabian
Goodbye Mr. Personality, Less Than Jake
Goodbye To The Girl, David Cook
Got 2 Love U, Sean Paul
Got it All (This Can't Be Living Now), Portugal. The Man
Got My Country On, Chris Cagle
Gotta Be Wrong Sometimes, O.A.R.
Gotta Be You, One Direction
Gotta Have It, The Throne
Government Hooker, Lady Gaga
Grace, The View
Grade 8, Ed Sheeran
Grandpa's Farm, David Nail
Gratisfaction, The Strokes
Graveyard, Feist
Great Idea, Josh Kelley
Green Lights, Aloe Blacc
Grove St. Party, Waka Flocka Flame
Grow Up, Cher Lloyd
Growing Her Wings, Lauren Alaina
Growing Up Like That, Rodney Atkins
Grown Ocean, Fleet Foxes
Gucci Gucci, Kreayshawn
Guilt, Nero
Guiltfree, Bootstraps
Guilty Girls, Buffalo Tom
Guitar Slinger, Vince Gill
Guns, Justin Moore
"Guns, Drugs & Money", Megadeth
H.A.M., The Throne
Haile Selassie, Bright Eyes
Hair, Lady Gaga
Half Mile Hill, David Nail
Halftime, Amy Winehouse
Hallelujah, R.E.M.
Halo, Evans Blue
Hands Are Clever, Alex Clare
Hang It Up, The Ting Tings
Hang You Up, Yellowcard
Hanging in the Wire, PJ Harvey
Hangover, Taio Cruz
Happenstance, Miles Kane
Happiness Loves Company, Red Hot Chili Peppers
Happy, The View
Happy Endings Are Stories That Haven't Ended Yet, Mayday Parade
Hard Bargain, Emmylou Harris
Hard to Believe, David Cook
Hard to Get, Katy B
Hard White (Up In the Club), Yelawolf
Harvest Time, Luke Bryan
Hats Off to the Bull, Chevelle
Hawaiian Air, Friendly Fires
He Don't Live Here No More, Robbie Robertson
He Won't Go, Adele
He's a Mental Giant, Tech N9ne
He's Mine, Rodney Atkins
Headlines, Drake
Healer, Rumer
Hear My Call, Jill Scott
Hear The Bells, Vanessa Carlton
Heart Of The World, Lady A
Heart On Fire, Scars on 45
Heart On My Sleeve, Olly Murs
Heart Skips a Beat, Olly Murs
Heart's All Gone , blink-182
Heartbeat, The Fray
Heartlines, Florence + the Machine
Heaven, 3 Doors Down
Heaven, O.A.R.
Heaven, Emeli Sandé
Heaven, Jake Owen
Heaven's Only Days Down the Road, Shelby Lynne
Heavy Metal Lover, Lady Gaga
Heavy Weather, Wishbone Ash
Heavyweight, Our Lady Peace
Helena Beat, Foster the People
Hell Broke Luce, Tom Waits
Hell On an Angel, Brantley Gilbert
Hell On Heels, Pistol Annies
Hello, Cast of The Book of Mormon
Hello Cold World, Paramore
Hello Fear, Kirk Franklin
Hello Hello, Bic Runga
"Hello, Hello", Elton John and Lady Gaga
Help Is On The Way, Rise Against
Helpless, Friendly Fires
Helplessness Blues, Fleet Foxes
Hennepin Crawler, Primus
Here and Now, Seether
Here For A Good Time, George Strait
Here I Come, Steve Barton
"Here Ye, Hear Ye", T.I.
Heroine, Madina Lake
Hey Alli, Runner Runner
Hey Mama, Mat Kearney
Hey Superstar, Madina Lake
High, Big Sean
High Ideals, Elbow
High Maintenance, Miranda Cosgrove
Highway Unicorn (Road to Love), Lady Gaga
