#Beautiful, Mariah Carey
Caught Up, John Legend
Celebrate, Mack Maine
Cementality, King Krule
Chaining Day, J. Cole
Chainsaw, The Band Perry
Change, Jack Johnson
Change Me, Justin Bieber
Change Of Luck, Ministry
Change Your Life, Iggy Azalea
Chasing The Sun, Sara Bareilles
Cheating, John Newman
Chelsea's Hotel, Darwin Deez
Chemical Love Escape, Escape the Fate
Chemicals, Love and Death
Chez Keith et Anita, Carla Bruni
"Chicks, Trucks, and Beer", Tyler Farr
Children of the Sun, Tinie Tempah
Chill In The Air, Amos Lee
Chillin' It, Cole Swindell
Chillin' With You, Britney Spears
Chinese Food, Alison Gold
Chloe (You're The One I Want), Emblem3
Chloroform, Phoenix
Chocolate, The 1975
Choice Mountain, Everything Everything
Choke, Alice in Chains
Cholla, The Joy Formidable
Choose Your Battles, Katy Perry
Christmas In LA, The Killers
Chuckie's Gone, Toby Keith
Cigarette Daydreams, Cage the Elephant
Cinderella, Diana Vickers
Circles in Squares, Angel
City Electric, Anberlin
City of Angels, 30 Seconds to Mars
City of Ocala, A Day to Remember
City's Full, Savages
Classic, MKTO
Clay, Goldfrapp
Claymation, Mac Miller
Clean Up, Danny Brown
Close Enough, Jason Michael Carroll
Close Your Eyes, Michael Bublé
Close Your Eyes, Parmalee
Closer To Heaven, Connor Cruise
Coast Is Clear, Seasick Steve
Coconut Tree, Kenny Chesney
Cold as War, Sevendust
Cold Beer Drinker, Luke Bryan
Cold Beer With Your Name On It, Josh Thompson
Collard Greens, ScHoolboy Q
Colossus, Of Montreal
Colour It, Helen Austin
Come a Little Closer, Cage the Elephant
Come and Get It, Selena Gomez
Come Back To Me, Keith Urban
Come Back To Me, HollySiz
Come Down to Us, Burial
Come To Me, The Goo Goo Dolls
Come Together, Sons Of The Sea
Come Walk With Me, M.I.A.
Come With Me, Ricky Martin
Comeback Story, Kings of Leon
Comfort Inn Ending (Freestyle), Jhené Aiko
Coming Home, Avenged Sevenfold
Coming Through, Willis Earl Beal
Compass, Lady A
Complicate You, Thousand Foot Krutch
Conduit, Funeral for a Friend
Confess to Me, Disclosure
Confident, Justin Bieber
Connect, Sick Puppies
Connect, Drake
Conquer the World, Jessie J
Conquistador, 30 Seconds to Mars
Consumerism, Lauryn Hill
Contact, Daft Punk
Control, Big Sean
Control, Matrix & Futurebound
Cookie, R. Kelly
Cool, Le Youth
Cool Kids, Echosmith
Cool Song No. 2, MGMT
Cool Zombie, Adam Ant
Cop Car, Keith Urban
Copy Of A, Nine Inch Nails
Corsicana Lemonade, White Denim
Could Have Been Me, The Struts
Could It Be, Charlie Worsham
Count It All As Lost, August Burns Red
Count On Me, Chase & Status
Counting Stars, OneRepublic
Country On The Radio, Blake Shelton
Cover Me Up, Jason Isbell
Crash My Party, Luke Bryan
Crazy Ain't Original, Sheryl Crow
Creative Captivity, August Burns Red
Crescendo, Little Boots
Crescent Moon, KT Tunstall
Crickets, Joe Nichols
Crime, Mayer Hawthorne
Crimson Day, Avenged Sevenfold
Crooked Smile, J. Cole
Crooked Young, Bring Me The Horizon
Crown, Jay-Z
Crown Him (Majesty), Chris Tomlin
Cry, Anna Calvi
Cry A River, Alter Bridge
Cry Cry, Stone Temple Pilots
Cry of Achilles, Alter Bridge
Cry to The World, Renaissance
Culturecide, Primal Scream
Cut Her Off, K Camp
Cyrano Masochiste, Johnny Borrell & Zazou
D'Arline, The Civil Wars
Daddy Dance With Me, Krystal Keith
Daddy's Girl, Natalia Kills
Daedalus (What We Have), San Fermin
Damage, Red
Damage, Jimmy Eat World
Damaged, The Winery Dogs
Damaged Soul, Black Sabbath
Dance Apocalyptic, Janelle Monáe
Dance In The Rain, Megadeth
Dance The Pain Away, Benny Benassi
Dance Your Pain Away, Agnetha Fältskog
Dancing Out in Space, David Bowie
Dancing With The Devil, Krewella
Dangerous, Within Temptation
Daniel, Devendra Banhart
Dare You, Hardwell
Dark Horse, Katy Perry
Dark Side Of Me, Coheed and Cambria
Darling, Carla Bruni
Darte Un Beso, Prince Royce
Day Dream, Alexandra Burke
Day is Gone, Noah Gundersen
Day Of The Dead, Zac Brown Band
Daydreamin', Ariana Grande
Daydreaming, Paramore
Days And Days, Lil Wayne
Days Are Gone, Haim
Days Of Gold, Jake Owen
Dead City Radio and the New Gods of Supertown, Rob Zombie
Dead Man's Shoes, The Virginmarys
Dead Nature, Savages
Dead Now, Frightened Rabbit
Dead To The World, Bullet For My Valentine
Dead Weight, Crystal Bowersox
Deal With The Devil, Pop Evil
Dear Boy, Avicii
Dear Father, Black Sabbath
Dear Marie, John Mayer
Dear One, Jim James
Dear Sobriety, Pistol Annies
Death Comes To Us All, Funeral for a Friend
Death of a Married Man, Brad Paisley
Death Valley, Fall Out Boy
Deathbeds, Bring Me The Horizon
Decay, Sevendust
Deceiver Of The Gods, Amon Amarth
December's Traditions, Frightened Rabbit
Decimal, OMD
Deep As It Is Wide, Amy Grant
Deepens With Time, Ron Sexsmith
Deeper, Ella Eyre
Demons, The National
Dependency, Charlie Brown
Depuis Le Début, 30 Seconds to Mars
Despair, Yeah Yeah Yeahs
Desperation, Eminem
Destiny Bends, RZA
Devil's Backbone, The Civil Wars
Devil's Resting Place, Laura Marling
Diana, One Direction
Diane Young, Vampire Weekend
Did You Hear The Rain?, George Ezra
Didn't Mean To Fall In Love, Boston
Didn't See It Coming, Parachute
Die For You, Red
Different People, Biffy Clyro
Digital Lion, James Blake
Dip, Danny Brown
Dirt Road Diary, Luke Bryan
Dirty Beast, Adam Ant
Dirty Boys, David Bowie
Dirty Gold, Angel Haze
Dirty Laundry, Kelly Rowland
Disco Love, The Saturdays
Disconnect, After the Burial
Division Street, Harper Simon
Dixie Cleopatra, Harper Simon
DNA, Empire of the Sun
Do I Wanna Know?, Arctic Monkeys
Do Me A Favor, Stone Sour
Do My Thang, Miley Cyrus
Do Or Die, 30 Seconds to Mars
Do What U Want, Lady Gaga
Do You Remember, Blake Shelton
Do You Want to Build A Snowman?," Kristen Bell, Agatha Lee Monn, and Katie Lopez"
Doc Holliday, Volbeat
Doin' It Right, Daft Punk
Doin' It Right, Rodney Atkins
Doin' What She Likes, Blake Shelton
Doing OK, Wretch 32
Doing Time, Avenged Sevenfold
Don't Believe a Thing I Say, Jack Johnson
Don't Brother Me, Beady Eye
Don't Cry, Britney Spears
Don't Ever Let Me Go, Leslie West
Don't Forget Where You Belong, One Direction
Don't Forget Who You Are, Miles Kane
Don't Hold The Wall, Justin Timberlake
Don't Let Me Be Lonely, The Band Perry
Don't Lie, Vampire Weekend
Don't Matter, Kings of Leon
Don't Pray For Me, Asking Alexandria
Don't Sell Out, Tinie Tempah
Don't Swallow the Cap, The National
"Don't Talk About Him, Tina", Pistol Annies
Don't Think They Know, Chris Brown
Don't Try, Everything Everything
Don't Try So Hard, Amy Grant
Don't Turn Your Back…, Megadeth
Done For You , Black Veil Brides
DONE., The Band Perry
Dope, Tyga
Dope, Lady Gaga
Dorothy Dandridge Eyes, Janelle Monáe
Double Rainbow, Katy Perry
Down Boy, Kele Okereke
Down Down the Deep River, Okkervil River
Down On Love, Kelly Rowland
Downtown, Lady A
Drakkar Noir, Phoenix
Drawn & Quartered, HIM
Dream #3, Elton John
Dreamin' of You, Buckcherry
Dreams, Blue Sky Riders
Dreams Of The San Joaquin, Kenny Rogers
Dressed To Kill, Cher
Drink a Beer, Luke Bryan
Drink to That All Night, Jerrod Niemann
Drink You Away, Justin Timberlake
Drinkin', Holly Williams
Drinks After Work, Toby Keith
Drive, Kids in Glass Houses
Drive, Miley Cyrus
Drive You Home, Parachute
Drop That #NaeNae, We Are Toonz
Drove Me Wild, Tegan and Sara
Drowning, Tech N9ne
Drunk In Love, Beyoncé
Drunk Last Night, Eli Young Band
Drunken Hearts, Wallpaper.
Dry Your Eyes, Texas
Duet, Everything Everything
Dumb, Tich
Dust To Dust, The Civil Wars
Dyin' Since The Day I Was Born, Leslie West
Dying Inside, Gary Barlow
Dying To Live, Scott Stapp
E Ti Prometerro, Josh Groban
Early Days, Paul McCartney
Earth Rocker, Clutch
Earthly Pleasure, Villagers
Earthquake, DJ Fresh Vs Diplo
Easy, Sheryl Crow
Easy, Mat Zo and Porter Robinson
Easy Easy, King Krule
"Eat, Sleep, Rave, Repeat", Fatboy Slim and Riva Starr
Eavesdrop, The Civil Wars
Echelon (It's My Way), Angel Haze
Ecotone, Volbeat
Eden, Sara Bareilles
El Comegente, Soulfly
El Coyote, Guy Clark
Elastic Heart, Sia
Electric Lady, Janelle Monáe
Electric Lady, Justin Timberlake
Elements, Funeral for a Friend
Elephant, Jason Isbell
Elimination Blues, Primal Scream
Eliza, Anna Calvi
Empire (Let Them Sing), Bring Me The Horizon
End Of Night, Dido
End of the Beginning, Black Sabbath
End Of The World, Deap Vally
End Of Time, The Band Perry
Endorphins, Sub Focus
Enigma Machine, Dream Theater
Entertainment, Phoenix
Envy, Buckcherry
Epitaph, Portage and Main
Ernest Borgnine, John Grant
European Me, Johnny Marr
Even The Stars Fall 4 U, Keith Urban
Everlasting Arms, Vampire Weekend
Every Good Thing, The Afters
Every Little Bit , Gavin DeGraw
Everybody Out There, Paul McCartney
Everything, Nine Inch Nails
Everything But the Truth, Lucinda Williams
Everything I Shouldn't Be Thinking About, Thompson Square
Everything To Me, Shane Filan
Everything Will Change, Gavin DeGraw
Everything You Didn't Do, Jamie Cullum
Everything You Never Had (We Had It All), Breach
Everytime, Foals
Everywhere You Knew, Christopher Owens
Evil Eye, Josh Ritter
Evil Eye, Franz Ferdinand
Evil Friends, Portugal. The Man
Exile, Hurts
Exodus, M.I.A.
F For You, Disclosure
F--k Out My Face, A$ap Ferg
F--k You, Bad Religion
F.U.T.W., Jay-Z
Face The Crowd, Beady Eye
Face To Face, Gary Barlow
Faden Away, 7 Days of Funk
Fairweather Friends, Queens of the Stone Age
Fairytale, Milky Chance
Faithless, Sevendust
Fall Down, will.i.am
Fall From Grace, Babyshambles
Fallen, Soulfly
Falling, Haim
Fallout, Queensrÿche
False Alarms, Josh Groban
False Awakening Suite, Dream Theater
Family Tree, Kings of Leon
Far Away From Home, will.i.am
Far Celestial Shore, Mavis Staples
Far Too Young To Die, Panic! At The Disco
Fare Thee Well (Dink's Song), Oscar Isaac
Farmer's Daughter, Babyshambles
Farrah Fawcett Hair, Capital Cities
Farther Than The Sun, Alter Bridge
Fashion Killa, A$AP Rocky
Fast in My Car, Paramore
Fatal Distraction, Mario
Father Sun, Sammy Hagar
Father Time, Goodie Mob
"Father, Father", Laura Mvula
Fear, Blue October
Feds Watching, 2 Chainz
Feel Good, Robin Thicke
Feel Good Summer Song, Scotty McCreery
Feel It All, KT Tunstall
Feel Like Pac / I Feel Like Biggie, DJ Khaled
Feelin' It, Scotty McCreery
Feelin' Myself, will.i.am
Feeling Mortal, Kris Kristofferson
Feels Like Forever, Of Mice & Men
Feet For Hands, Everything Everything
Fergivicious, A$ap Ferg
Field Of Reeds, These New Puritans
Fill In The Blank, Greg Bates
Filthy Blues, Orianthi
Final Warning, Skylar Grey
Fine China, Chris Brown
Finest Hour, Gavin DeGraw
Finger Back, Vampire Weekend
Finished Sympathy, Glasvegas
Fire, Orianthi
Fire, Big Sean
Fired Up, Hanson
Fireproof, The National
Fireside, Arctic Monkeys
First Chain, Big Sean
First of the Last, Fight Or Flight
First Sight, The Devil Wears Prada
First Time, Jonas Brothers
First Time Caller, White Lies
"Flashbacks, Memories, and Dreams", The Virgins
Flashbulb Eyes, Arcade Fire
Flashing Lights, Havana Brown
Flatline, Mutya Keisha Siobhan
Flawless, Beyoncé
Flick Of The Finger, Beady Eye
Float, The Neighbourhood
Float Forever, Peace
Fluffy, Wolf Alice
Fluorescent, Pet Shop Boys
Fly Again, Stooshe
Foday Bojang, Jon Patrick Walker
Follow Baby, Peace
Follow Your Arrow, Kacey Musgraves
Fool's Gold, Dean Madonia
For Some Ol Redneck Reason, Justin Moore
For The Strangers, Suede
Forbidden Fruit, J. Cole
Forest Serenade, The Joy Formidable
Forever Mine Never, The Band Perry
Forget About Me, Escape the Fate
Forget Forever, Selena Gomez
Forget to Forget You, Scotty McCreery
Forget To Remember, Megadeth
Forgiveness, Chris Young
Fork, 2 Chainz
Formaldehyde, Editors
Fortress, Alter Bridge
Four Simple Words, Frank Turner
Fragment Two, These New Puritans
Fragments Of Time, Daft Punk
Freaks, French Montana
Fred Astaire, San Cisco
Free, Rudimental
Free (The Editorial Me), Darwin Deez
Freedom Song (They'll Never Take Us Down), Neil Diamond
Fresh Start Fever, You Me at Six
Fresh Strawberries, Franz Ferdinand
Fri-End, Kate Nash
Friday Night, Eric Paslay
Friend of a Friend, Tim McGraw
From a Window Seat, Dawes
From the Ground, Hollywood Undead
From This Valley, The Civil Wars
From Time, Drake
Front Porch Junkies [Remix], Thomas Rhett
Frozen, Orianthi
Fruend, Braids
FU, Miley Cyrus
Funny Little Tragedy, Gov't Mule
Further Away (Romance Police), Lissie
Furthest Thing, Drake
Future, Paramore
Future Days, Pearl Jam
Future Warrior, Palms
Fuzzy, Randy Rogers Band
Für Hildegard von Bingen, Devendra Banhart
G.U.Y., Lady Gaga
Gale Song, The Lumineers
Gallardo, Gunplay
Gangsta, Kat Dahlia
Garbage," Tyler, the Creator"
Garden's Heart, Natasha Khan & Jon Hopkins
Gas Stop, Before Cars
Gasoline And Matches, LeAnn Rimes
Geekin', will.i.am
Gees, Mac Miller
Generate! Generate!, Johnny Marr
Gentleman, Psy
Gentleman, The Saturdays
Get Away, Circa Waves
Get Away (feat. the Spirit of the Wu), De La Soul
Get High, Brandy Clark
Get In My Way, Robin Thicke
Get Like Me, Nelly
Get Lucky, Daft Punk
Get Me Some of That, Thomas Rhett
Get On It, The Kin
Get Right, Miles Kane
Get The Girl Back, Hanson
Get to Me, Lady A
Get Up (Rattle), Bingo Players
Get Up (What You Need), Willy Moon
Get Ya Game On, Maggie Rose
Getaway, Pearl Jam
Getting Even, White Lies
Ghost, Katy Perry
Ghost / Haunted, Beyoncé
Ghost Town, Jake Owen
Gifted, French Montana
Gimme What I Don't Know (I Want), Justin Timberlake
Giorgio by Moroder, Daft Punk
Girl Ridin' Shotgun, Joe Diffie
Girl That You Love, Panic! At The Disco
Girl Who Got Away, Dido
Girlfriend, Icona Pop
Girls, Kid Cudi
Girls, The 1975
Girls Are Crazy, Joanna Smith
Girls Love Beyoncé, Drake
Girls/Girls/Boys, Panic! At The Disco
Give It 2 U, Robin Thicke
Give It To Me, Sheryl Crow
Give Life Back to Music, Daft Punk
Give Up, Miles Kane
Give You What You Like, Avril Lavigne
Givin Em What They Love, Janelle Monáe
Glacier, John Grant
Glass House, Red
Glorious Unfolding, Steven Curtis Chapman
Glory And Gore, Lorde
Go Gentle, Robbie Williams
Go Get It, Dani Clay
Go On Without Me, Brett Eldredge
Go Stupid 4 U, Robin Thicke
"Go to Hell, for Heaven's Sake", Bring Me The Horizon
Go Wherever You Wanna Go, Patty Griffin
God Bless Amerika, Lil Wayne
God Bless the Girl, David Bowie
God Is Dead?, Black Sabbath
God Made You Beautiful, Beyoncé
God of Brilliant Lights, Aaron Shust
God Of Every Story, Laura Story
God Takes Care Of Your Kind, LeAnn Rimes
