$ave Dat Money, Lil Dicky
Ain't Missing You, Chief Keef
Ain't My Last Dance, Five Finger Death Punch
Ain't No Trucks in Texas, Ronnie Dunn
Ain't Nobody (Loves Me Better), Felix Jaehn
Ain't Nothing, Chief Keef
Ain't Startin' Tonight, LoCash
Albatross, Foals
Alien, The Devil Wears Prada
Alive, Iyaz
Alive, Sia
Alive, Escape the Fate
All About You, Raekwon
All Country on You, Austin Webb
All Cried Out, Blonde
All Day, Kanye West
All Eyes on You , Meek Mill
All I Ask, Adele
All I Know (My Heart), Raheem DeVaughn
All I Need , The-Dream
All I'm Drinking 'Bout, Jason Michael Carroll
All In a Day's Work, Dr. Dre
All In It , Justin Bieber
All Is Beauty, Jamie Lawson
All My Friends, Snakehips
All My Heart , John Newman
All Of God's Children, Jon Foreman
All That, Carly Rae Jepsen
All That Matters, Estelle
All That Shines, Vic Mensa
All The Same, Deerhunter
All Your Fault , Big Sean
All Your Favorite Bands, Dawes
Allie, Belle & Sebastian
Alone No More, Philip George
Alone On Christmas Day, Phoenix
Along The Road, Karmin
Alright, Kendrick Lamar
Am I Wrong , Anderson Paak
Amazing Day, Coldplay
Amen, Halestorm
American Beauty/American Psycho, Fall Out Boy
American Muscle, Canaan Smith
American Oxygen, Rihanna
American You, Yelawolf
Amnesia, Josh Abbott Band
An Illustration of Loneliness (Sleepless in NY), Courtney Barnett
Anaesthetist, Enter Shikari
Angel, The Weeknd
Angela's Eyes, Guy Garvey
Angels, Chance the Rapper
Angels and Alcohol, Alan Jackson
Angels Fall, Breaking Benjamin
Angels of Fenway, James Taylor
Animals, Dr. Dre
Anna, Will Butler
Anonymity, Josh Abbott Band
Another Country, Rod Stewart
Another Girl, Michael Ray
Another Lonely Night , Adam Lambert
Another Love Song , Leona Lewis
Another One, Mac DeMarco
Anthem, Thomas Rhett
Anthem for Doomed Youth, The Libertines
Anthropoid, Lamb Of God
Anti-Summersong, The Decemberists
Antidote, Travis Scott
Any Emotions, Mini Mansions
Anything Is Better Than This, Everclear
Apart, Avant
Apex Predator - Easy Meat, Napalm Death
Apocalyptic, Halestorm
Aqua Profunda!, Courtney Barnett
Are You Ready, Gloriana
Are You Sure, Kacey Musgraves
Area Code, Nick Jonas
Army, Ellie Goulding
Army Of One, Coldplay
Around The World , Natalie La Rose
Around U, Ellie Goulding
Art Deco, Lana Del Rey
Artangels, Grimes
As Real as You and Me, Rihanna
Ashes Of Eden, Breaking Benjamin
Asking For It, Shinedown
Asteroid, The Devil Wears Prada
Atom Dance, Björk
Autonomous Zone, Killing Joke
Autopilot, Kodaline
Avalanche, Bring Me The Horizon
Awake, Snoop Dogg
Awesome, Kanye West
Ayo, Chris Brown & Tyga
B A Nobody, SOAK
B.I.G., X Ambassadors
Baby Blue, Action Bronson
Baby I'm Right, Darius Rucker
Baby Love, Petite Meller
Baby Shark, Pinkfong
Back Home, A$AP Rocky
Back Home, Owl City
Back It Up, Prince Royce
Back to Back, Drake
Back to Sleep, Chris Brown
Back Together, Robin Thicke
Back Up, Dej Loaf
Backroad Song, Granger Smith
Bad, Stroamata
Bad For You, Meek Mill
Bad Friday, Umphrey's McGee
Bad Girls World, Halestorm
Bail Me Out, All Time Low
Ballad of Sugarcane Jane, Sugarcane Jane
Ballad Of The Mighty I, Noel Gallagher's High Flying Birds
Baltimore, Prince
Bamboula, Ringo Starr
Bang That, Disclosure
Barbarian, The Darkness
Basil, Mark Knopfler
Bassem Sabry, Of Montreal
Batman Superman Spiderman, Rod Stewart
Battering Ram, Saxon
Battle Cry, Havana Brown
BB Talk, Miley Cyrus
Be, apl.de.ap
Be One, Natalie Grant
Be Real, Kid Ink
Be Right There , Diplo & Sleepy Tom
Be The One, Dua Lipa
Be Together, Major Lazer
Be Your Shadow, The Wombats
Beast Mode, Ludacris
Beat, Ricky Dillon
Beautiful Drug, Zac Brown Band
Beautiful Life, Nick Fradiani
Beautiful Now, Zedd
Beautiful Stranger, Toby Keith
Been Around the World , August Alsina
Been That Way, Bryson Tiller
Before Our Time, Jon Foreman
Before We Disappear, Chris Cornell
Behind the Devil's Back , Fightstar
Believe, Mumford & Sons
Believe, Nick Jonas
Believe The Squalor, Lieutenant
Believer, DJ Fresh
Beryl, Mark Knopfler
Best Friend, Yelawolf
Best Friend, Young Thug
Best Friends, Sophia Grace
Bet You Can't Do It Like Me, Dlow
Betrayed, Flo Morrissey
Better, The Mohrs
Better and Worse, Clint Black
Better Do It, RaeLynn
Better for It, Montgomery Gentry
Better In The Morning, Little Boots
Better Love, Foxes
Better Off Alone, Steve Earle
Better Off Dead, Sleeping with Sirens
Better Place, Saint Asonia
Better Than That, Marina
Better Than You, Will Hoge
Better Than You Left Me, Mickey Guyton
Better Things, A$AP Rocky
Better When I'm Dancin', Meghan Trainor
Bettie Page, Public Image Ltd.
Between Me and You, Brandon Flowers
Beyond Me, tobyMac
Big Decisions, My Morning Jacket
Big Love, Simply Red
Big Quiet, The Dead Ships
Big Rings, Drake and Future
Big Screen Lies, Stryper
Bill Gates, Rick Ross
Billion, Mat Kearney
Bills, Lunchmoney Lewis
Binary Sea, Death Cab for Cutie
Birch Tree, Foals
Bird Set Free , Sia
Birds, Coldplay
Birth and the Burial, Act of Defiance
Biscuits, Kacey Musgraves
Bitch Better Have My Money, Rihanna
Black Beauty, Lana Del Rey
Black Butterfly, Dionne Bromfield
Black Flag, Du Blonde
Black Ice Cream, Raheem DeVaughn
Black Lake, Björk
Black Magic, Little Mix
Black Opium, Rick Ross
Black Parade, Gin Wigmore
Black Sheep, Yonder Mountain String Band
Black Sun, Death Cab for Cutie
Blackout Song, Finger Eleven
Blackstar, David Bowie
Blade, Third Eye Blind
Blank Space, Ryan Adams
Blasphemy, Bring Me The Horizon
Blast Doors, Everything Everything
Blasé, Ty Dolla $ign
Blessings, Big Sean
Blind Leading the Blind, Trivium
Blindside, Hunter Hunted
Blood, Allison Moorer
Blood I Bled, The Staves
Blow Away, Joshua Radin
Blud, SOAK
Blue Bandana, Jerrod Niemann
Bluebonnets, Aaron Watson
Body On Me, Rita Ora
Body Shop, Madonna
Body Talk, Foxes
Bombastic, Bonnie McKee
Bombshell, Ashley Monroe
Bonfire Season, Gallows
Boomerang, Jana Kramer
Borders, M.I.A.
Born In The Echoes , The Chemical Brothers
Born Slippy," Albert Hammond, Jr."
Borrowed Time, Frances
Bout to Blow, Empire Cast
Boxing Day Blues, Courtney Barnett
Boy & a Girl Thing, Mo Pitney
Boy Problems, Carly Rae Jepsen
Boyz II Men, k-os
Bradley Manning, Cass McCombs
Bramble Rose, Don Henley
Brand New, Ben Rector
Brand New Car, Action Bronson
Brandenburg Gate, Anti-Flag
Brave Heart, Hilary Duff
Brazil, Declan McKenna
Break, Night Riots
Break On Me, Keith Urban
Breaking Me Down , Escape the Fate
Breathe, Maverick Sabre
Breathe In. Breathe Out., Hilary Duff
Bright, Kehlani
Brightside, Nate Ruess
Bring It Back, Shawn Mendes
Bring It On Back, Buckcherry
Bring It on Home to Memphis, Emmylou Harris & Rodney Crowell
Broad-Shouldered Beasts, Mumford & Sons
Broke, Jason Derulo
Broke 'N' Brokenhearted, Def Leppard
Broken Arrows, Avicii
Broken Generation, Of Mice & Men
Broken Heart Tattoos, Ryan Bingham
Broken Hearts Heal, Janet Jackson
Broken Home, 5 Seconds of Summer
Broken Lens, For Today
Bronco, Canaan Smith
Bros, Wolf Alice
Brought to the Water, Deafheaven
Brown Skin Girl, Leon Bridges
Bullet, Jana Kramer
Bullets & Rocks, Calexico
Bullets & Tears, Primal Fear
Burn, Toto
Burning Bridges, Bon Jovi
Burning Down, Melissa Steel
Burning House, Cam
Burnitup!, Janet Jackson
Bury It, Chvrches
Butcher Baker Candlestick Maker, Panda Bear
Butterfly, Grimes
Buy Me a Boat, Chris Janson
By the Waters of Babylon, Will Butler
C'est La Vie, Stereophonics
C.O.U.N.T.R.Y. , Tyler Farr
Cake By The Ocean, DNCE
California, Grimes
California, Tim McGraw
California Nights, Best Coast
California Roll, Snoop Dogg
Call It Off, Shamir
Call Ya Bluff, Ludacris
Camaro, Liz Longley
Camouflage, Selena Gomez
Can I, Drake
Can See Can Do , M.I.A.
Can't Deny My Love, Brandon Flowers
Can't Feel My Face, The Weeknd
Can't Get You Off My Mind, Michael Des Barres
Can't Pin Me Down, Marina
Can't Sleep Love, Pentatonix
Can't Trust Thots, Wash
Candy, The Singles
Capable of Anything, Ben Folds
Car Crash, Three Days Grace
Carrie & Lowell, Sufjan Stevens
Carry It On, Buffy Sainte-Marie
Carry You, David Cook
Cassette Tape, The Mohrs
Cast The First Stone, Slayer
Castaway, Zac Brown Band
Cause I'm A Man, Tame Impala
Celebrate The Reckless, Magic Giant
Celestial Mechanics, The Devil Wears Prada
Cell U Lar Device, Erykah Badu
Ch-Ching, Chairlift
Chains, Usher
Chains of Love, The Arcs
Change My Mind, Meghan Linsey
Charged Up, Drake
Charlemagne, Blossoms
Chaser, Carrie Underwood
Chasing Death, Slayer
Chasing The Tail Of A Dream, The Coral
Chateau Lobby, Father John Misty
Cheaper Than a Shrink , George Strait
Cheer Up London, Slaves
Cherry Vimto, Viola Beach
Cheyenne, Jason Derulo
Children, Justin Bieber
Children of Children, Jason Isbell
Children of the Sun, Lindemann
Chingalinga, Alyxx Dione
Choctaw County Affair, Carrie Underwood
Chopper, Lupe Fiasco
Christ In Me, Jeremy Camp
Christine, Craig Finn
Christmas Island , Train
Christmas Spirits, Sonata Arctica
Christmas Will Break Your Heart, LCD Soundsystem
Christy, Natalie Prass
Church, BJ the Chicago Kid
Church Bells, Carrie Underwood
Church In These Streets, Jeezy
Cinderblock Garden, All Time Low
Circadian Rhythms (Let's Dance) , Silversun Pickups
Circle 'Round the Sun, Matthew E. White
Circles, The Highway
Circles, Tamar Braxton
Circles, Jana Kramer
City Boy Blues, Action Bronson
Citycide, The Dead Ships
Classic Man, Jidenna
Clean Monday, Will Butler
Clear The Path, MC Yogi
Clearest Blue, Chvrches
Close Your Eyes, Rhodes
Closer than You Might Believe, Alanis Morissette
Code Red, Monica
Codes, Ellie Goulding
Coffee, Miguel
Cold Arms, Mumford & Sons
Cold Beer Conversation, George Strait
Cold Cold Cold, Cage the Elephant
Cold In Ohio, Jamie Lawson
Collaborations Don't Work, FFS
Color Money, Rick Ross
Colors, Halsey
Colors, Coheed and Cambria
Colour Spectrum, Coldplay
Come Alive (Dry Bones) , Lauren Daigle
Come And Get It, John Newman
Come and See Me, Ludacris
Come Find Me, Alabama
Come Get Her, Rae Sremmurd
Comeback Kid, Kip Moore
Comfortable, K Camp
Coming For You, The Offspring
Coming Home, Leon Bridges
Coming Home , Sigma
Coming With You, Ne-Yo
Common Emotion, Rudimental
Company, Justin Bieber
Complexion (A Zulu Love) , Kendrick Lamar
Compound Fracture, My Morning Jacket
Concerto for Piano and Orchestra, Ben Folds
Cone of Shame , Faith No More
Confident, Demi Lovato
Confirmation, Ringo Starr
Confused, Kid Cudi
Conquerors, The Darkness
Cool, Alesso
Cool For The Summer, Demi Lovato
Counterfeit, Chris Brown
Country, Mo Pitney
Courting The Squall, Guy Garvey
Coyotes, Modest Mouse
Crack in the Pearl, Mark Ronson
"Crack in the Pearl, Pt. II", Mark Ronson
Cracks, The View
Cradle To The Grave, Squeeze
Crash, Shayna Leigh
Crash and Burn, Thomas Rhett
Craving, James Bay
Criminal, Finger Eleven
Criminals, David Cook
Crocodile Python, Rick Ross
Crosseyed Heart, Keith Richards
Crucify, k-os
"Crutches, Crosses, Caskets", Pusha T
Cry, The Used
Crying In Public, Chairlift
Crystals, Of Monsters and Men
Cut It, O.T. Genasis
Cut The Cord, Shinedown
Dad, Simply Red
Daddy, Psy
Daddy Doesn't Pray Anymore, Chris Stapleton
Daisy, Zedd
Damn Country Music, Tim McGraw
Damn Good Friends, Tyler Farr
Dance In the Rain, Jana Kramer
Dance With Me, Kelly Clarkson
Danceophobia, Duran Duran
Dancin', The Black Lillies
Dancing in the Dark, Rihanna
Dancing Right In Front Of Me, David Gilmour
Dancing with a Wolf, All Time Low
Dangerous, Def Leppard
Daniel, Bill Ryder-Jones
Dark, Breaking Benjamin
Dark Side, R5
Dark Sky (Skyscrapers), Big Sean
Dark Sky Island, Enya
Dark Times, The Weeknd
Dark Trip, Tremonti
Darker Shade Of Black, Blackmore's Night
Darker Than Blood, Steve Aoki
Darkest Part, Red
Darling Arithmetic, Villagers
Day of the Dead, Hollywood Undead
Day One, Matthew West
Days of Candy, Beach House
Dead And Gone, Trivium
Dead for Love, The Libertines
Dead Fox, Courtney Barnett
Dead In The Water, Pop Evil
Dead Inside, Muse
Dead Man Walking , Butcher Babies
Dead Man's Eyes, Apocalyptica
Dead To Me, Hinder
Deal, Miguel
Dear Daughter, Halestorm
Death Of A Bachelor, Panic! At The Disco
Deathless, Miss May I
Debbie Downer, Courtney Barnett
Decapitation Blues, Clutch
Decided Knowledge, Dutch Uncles
Deep, Big Sean
Deep Water, Dr. Dre
Deeply Ordered Chaos, The Cult
Defector, Muse
Delilah, Florence + the Machine
Delirious, Susanne Sundfør
Deliver, Lupe Fiasco
Delusion Pandemic, Lamb Of God
Demons, James Morrison
Depreston, Courtney Barnett
Deserve It, Big Sean
Despair And Traffic, Slaves
Dessert, Dawin
Destinations , Alesso
Detroit, Gaz Coombes
Devil, Papa Roach
Devil's Whisper, Raury
Devotion, Ellie Goulding
Diamond Girl, The Cribs
Diamonds, Hawk Nelson
Diamonds, Giorgio Moroder
Diamonds Dancing , Drake and Future
Diamonds on the Water , Enya
Dibs, Kelsea Ballerini
Didn't Know You, Karmin
Die a Happy Man , Thomas Rhett
Die With You, Beyoncé
Digging Up The Heart, Brandon Flowers
Digital Dash, Drake and Future
Dime Store Cowgirl, Kacey Musgraves
Dimed Out, Titus Andronicus
Dirt Sledding, The Killers
Dirty Laundry, Carrie Underwood
Dirty Little Thing, We Are Harlot
Dirty Work, Austin Mahone
Disappointing, John Grant
Disciples, Tame Impala
Distant Past, Everything Everything
Ditmas, Mumford & Sons
Divers, Joanna Newsom
Django and Jimmie, Willie Nelson and Merle Haggard
DKLA, Troye Sivan
Do I Make You Wanna, Billy Currington
Do It Again, Pia Mia
Do It For The Gang, Krept & Konan
Do What You Like, Taio Cruz
Do You Wanna Get High?, Weezer
Doctor Pepper, Diplo
Dollar and a Dream, Game
Dolo, Kid Ink
Don't, Bryson Tiller
Don't Be So Hard On Yourself, Jess Glynne
Don't Cry Genocide, Pussy Riot
Don't Even Try, Bryan Adams
Don't Go, Rae Morris
Don't Let Me Bring You Down, Laura Marling
Don't Let Me Let You Go, Jamie Lawson
Don't Look Down, Martin Garrix
Don't Mind, Kent Jones
Don't Say Anything, Sleeping with Sirens
Don't Touch My Radio, Jana Kramer
Don't Wanna Fight, Alabama Shakes
Don't You Give Up On Me, Lissie
Don't You Go, All Time Low
Done With Love, Zedd
Doomed, Bring Me The Horizon
Dooo It, Miley Cyrus
Doors, Mac Miller
Dopamine, Third Eye Blind
Double Trouble, Public Image Ltd.
Down In Flames, Chris Isaak
Down in The DM, Yo Gotti
Down Side of Me, Chvrches
Down to Believing, Allison Moorer
Downside of Growing Up, Maddie & Tae
Downtown, Macklemore & Ryan Lewis
Drag Me Down, One Direction
Drawn to the Blood, Sufjan Stevens
Dream, Angie Stone
Dream Lover, The Vaccines
Dreams, Beck
Dress Blues, Zac Brown Band
Driftwood, Cody Simpson
Drink You Up, Eli Young Band
Drinkin' Town with a Football Problem, Billy Currington
Drip Drop, Empire Cast
Drive, Halsey
Drive, Tonight Alive
Drive, Shayna Leigh
Drone Bomb Me, Anohni
Drones, Muse
Drowning Shadows , Sam Smith
Drum Machine, Big Grams
Drunched in Crumbs," Albert Hammond, Jr."
Drunk Drunk, LoCash
Drunk On Your Love, Brett Eldredge
Duct Tape Heart, Barenaked Ladies
Dyin' Flyin', Tech N9ne
Ease, Troye Sivan
Easy, Laura Marling
Easy Bake, Jay Rock
Easy Love, Sigala
Echoes in Rain , Enya
El mismo sol (Under the Same Sun), Alvaro Soler
El Perdón, Nicky Jam
Electric Body, A$AP Rocky
Elements, Ludovico Einaudi
Elevator Operator, Courtney Barnett
Embers, Lamb Of God
Emilie, The Charlatans UK
Emperor's New Clothes, Panic! At The Disco
Empire, Of Monsters and Men
Empire Of The Clouds, Iron Maiden
Empty from the Start, Noah Gundersen
Empty on the Inside, The Mohrs
Empty Threat, Chvrches
End Of The Day , One Direction
Endless Forms Most Beautiful, Nightwish
Energy, Drake
Engage The Fear Machine, Lamb Of God
English Tongue, Palma Violets
Enough, Reba McEntire
Entropy, Grimes
Erase This, Lamb Of God
Eraser, Coheed and Cambria
Euphoria, Killing Joke
Even If, Ella Eyre
Even in the Shadows, Enya
Even When It Hurts (Praise Song), Hillsong United
Eventually, Tame Impala
Ever Be, Bethel Music
Ever Had a Little Faith?, Belle & Sebastian
Everglow, Coldplay
Every Day Is a Holiday, Katy Perry
Every Day's Like Christmas, Kylie Minogue
Every Little Means Trust, Idlewild
Every Time I'm With You, Seal
Everybody Drives Drunk, Love and Theft
Everyday, A$AP Rocky
Everything Breaks, Jewel
Everything I See, George Strait
Everything In Awe, Sidewalk Prophets
Everything is Easy, Third Eye Blind
Everything Will Be Ok, G-Eazy
Evil Twin, Anthrax
Exchange, Bryson Tiller
Exhale, Plumb
Expiration Date, Fear Factory
Exploitation, Róisín Murphy
Eye9, Queensrÿche
Eyes Shut, Years & Years
F Q-C #7, Willow Smith
F---ing Young/Perfect," Tyler, the Creator"
Face the Sun, Miguel
Faces of Stone , David Gilmour
Facts, Kanye West
Faded, Alan Walker
Failure, Breaking Benjamin
Fairly Local, Twenty One Pilots
Fallen, Stryper
Fallen Angel, Three Days Grace
Falling Apart, Papa Roach
Falling From The Sky, Calexico
False Hope, Laura Marling
Fame and Fortune, The Libertines
Family, Björk
Family is Family, Kacey Musgraves
Far Afghanistan, James Taylor
Fast, Luke Bryan
Fast Car, Jonas Blue
Father, Demi Lovato
Fathers & Daughters, Michael Bolton
Favorite Record, Fall Out Boy
Fear, X Ambassadors
Feather, X Ambassadors
Feed The Mantaray, Slaves
Feel It, tobyMac
Feel Right, Mark Ronson
Feel the Light, Jennifer Lopez
Feel You, Julia Holter
Feeling Good, Avicii
Feeling Tonight, Kellie Pickler
Feet On The Ground, Rickie Lee Jones
Fence Post, Aaron Watson
Ferrari Music Freestyle , Fetty Wap
Fester Skank, Lethal Bizzle
Fiesta, Bomba Estéreo
Fight Or Flight, Stereophonics
Figure 8, FKA Twigs
Find Your Wings," Tyler, the Creator"
Fingers Crossed, Billie Eilish
Fire, Brett Eldredge
Fire, The Winery Dogs
Fire Away, Chris Stapleton
Fire in the Cockpit, Public Service Broadcasting
Fire It Up, Disturbed
Fire N Gold, Bea Miller
Fire on the Horizon, Stick Figure
Fire Under My Feet, Leona Lewis
Fireflies, April Kry
First Comes the Night, Chris Isaak
First Kiss, Kid Rock
First Things First, Pentatonix
First Time, Kelsea Ballerini
First Time, Icona Pop
Fishtails, Indigo Girls
Five More Hours, Deorro x Chris Brown
Five More Minutes, Scotty McCreery
Flags Of The Old Regime, Pete Doherty
Flagship, Jason Isbell
Flashlight, Jessie J
Flaws, Alan Jackson
Flesh, Miguel
Flesh Without Blood, Grimes
Flex (Ooh Ooh Ooh), Rich Homie Quan
Flicka Da Wrist, Chedda Da Connect
Flip Flops, Kristian Bush
Floodplain, Sara Groves
FloriDada, Animal Collective
Flowers, Cody Simpson
Flutter, The Unthanks
Fly, Raury
Fly, Avril Lavigne
Fly Away, 5 Seconds of Summer
Fly on the Wall, Jay Rock
Flying Monkeys, Tremonti
Focus, Ariana Grande
Folks Like Us, Montgomery Gentry
Follow Me, Hardwell
Follow You, Bring Me The Horizon
Footprints, Lamb Of God
Footsteps, Pop Evil
For A Better Day, Avicii
For a Boy, RaeLynn
For All Kings, Anthrax
For Everybody, Juicy J
For Free? (Interlude), Kendrick Lamar
For Sale? (Interlude), Kendrick Lamar
For You, Rae Morris
Foreclosures, Rick Ross
Forever Young, Louisa Johnson
Forget, Marina
Forget About Me, Angie Stone
Forget About the Blame, Trans-Siberian Orchestra
Forgetery, Dan Mangan
Forgiven, Kwabs
Fortune 500, Everything Everything
Fortunes, Metric
Found You, Django Django
Foundation, Years & Years
Four Pink Walls, Alessia Cara
FourFiveSeconds, Rihanna
Fourth of July, Fall Out Boy
Fourth of July, Sufjan Stevens
Freak, Lana Del Rey
Freak Of The Week, Krept & Konan
Freaks Like Me , Joe Nichols
Freazy, Wolf Alice
Free Enterprise, Rick Ross
Free People, Tony Moran
Friendship, Pops Staples
Front Row Seat, Josh Abbott Band
Fueiho Boogie, Swim Deep
Fun, Coldplay
Further, Don Broco
Fury of Chonburi, The Libertines
Future People, Alabama Shakes
Game On, Waka Flocka Flame
Games, Luke Bryan
Games for Girls, Say Lou Lou
Gemini, Alabama Shakes
Gen Strange, Peace
Genexus, Fear Factory
Genocide, Dr. Dre
Gerry's Reel, The Corrs
Get Away, Chvrches
Get Back Up, Barenaked Ladies
Get Better, Frank Turner
Get It, Matt & Kim
Get Low, 50 Cent
Get Out While You Can, James Bay
Get To Heaven, Everything Everything
Get Ugly, Jason Derulo
Get Your Fight On, The Prodigy
Ghost, Coheed and Cambria
Ghost Machine, Jon Foreman
Ghost Ship, Blur
Ghost Town, Adam Lambert
Ghosts, August Burns Red
Ghosts, Josh Abbott Band
Ghostwriter, Rick Ross
Giant, Django Django
Giant Peach, Wolf Alice
Gimme All Your Love, Alabama Shakes
Ginza, J. Balvin
Girl Is Mine, 99 Souls
Girls on Bars, Bret Michaels
Give It All, Foals
Give Me a Sign, The Vaccines
Give Me a Try, The Wombats
Give Up The Ghost, Starsailor
Glass & Patron, FKA Twigs
Glitterball, Sigma
Global Nation, Todd Rundgren
Glory Days, Carl Barât & The Jackals
Go, The Chemical Brothers
Go Far, Rudimental
Go Hard or Go Home, Wiz Khalifa and Iggy Azalea
Go Out, Blur
Go'Head, Rocstrong
God Bless a Country Girl, The Lacs
God Knows I Tried , Lana Del Rey
God Only Knows, Jason Michael Carroll
Goin' Goin' Gone, George Strait
Going My Way, Paul Weller
Going Out Like That, Reba McEntire
Gold, Sleeping with Sirens
Gold, Kiiara
Gold Slugs, DJ Khaled
Goldblooded, Jessica Jarrell
Golden, Ruth B
Gone Fishing, Róisín Murphy
Gonna Get Mine, Halestorm
Good At It , Becky G
Good for a Good Time, Darius Rucker
Good For You, Selena Gomez
Good Goes the Bye, Kelly Clarkson
Good Good Father, Chris Tomlin
Good Help (Is So Hard to Find) , Death Cab for Cutie
Good Intentions, The Chainsmokers
Good Intentions, Disclosure
Good Night, Billy Currington
Good Ol' Boys Club, Kacey Musgraves
Good Thing, Sage The Gemini
"Good Times, Cheap Wine", Kid Rock
Good To Be Alive (Hallelujah) , Andy Grammer
Goodbye July, Shayna Leigh
Goodnight Gotham, Rihanna
Gorgeous, X Ambassadors
Gosh, Jamie xx
Got Your Six, Five Finger Death Punch
Gotcha Love, Estelle
Grace Wins, Matthew West
Grand Romantic, Nate Ruess
Grand Romantic (Intro), Nate Ruess
Grass Is Always Greener, Ludacris
Graveyard Whistling, Nothing But Thieves
Gravity, DJ Fresh
Gravity, Papa Roach
Gravity, Hollywood Undead
Gravity Lies, Red
Great Big Storm, Nate Ruess
Greek Tragedy, The Wombats
Green and Gold , Lianne La Havas
"Grey Tickles, Black Pressure", John Grant
Grief, Earl Sweatshirt
Grow, Lianne La Havas
Growing Up, Macklemore & Ryan Lewis
Grown, Little Mix
Guantanamera, Sage The Gemini
Guardian, Queensrÿche
Guess Who, Alabama Shakes
Guess You Had To Be There, Brian Wilson
Guitar Or A Gun, Will Hoge
Gun Fightin Man, Ryan Bingham
Gunga Din, The Libertines
Gurdjieff's Daughter, Laura Marling
Guys and Girls, Easton Corbin
"Haggard, Hank & Her", Toby Keith
Hair, Little Mix
Half the World Away, Aurora
Hallelujah, Panic! At The Disco
Halo (Disappear/Reappear), Noah Gundersen
Hammer & Tongs, The Darkness
Hands of Love, Miley Cyrus
Hands To Myself, Selena Gomez
Handsome, The Vaccines
Hang On, X Ambassadors
Hangin', Formation
Hangover Tonight, Gary Allan
Happy, Marina
Happy Home, Lukas Graham
Happy Lil' Hippie, Cody Simpson
Happy People, Peace
Happy Song, Bring Me The Horizon
Hard Luck Kid, Beach Slang
Harsh Light, Nate Ruess
Hate & Love, Jack Savoretti
Haunted, Rickie Lee Jones
Have You Forgotten My Name, Drenge
He Knows, Jeremy Camp
He's Dead, Lil Wayne
He's Still Here, Chris August
Head Over Boots , Jon Pardi
Heart Of Oak, Richard Hawley
Heart of the Matter, The Libertines
Heartbeat, David Cook
Heartbeat, Carrie Underwood
Heartbeat Song, Kelly Clarkson
Heartbreak, Drew Holcomb & the Neighbors
Heartbreak Song, Trace Adkins
Heartbreaker, Noah Gundersen
Heated Nights, Raekwon
Heaven Is Here, MC Yogi
Heaven Sent, Best Coast
Heavy and Rolling, Mark Ronson
Heavy Is the Head, Zac Brown Band
Heavy Star Movin', The Silver Lake Chorus
Hell Nos and Headphones, Hailee Steinfeld
Hell To Pay, Five Finger Death Punch
Hell You Talmbout, Janelle Monáe
Hello, Adele
Hello, Erykah Badu
Here, Alessia Cara
Here and Now , Fireflight
Here For You, Kygo
Here To Mars, Coheed and Cambria
Here Tonight, Tim McGraw
Here's To, Jason Michael Carroll
Heroes, Måns Zelmerlöw
Hey Angel, One Direction
