name,artists,id,release_date,hit
A Wake (feat. Evan Roman),"Macklemore, Ryan Lewis, Evan Roman",3kuvg9Yt4jo2I74tpCk4zM,2012-10-09,0.0
A War You Cannot Win,All That Remains,3TRNoCpF4VmgSS1PYMThRz,2012-11-06,0.0
A Wasteland Companion,M. Ward,1SvYJ5T036qyNqF8MUiGXX,2012-04-10,0.0
Aaliyah (feat. Jessie Ware),"Katy B, Jessie Ware",3IJGQEgU7pZOj1uDHIPfwY,2014-02-10,0.0
Abraham's Daughter,Arcade Fire,32vKYtEqMhQUL4nWmIUjm0,2012-01-01,0.0
Absolute Zero,Stone Sour,14EORgkbXqIx5K4Haucmnb,2012-10-17,0.0
Accident Murderers,"Nas, Rick Ross",5jYiv88eMSwF6eFaqeAwcg,2012-01-01,0.0
Acts of Man,Frightened Rabbit,6PDDLs0XDsWyhJxIqsgzWW,2013,0.0
Admit It Again,Say Anything,0l5ljumpGZGtr79aOLxdZY,2012-03-13,0.0
Adorn,Miguel,25cUhiAod71TIQSNicOaW3,2012-09-28,1.0
Adrenaline,Shinedown,5oJrV0mGkw9dilk96X3W0c,2012-03-23,0.0
Advice,Graham Coxon,6x9trdAVyjAnJL2NED9Xsz,2012-04-02,0.0
Affection,The All-American Rejects,3E1LabJWM4J51ypbrjADLd,2012-01-01,0.0
After You,Pulp,4sT8kcliEkMJBUTQqKOIUb,2013-01-28,0.0
Afterglow,Black Country Communion,3kbUDnZngXLUcG0deald28,2012-10-30,0.0
Aftershave Ocean,The Vaccines,24MeNmhtBqE9sZkKNkzzbY,2012-09-03,0.0
Against You,Lacuna Coil,6ik8OotIniEm64d8ddhkV5,2012-01-20,0.0
Age,Lianne La Havas,4XoxZQiUmuL1SsQfrAWbif,2012-07-09,0.0
Agony,Paloma Faith,62ZkL8GK1xNlPd25Ygcilu,2012-10-22,0.0
"Ah, Sweet Dancer",Santana,60cvFw0AoVDae3wzW0DDZG,2012-05-11,0.0
Airborne Ranger Infantry,Kristy Lee Cook,0Mrj7HAEhb2lo4dmvk0JXc,2012-10-16,0.0
Alarm Clock,SHINee,0vmAXhoWnUsbaT69SbX3JJ,2012-03-21,0.0
Albacore,Ani DiFranco,3B3JT26JC46DDEbYz4dzcu,2012-01-17,0.0
Algiers,Calexico,6sECoxmOxyfyVlExV2HIRb,2012-09-11,0.0
Alive,Krewella,2SHnUyZq0zwmvRIl4WY77G,2012-06-18,1.0
All Around The World,"Justin Bieber, Ludacris",1Mg8vLBYwizu7AuhYQO64V,2012-06-15,1.0
All Gold Everything,Trinidad James,19K5wRn8DpOiCx6n8SFhZR,2012-11-28,1.0
All I Have Left Is You,The Offspring,2zCvytHUzL3CkeSlfrfLYI,2012-06-26,0.0
All I Need to Know,Thousand Foot Krutch,3qwQO957WUbTw8A2Ifat4E,2012-04-17,0.0
All In,Flying Lotus,7eWIBNEmDlIpnrrhcubpK0,2012-10-01,0.0
All in a Family,Loudon Wainwright III,4rdSbjVQg5f8geyt4gWfmY,2012-04-17,0.0
All In Vain,The Vaccines,61mBH898BNub9ru3LcKUfK,2012-09-03,0.0
All Is Fair,Cheryl,1QTmt4xLgL91PiTLMldX7n,2012-01-01,0.0
All Is Fair,Big Wreck,2kvWmhH0p7qc5e7GcqePMe,2012-01-01,0.0
All Over The Road,Easton Corbin,6XD3HMATLswheYevIfKkSi,2012-01-01,1.0
All That I Want,Robbie Williams,0Jm0R7hYJIdkWNvqQnnm53,2012-11-05,0.0
All That Matters (The Beautiful Life),Kesha,7949ooAKks9n3EB5CesM4B,2012-11-30,0.0
All the Little Lights,Passenger,5QrqXOTpWw4MfoDlHfCdBL,2013-02-17,0.0
All the Rowboats,Regina Spektor,5rSlEtSKiOYivDFChX3FRW,2012-05-25,0.0
All The Time,"Jeremih, Lil Wayne, Natasha Mosley",0USZx50eApN045zIIyjePN,2013-01-01,0.0
All This Time - Pop Mix,Britt Nicole,6oUKzFleJraGH2LJsWhgfg,2012,0.0
All Those Friendly People,Funeral Suits,5RqJrJRVZ0wdiI4yFuv3u6,2012-06-01,0.0
All Too Well,Taylor Swift,1q3RiD1tIWUpGsNFADMlvl,2012-10-22,0.0
All Wash Out,Edward Sharpe & The Magnetic Zeros,6J1DNhkecvjjEW9tsNWR75,2012-05-29,0.0
All We Have Is Now,The Modern Electric,5s78vi4v2Qo95QbPGTWKE2,2012-12-05,0.0
All Your Clothes,Martha Wainwright,0fUK6eN7zol11FgdtwGixG,2012-10-15,0.0
All Your Gold,Bat For Lashes,2rReQXVcbiDCH59a7ZHeoI,2012-10-15,0.0
Allowance,Our Lady Peace,4G9VChpbBIpv5jOKNHkEt1,2012-04-17,0.0
Alone Or With Friends,Tribes,0lzOzarj5UYKswyUiSzFz2,2012-01-01,0.0
Alone Together,"Daley, Marsha Ambrosius",4bx93Btylz6Rl6QIOrtBV4,2012-01-01,0.0
Alone With You (Maddie's Song),Ne-Yo,2HkOWK5RHMw1zOZimRxLgH,2012-01-01,0.0
Alpha Omega,Architects,6kPRhrZlI79vlKAy374E2M,2012-06-05,0.0
Alternative Power To The People,The Dandy Warhols,1wpZ4dAzbi2voAnaZaDmNf,2012-04-24,0.0
Always Waiting,Michael Kiwanuka,4cLQpjdFdKjCuPf4crxuh1,2012-01-01,0.0
Amanaemonesia,Chairlift,4EI01jKoCYK0tZqgAL2RpO,2012-01-24,0.0
Amanita,Animal Collective,6PPBVjnfqKuaMn6EjjdDXb,2012-09-04,0.0
Amaryllis,Shinedown,1V2FWYA9sLJQqjQ8BRWj7Q,2012-03-23,0.0
Amen,Leonard Cohen,570g2MRjY7we1R48N2fzHr,2012-03-28,0.0
Amen (feat. Drake),"Meek Mill, Drake",32UIpKdyGzgTPTO8e5ge5c,2012-10-26,1.0
Amen,Paper Tongues,6O5Hi5UuJ2bodLvaLPxzjm,2012-06-29,0.0
Amendment,Ani DiFranco,62KrfdxFFSU3nWZen3BS1i,2012-01-17,0.0
America,Howler,3RDmptJqHBzmLP2ADMe2F5,2012-01-16,0.0
America,Deuce,3smUHBHcUoOjqWRq9dfBDL,2012-04-24,0.0
American Beautiful,The Henningsens,6C1BUMo3Eq3Xudv2Oo2CLr,2013-05-27,0.0
American Heart,Faith Hill,2yPFfoT04AIb5Ak4r1NdHr,2012-10-02,0.0
American Steel,Soulfly,7blnGomUG8PcSSBuqixFmi,2012-03-09,0.0
Amerigo,Patti Smith,1tZ4JHHtnELQC3smRIkJ2q,2012-06-01,0.0
Amsterdam,Rick Ross,4duKSDnLGdvwJ5yxDNhPmj,2012-01-01,0.0
Amy,Green Day,7mjLvFRhiMfvEJiBOLDZkB,2012-11-13,0.0
Analog Man,Joe Walsh,11CK9ToNAdYPI15q2Jkp2D,2012-01-01,0.0
Anastasia,"Slash, Myles Kennedy And The Conspirators",7JJ22vCP45tMhZnAH4Sp1e,2012-01-01,0.0
Andrew in Drag,The Magnetic Fields,5ehMCdeOhsgsx25M6wAEzu,2012-03-06,0.0
Angel,Gordon Bahary,5gqx0ksCSHWnaSpIoSre7d,2012-08-28,0.0
Angel,Sarah Brightman,4ONd4j4MRfz48gpi2hjYuQ,2012-10-16,0.0
Angels,The xx,3zsRP8rH1kaIAo9fmiP4El,2012-09-10,0.0
Angels & Stars - Ishi Rock Re-Edit,"Eric Turner, Lupe Fiasco, Tinie Tempah",4oe86opYEkOklKITVFiNyp,2012-01-01,0.0
Animal,Conor Maynard,690DtfFHFhizuE0rbQslzz,2012-10-31,0.0
Animal Skins,Dry the River,1UPsIlZ1LJPSDrNWpbD3PQ,2012-03-05,0.0
Animals,Muse,2raJLzvNRvipP8cJuchk6U,2012-09-24,0.0
Anna Sun,WALK THE MOON,3e0yTP5trHBBVvV32jwXqF,2012-06-19,0.0
Another Camden Afternoon,The Stranglers,29RJqd7lqRsvxLfh96GOFg,2012,0.0
Another Home,Mary Chapin Carpenter,36MaK0ZaKPtrnW9Dd4fOFm,2012-01-01,0.0
Another Last Goodbye,Aerosmith,5pAj9f6NE1WNmXHm61JaX8,2012-11-06,0.0
Another Love,Tom Odell,5FKnuwsKf7YFpmhA5Wnl0q,2012,0.0
Another Round (feat. Chris Brown),"Fat Joe, Chris Brown",3Rh3zDYanZFHaeXFT4Asps,2011,1.0
Another Shot,lostprophets,1N9xehmHKR6yD0H21pzgcl,2012-04-02,0.0
Anthem,Ringo Starr,0Mdjxjn3GmtElirrKfMS46,2012-01-01,0.0
Anxiety,Ladyhawke,7GnEAFng5S150NKKE0WOap,2012-01-01,0.0
Any Day Will Do Fine,Michael Kiwanuka,5DODqUKPEEVIS2TslOjz0K,2012-01-01,0.0
Anyhow,Leonard Cohen,53Q4TZtICirlK5tQxxV5LO,2012-03-28,0.0
Anyone Else,Matt Cardle,2KndZ38hCNVk3Jmb0l6uDC,2013-08-27,0.0
Anything Could Happen,Ellie Goulding,7C7yqFTM0ncyJ04GIKrxdV,2012-01-01,1.0
Anything We Want,Fiona Apple,1eBB2ZqS7NAVe6henP56PY,2012-06-18,0.0
Anywhere in the World - Radio Edit,"Mark Ronson, Katy B",2UnvZiqXDnx91k0Sy8hmTR,2012-05-15,0.0
Apocalypse Dreams,Tame Impala,7qU7vhCPKhkDiJYGoboISc,2012-01-01,0.0
Apocalyptic Love,"Slash, Myles Kennedy And The Conspirators",1BBZvoRi5KJNVZTM0eLl6B,2012-01-01,0.0
Apocryphon,The Sword,0PVS91vWfafu1M7nhgDTCV,2012-10-22,0.0
Apparition,Frank + Derol,4MfV4vECXJgjHwG7agDn0c,2012-01-01,0.0
Applesauce,Animal Collective,0J5POT62uxjTbqNYpjBKvY,2012-09-04,0.0
April Fool,Patti Smith,53eJ84ALjlKpU2A2OpohCN,2012-06-01,0.0
Are We All We Are,P!nk,1DUhAeBCT4r66Gu4P3nirG,2012-09-18,0.0
Are You With Me,Easton Corbin,6z1frj1JhCZhgKzUZUNU31,2012-01-01,0.0
Arena (feat. Chris Brown & T.I.),"B.o.B, Chris Brown, T.I.",1lge9PphTqgL3k7fidOo3j,2012-04-27,0.0
Arena Rock Encore With Full Cast,The Cribs,0QPMMzMUwagPV5BxCFmyKD,2012-04-30,0.0
Arguing With Thermometers,Enter Shikari,3fTC3Mf88BYUgsiWiOYVr9,2012-01-17,0.0
Army of Me,Christina Aguilera,7v5lw7SXqUaNuDBDSI6F8O,2012-11-09,0.0
Army of Two,Olly Murs,5eHBwub0uVM4bnXgzhiBbK,2012-11-26,0.0
Around My Way (Freedom Ain't Free),Lupe Fiasco,2Vba5MBCdGqcE57GSiOstv,2012-09-25,0.0
Artificial Nocturne,Metric,6fPyxBPMICphFl3z9hJqvi,2012-06-12,0.0
As Far As I Remember,Papa Roach,0eGPGood2FTOezv1dMNgW4,2012-10-02,0.0
As Fast As You Can,Our Lady Peace,5F0sY6wytQcDy5oLCPzY6u,2012-04-17,0.0
As Is,Van Halen,6hkEQYEuQrJs8FV1EIptnn,2012-02-07,0.0
As Long As You Love Me,"Justin Bieber, Big Sean",0pwYLVXVknPSGUQb39cePC,2012-06-15,1.0
As Your Friend,"Afrojack, Chris Brown",5Z1x5bcY08XnoUxRJKAHZv,2014-01-01,0.0
Automatic,Nicki Minaj,4HWOkaS6pRmNODWmS7EGvs,2012-01-01,0.0
Automatic,Dawn Richard,19lNd2q7ro6Gg5krNSLU1m,2012-03-27,0.0
Automatic Systematic Habit,Garbage,6v1jIacWXqK1FeSEnadbIt,2012-05-14,0.0
Ayla,The Maccabees,09XGGn9lYHT8Mcsu1oiOJP,2011-01-01,0.0
Ayy Ladies (feat. Tyga),"Travis Porter, Tyga",4P6BuLsqtg5uISdE77ypI9,2012-05-28,1.0
B-Day Song,"Madonna, M.I.A.",5ikG3xm47oLXYTmkun7uQy,2012-01-01,0.0
Babel,Mumford & Sons,7nhItJUpHMXJURhZNyXHJs,2012-09-25,1.0
Baby Come Home,Scissor Sisters,56BOpsTzn68tqrZQsaNHJv,2012-01-01,0.0
Baby Just Break,King Tuff,651zvZej7ZgHEY6oMOWgPT,2012-05-29,0.0
Back (with Jake Owen),Colt Ford,2JDWDQCzd0K9mI5GEaToA8,2012-08-07,0.0
Back 2 Life (Live It Up) (feat. T.I.),"Sean Kingston, T.I.",7LrgiRjCm2oKcuJGbmk0pg,2013-09-10,0.0
Back For You,One Direction,02O8hDaIJPEUHh9XEj0u76,2012-11-12,0.0
"Back in Time - featured in ""Men In Black 3""",Pitbull,3eQlGeyuSibgAGPEJugaDW,2012,1.0
Back to the Bolthole,The Cribs,2XCsZDApjiSvwDaH4rBsfe,2012-04-30,0.0
Back When,Nas,0fsOXxDuvYk5H3a3xK38xf,2012-01-01,0.0
Backseat Freestyle,Kendrick Lamar,3aGibUHhQyBsyumYHylw0K,2012,0.0
Backseat Serenade,All Time Low,47eL0bckn5g3k5VBwgu969,2012-10-09,0.0
Backtrack,Rebecca Ferguson,3Z9wh46ISEjH6O5recPaCO,2012-10-14,0.0
Bad Apple,Tribes,5K7R3w74GkenAQ9tkDkRZm,2012-01-01,0.0
Bad Blood,Bastille,2HHiH52OPxe8qyVO7N4uH7,2013-01-01,0.0
Bad Girls - N.A.R.S. Remix,"M.I.A., Missy Elliott, Nas",7kuS9KLDqaHaQ1YYqUCI2z,2012-01-01,0.0
Bad Mood,The Vaccines,2iK3OY41tNfkz8fOOb7qZm,2012-09-03,0.0
Bad Rain,"Slash, Myles Kennedy And The Conspirators",7gzoNnmYOzGxshLtX2NONc,2012-01-01,0.0
Bad Religion,Frank Ocean,2pMPWE7PJH1PizfgGRMnR9,2012-07-10,0.0
"Bad, Bad Dream",The Johnstones,3Z5moFRXPnm43Kw79d1qfb,2012-11-13,0.0
"Bag of Money (feat. Rick Ross, Meek Mill & T-Pain)","Wale, Rick Ross, Meek Mill, T-Pain",1BvTqJLeB9ZeGU01gFzJbh,2012-03-23,1.0
Bait And Switch,The Shins,3kQoWDsseAkLlx2grDjVcm,2012-03-16,0.0
Ball (feat. Lil Wayne),"T.I., Lil Wayne",4XVfNwP88Hn9kSkXVnxj2S,2012-12-18,1.0
Band Played On,Joe Walsh,5O7olKUv9wk6ZcC8AXCCdQ,2012-01-01,0.0
"Bandz A Make Her Dance Remix (feat. French Montana, LoLa Monroe, Wiz Khalifa & B.o.B)","Juicy J, French Montana, Lola Monroe, Wiz Khalifa, B.o.B",0qmYhfRmXWaONXN6ps27PP,2012-12-03,0.0
Banga,Patti Smith,5uttgE8978LpIhR01mmdhN,2012-06-01,0.0
Banjo,Rascal Flatts,47aIa6zbUGsdNn55cyuOug,2012-01-01,1.0
Banjo,Leonard Cohen,26vYZfhC9z5XsRMgtuvzFk,2012-03-28,0.0
Banlieue,Maximo Park,2qDgmMZDmiiVDhvna7EjzD,2012-06-11,0.0
Barbara,Rufus Wainwright,2y2PZ4Ye3xlEUxJNjJdFN2,2012-01-01,0.0
Bastards,Cancer Bats,5dr0ZiBGmV7qdxvMI4Ow1k,2012-04-24,0.0
Battle Born,The Killers,52IbZOn3hSl8OVDms3j78h,2012-09-17,0.0
Battle in Me,Garbage,3zq5uuSjNS0ma7XVpP9OOv,2012-05-14,0.0
Battle Scars,"Lupe Fiasco, Guy Sebastian",1hWYT0w2R0J19rlVkiez7X,2012-09-25,1.0
BBD,Azealia Banks,735SArN9pqYYzYg0leQ8nm,2014-11-07,0.0
Be A Boy,Robbie Williams,24xiW9RKl343ETEWJ56nYY,2012-11-05,0.0
Be Above It,Tame Impala,2Gl1Qdx5Px5kVYe0PQoGI0,2012-01-01,0.0
Be Alright,Justin Bieber,0nxvFG50rGXkiGQqOO2MHr,2012-06-15,0.0
Be Careful What You Ask For,Everclear,4QrfXOKl68pLJ3kpXJ82tG,2012-06-26,0.0
Be Happy Children,Paul Weller,2HGSia0EzyQexscfcWMQgl,2012-03-27,0.0
Be Honest (feat. Inara George),Jason Mraz,5T0N6xybJyZq34R1807OTt,2012-04-13,0.0
Be Mine,Alabama Shakes,4nGil2gSvOVDRFGb1julsJ,2012-04-10,0.0
Be Somebody,Thousand Foot Krutch,33MnSYLvtOrbj5zwfioEiH,2012-04-17,0.0
Be Still,The Fray,3URt4lJQlANOstDBAWQJA7,2012-02-07,0.0
Be Still,The Killers,1B5tiGNcOHERcXcBHiL6Xs,2012-09-17,0.0
Be Strong,The 2 Bears,2LgUF32UKG7qXxEl44Yuje,2012-01-30,0.0
Beacon,Two Door Cinema Club,0M7EaVx3HZnjfoBfuCmxEL,2012-08-31,0.0
Beam Me Up,P!nk,3030YT1OMJa4bxthLLHuVM,2012-09-18,0.0
Beam Me Up - Radio Edit,CAZZETTE,64y85LeHY8Z6OlTOM9cpKD,2014-01-01,0.0
Beat It (feat. Chris Brown & Wiz Khalifa),"Sean Kingston, Chris Brown, Wiz Khalifa",3bwCMbwDZVtvJDnUTQIdCX,2013-09-10,1.0
Beat This Summer,Brad Paisley,2EUHzmBZux7SSra71cGkIB,2013-04-09,1.0
Beats Workin',Van Halen,1MsaD9C9h2jWM4BlXFpZaV,2012-02-07,0.0
Beautiful,P.O.D.,0lcWp2uXDDQul6oHa4Al00,2012-07-10,0.0
Beautiful,"Carly Rae Jepsen, Justin Bieber",52PiyZoav11ZSAoHPqSlzh,2012-01-01,1.0
Beautiful,Aerosmith,22zzEs67LrT6RL25pwpOPW,2012-11-06,0.0
Beautiful 'Cause You Love Me,Girls Aloud,6vtVKLdszL8StRwpHRSy9Z,2012-01-01,0.0
Beautiful Friction,The Fixx,26Qp5NwkTPNstfFrOkIbOX,2012-07-17,0.0
Beautiful Killer,Madonna,1jzoH87jJl3zKzmRLbScYa,2012-01-01,0.0
Beautiful Sinner,Nicki Minaj,4Ezz37sJOAaOSukMUUqUHI,2012-01-01,0.0
Beautiful with You,Halestorm,7e7HOmWvWP12DfPT8oj7ok,2012-04-09,0.0
Beautiful World,The Chevin,3wwgOFXFy4TEmdielt65Ln,2012-09-25,0.0
Beauty And A Beat,"Justin Bieber, Nicki Minaj",190jyVPHYjAqEaOGmMzdyk,2012-06-15,1.0
Beekeeper’s Daughter,The All-American Rejects,24m68kElKhXrlVUuBFtqaY,2012-01-01,0.0
Been Away Too Long,Soundgarden,3W0fjPSYTOS4WnGt3Z1c9M,2012-11-13,0.0
Beer,Lee Brice,57SEO6fffgZgL9MKOvLsvc,2012-04-24,0.0
Beer Money,Kip Moore,61voPX1C71rhwynuLQyajo,2012-01-01,1.0
Beer With Jesus,Thomas Rhett,3ddv7vVcha6sZi3o8KD8O6,2012-01-01,0.0
Beez In The Trap,"Nicki Minaj, 2 Chainz",4It00tEYLwpjQtAhqnjCPC,2012-01-01,1.0
Before I Die,Papa Roach,5fCSwj4YujZrzH2hwR4jfT,2012-10-02,0.0
Beg for Broken Legs,Ryan Bingham,0lztt0DNz7dMgQgjyX9RdB,2012-09-18,0.0
Begin Again,Taylor Swift,0L4YCNRfXAoTvdpWeH2RGj,2012-10-22,1.0
Being Alive and Livin',Craig Morgan,5lqCvE7au4tKqqkjkOjGsR,2012-02-28,0.0
Believe,SafetySuit,1NZWV6bo4kK6qh05tpqLwc,2012,0.0
Believe,Justin Bieber,1AruWZmSy4RerslWBkH8OY,2012-06-15,0.0
Believers (Arab Spring),Nelly Furtado,1gTM9OdXyHFU3oKX2IeHHC,2012-01-01,0.0
Belles,Andrew Bird,4DPgohAtt0EUbSl8kqhcpX,2012-03-06,0.0
Belly Belly Nice,Dave Matthews Band,4aY4LmsgKlxzFOAxBgXrP2,2012-09-11,0.0
Beloved Freak,Garbage,34OUBxsmao93MjwsZRkWQ3,2012-05-14,0.0
Below My Feet,Mumford & Sons,0cBDCol7TFmvpT4A4YpxV3,2012-09-25,0.0
Beneath Your Beautiful (feat. Emeli Sandé),"Labrinth, Emeli Sandé",2EcsgXlxz99UMDSPg5T8RF,2012-04-02,1.0
Benny Goodman,Saint Motel,37IRXXvOKvzHmwU3sJPhJd,2012-07-10,0.0
Best Friend,Madonna,5XkSlO0o0V83XoU9gmZQdY,2012-01-01,0.0
Best Friends and Hospital Beds,Funeral For A Friend,6sVeptB3HhyyGFT7ytuTH4,2012,0.0
Best of Friends,Palma Violets,0uU1970hGvf23hfafI9O50,2012-10-22,0.0
Better Dig Two,The Band Perry,172FxN9bhJFdgnpRep1Ll9,2012-01-01,1.0
Better Off Dead,lostprophets,71ELkLiOW3ixaT5fW3a61o,2012-04-02,0.0
Better Stories,Craig Morgan,6XCX1L5aaiSeciANU17eyq,2012-02-28,0.0
"Better Than Yourself (Criminal Mind, Pt. 2)",Lukas Graham,3DwN8YfAtvJh4c5u8DZPen,2016-04-01,0.0
Between The Raindrops,"Lifehouse, Natasha Bedingfield",1nxGSNnFCpDLwm3umCOUpi,2012-01-01,1.0
Bible Belt,Dry the River,4c5JKxf6yEyxby8cCKE7lD,2012-03-05,0.0
Big Bright World,Garbage,64vutS3wNPC07sztvwYOtV,2012-05-14,0.0
Big Freeze,Muse,630CQp2prewTfH1UAvMgCA,2012-09-24,0.0
Big Hoops (Bigger The Better),Nelly Furtado,6DhLWSl0bmBAyDp0bODTop,2012-01-01,0.0
Big River,Van Halen,6d1vdV2QqBlxmUunMdz9vM,2012-02-07,0.0
Big Train,Black Country Communion,4d1BdWtDG2QIJmseuKFLAN,2012-10-30,0.0
Bigger Than Love,"Benjamin Gibbard, Aimee Mann",0NoKPhyT2DZ8yxtVvT0Bad,2013-10-08,0.0
Biggest Fan,Chris Brown,55rDhYGP7y7ykaFUGkWS6V,2012-07-03,0.0
Birthday Song,"2 Chainz, Kanye West",5qkWTBmDmZjogwIvbKtJQv,2012-01-01,1.0
Bitch Bad,Lupe Fiasco,4CClW2SptqxoGjSxBMQt5A,2012-09-25,0.0
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,712uvW1Vezq8WpQi38v2L9,2012,1.0
Bitches & Bottles (Let's Get It Started),"DJ Khaled, Lil Wayne, T.I., Future",2YGNqwK5ZDn20JIxcy1fW2,2012-01-01,0.0
Bittersweet,Ellie Goulding,5LP1nXNG97SiK38Uvq14ej,2012-11-09,0.0
Black Heart,Stooshe,2WfVeDOEB7PDDNqFn1VCYe,2012-06-15,0.0
Black Rain,Keane,575QxYiBezic1YhcP7ztqT,2012-01-01,0.0
Black Saturday,Soundgarden,0jAQaqq758qnkQaj15uGtT,2012-11-13,0.0
Black Tears,Jason Aldean,6RZsymrL2OZpvBklkOU9Mm,2012-10-16,0.0
Black Tin Box,"Miike Snow, Lykke Li",5MTxSXmSnkYoHeiIZkbCmy,2012-01-01,0.0
Black White & Blue,Ladyhawke,4XUOxu0OcIF4ylDo5hsaTB,2012-01-01,0.0
Blank Page,Christina Aguilera,1n8rXiAQYmZ5D45WmqGTpM,2012-11-09,0.0
Blaze Up a Fire,"Speech Debelle, Roots Manuva, Realism",4YFdMlJGOVkxrBwiwY2Asx,2012,0.0
Bleed Into Your Mind,The All-American Rejects,2ihspAOv4YYeq1eGgRra2F,2012-01-01,0.0
Blonde,Bridgit Mendler,1kGMxiOni0S03K9hlFpdCe,2012-01-01,0.0
