title,artist,year,track_id,name,artists,id,album.release_date
4 Letter Word,Diggy,2012,4HS0ivoARnh6pHkeJgKBUh,4 Letter Word,Diggy,4HS0ivoARnh6pHkeJgKBUh,2012-03-19
40 Mark Strasse,The Shins,2012,3klMnAnAWXdo6MomqXeJMn,40 Mark Strasse,The Shins,3klMnAnAWXdo6MomqXeJMn,2012-03-16
45,The Gaslight Anthem,2012,25Sd73fleKUVPNqITPZkn1,"""45""",The Gaslight Anthem,25Sd73fleKUVPNqITPZkn1,2012-01-01
48 to Go,The Fray,2012,1ViVY9GWzK2HigCiDSDh76,48 to Go,The Fray,1ViVY9GWzK2HigCiDSDh76,2012-02-07
4th And Vine,Sin_ad O'Connor,2012,1vfEb4GFAGX4Xp3miejqbh,4th And Vine,Sinéad O'Connor,1vfEb4GFAGX4Xp3miejqbh,2012-03-05
4th of July,Amy MacDonald,2012,2Q7RfKKC6kqTZIWqauOiAO,4th Of July,Amy Macdonald,2Q7RfKKC6kqTZIWqauOiAO,2012-01-01
4th Street Feeling,Melissa Etheridge,2012,1d1GKqeB0Q3B0DjXDoP0PZ,4th Street Feeling,Melissa Etheridge,1d1GKqeB0Q3B0DjXDoP0PZ,2012-01-01
5-1-5-0,Dierks Bentley,2012,2WKCH4ISejDV9ad7iPp5XU,5-1-5-0,Dierks Bentley,2WKCH4ISejDV9ad7iPp5XU,2012-01-01
5_6_,Jason Mraz,2012,4Cd1nnR2RKdbFN2eTaxAFR,5/6,Jason Mraz,4Cd1nnR2RKdbFN2eTaxAFR,2012-04-13
50 Ways To Say Goodbye,Train,2012,2NniAhAtkRACaMeYt48xlD,50 Ways to Say Goodbye,Train,2NniAhAtkRACaMeYt48xlD,2012-04-17
77,The Big Pink,2012,6qvozNhiGAS3bSNvG7UL3R,77,The Big Pink,6qvozNhiGAS3bSNvG7UL3R,2012-01-16
773 Love,Jeremih,2012,0HBrQjHR5ZCYK5QYfzDbed,773 Love,Jeremih,0HBrQjHR5ZCYK5QYfzDbed,2012-01-01
88,Diggy,2012,2Iau58G6t88PxboDyYERP0,88 (feat. Jadakiss),"Diggy, Jadakiss",2Iau58G6t88PxboDyYERP0,2012-03-19
93 Million Miles,Jason Mraz,2012,1s8tP3jP4GZcyHDsjvw218,93 Million Miles,Jason Mraz,1s8tP3jP4GZcyHDsjvw218,2012-04-13
99 Revolutions,Green Day,2012,3CgT96psOXwPssPNvYPclP,99 Revolutions,Green Day,3CgT96psOXwPssPNvYPclP,2012-12-11
9th Inning,Missy Elliott,2012,0MPSjzpXhDyHAF2hGWl3mY,9th Inning (feat. Timbaland),"Missy Elliott, Timbaland",0MPSjzpXhDyHAF2hGWl3mY,2012-09-18
A Disaster,Melissa Etheridge,2012,0sXGFztu4NdZJ3Dhyhhzjr,A Disaster,Melissa Etheridge,0sXGFztu4NdZJ3Dhyhhzjr,2012-01-01
A Face to Call Home,John Mayer,2012,601913bnwOH19HblKXMr2d,A Face To Call Home,John Mayer,601913bnwOH19HblKXMr2d,2012-05-18
A Little Reminder That I'll Never Forget,Lostprophets,2012,5RYQLh2bVBs7AB5MnghNi7,A Little Reminder That I'll Never Forget,lostprophets,5RYQLh2bVBs7AB5MnghNi7,2012-04-02
A Match Into Water,Pierce the Veil,2012,54MXF9I8s3DuiQo3g0gZ5k,A Match Into Water,Pierce The Veil,54MXF9I8s3DuiQo3g0gZ5k,2012-07-17
A Matter Of Time,The Killers,2012,4InHnDaJdFlDQDCENmm25W,A Matter Of Time,The Killers,4InHnDaJdFlDQDCENmm25W,2012-09-17
A Million Lights,Cheryl Cole,2012,6t4UzzSptJlSu1n8SPT3oN,A Million Lights,Cheryl,6t4UzzSptJlSu1n8SPT3oN,2012-01-01
A Part of Me,Neck Deep,2012,65LjCuIAEUX2AmWUjD9tA3,A Part of Me,"Neck Deep, Laura Whiteside",65LjCuIAEUX2AmWUjD9tA3,2012-09-11
A Place Above,Jehnny Beth,2012,2zW1XlHAazTViSVM60yh6z,A Place Above,"Jehnny Beth, Cillian Murphy",2zW1XlHAazTViSVM60yh6z,2020-06-12
A Prayer,Gordon Bahary,2012,5bvG3JuW5b508b29PJFsTw,A Prayer,Gordon Bahary,5bvG3JuW5b508b29PJFsTw,2012-08-28
A Queens Story,Nas,2012,5ZFe9xHarx827MT4ecHQvi,A Queens Story,Nas,5ZFe9xHarx827MT4ecHQvi,2012-01-01
A Rumor Of Skin,Stone Sour,2012,1MlyPHPWypoxSG6Qwb2qXv,A Rumor of Skin,Stone Sour,1MlyPHPWypoxSG6Qwb2qXv,2012-10-17
A Soft Place To Land,Kathleen Edwards,2012,7djHLw3DRrDIkemd2ktKGH,A Soft Place To Land,Kathleen Edwards,7djHLw3DRrDIkemd2ktKGH,2012-01-01
A Song For Where I'm From,Lostprophets,2012,4uWw5XZQdgq9VVp5fZsU2X,A Song For Where I'm From,lostprophets,4uWw5XZQdgq9VVp5fZsU2X,2012-04-02
A Thousand Years (Part Two),Christina Perri,2012,7hn8Q8WAxFdL4aZ159GI7C,A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,"Christina Perri, Steve Kazee",7hn8Q8WAxFdL4aZ159GI7C,2012-11-09
A Wake,Macklemore & Ryan Lewis,2012,3kuvg9Yt4jo2I74tpCk4zM,A Wake (feat. Evan Roman),"Macklemore, Ryan Lewis, Evan Roman",3kuvg9Yt4jo2I74tpCk4zM,2012-10-09
A War You Cannot Win,All That Remains,2012,3TRNoCpF4VmgSS1PYMThRz,A War You Cannot Win,All That Remains,3TRNoCpF4VmgSS1PYMThRz,2012-11-06
A Wasteland Companion,M. Ward,2012,1SvYJ5T036qyNqF8MUiGXX,A Wasteland Companion,M. Ward,1SvYJ5T036qyNqF8MUiGXX,2012-04-10
Aaliyah,Katy B,2012,3IJGQEgU7pZOj1uDHIPfwY,Aaliyah (feat. Jessie Ware),"Katy B, Jessie Ware",3IJGQEgU7pZOj1uDHIPfwY,2014-02-10
Abraham's Daughter,Arcade Fire,2012,32vKYtEqMhQUL4nWmIUjm0,Abraham's Daughter,Arcade Fire,32vKYtEqMhQUL4nWmIUjm0,2012-01-01
Absolute Zero,Stone Sour,2012,14EORgkbXqIx5K4Haucmnb,Absolute Zero,Stone Sour,14EORgkbXqIx5K4Haucmnb,2012-10-17
Accident Murderers,Nas,2012,5jYiv88eMSwF6eFaqeAwcg,Accident Murderers,"Nas, Rick Ross",5jYiv88eMSwF6eFaqeAwcg,2012-01-01
Acts Of Man,Frightened Rabbit,2012,6PDDLs0XDsWyhJxIqsgzWW,Acts of Man,Frightened Rabbit,6PDDLs0XDsWyhJxIqsgzWW,2013
Admit It Again,Say Anything,2012,0l5ljumpGZGtr79aOLxdZY,Admit It Again,Say Anything,0l5ljumpGZGtr79aOLxdZY,2012-03-13
Adorn,Miguel,2012,25cUhiAod71TIQSNicOaW3,Adorn,Miguel,25cUhiAod71TIQSNicOaW3,2012-09-28
Adrenaline,Shinedown,2012,5oJrV0mGkw9dilk96X3W0c,Adrenaline,Shinedown,5oJrV0mGkw9dilk96X3W0c,2012-03-23
Advice,Graham Coxon,2012,6x9trdAVyjAnJL2NED9Xsz,Advice,Graham Coxon,6x9trdAVyjAnJL2NED9Xsz,2012-04-02
Affection,The All-American Rejects,2012,3E1LabJWM4J51ypbrjADLd,Affection,The All-American Rejects,3E1LabJWM4J51ypbrjADLd,2012-01-01
After You,Pulp,2012,4sT8kcliEkMJBUTQqKOIUb,After You,Pulp,4sT8kcliEkMJBUTQqKOIUb,2013-01-28
Afterglow,Black Country Communion,2012,3kbUDnZngXLUcG0deald28,Afterglow,Black Country Communion,3kbUDnZngXLUcG0deald28,2012-10-30
Aftershave Ocean,The Vaccines,2012,24MeNmhtBqE9sZkKNkzzbY,Aftershave Ocean,The Vaccines,24MeNmhtBqE9sZkKNkzzbY,2012-09-03
Against You,Lacuna Coil,2012,6ik8OotIniEm64d8ddhkV5,Against You,Lacuna Coil,6ik8OotIniEm64d8ddhkV5,2012-01-20
Age,Lianne La Havas,2012,4XoxZQiUmuL1SsQfrAWbif,Age,Lianne La Havas,4XoxZQiUmuL1SsQfrAWbif,2012-07-09
Agony,Paloma Faith,2012,62ZkL8GK1xNlPd25Ygcilu,Agony,Paloma Faith,62ZkL8GK1xNlPd25Ygcilu,2012-10-22
"Ah, Sweet Dancer",Santana,2012,60cvFw0AoVDae3wzW0DDZG,"Ah, Sweet Dancer",Santana,60cvFw0AoVDae3wzW0DDZG,2012-05-11
Airborne Ranger Infantry,Kristy Lee Cook,2012,0Mrj7HAEhb2lo4dmvk0JXc,Airborne Ranger Infantry,Kristy Lee Cook,0Mrj7HAEhb2lo4dmvk0JXc,2012-10-16
Alarm Clock,Shinee,2012,0vmAXhoWnUsbaT69SbX3JJ,Alarm Clock,SHINee,0vmAXhoWnUsbaT69SbX3JJ,2012-03-21
Albacore,Ani DiFranco,2012,3B3JT26JC46DDEbYz4dzcu,Albacore,Ani DiFranco,3B3JT26JC46DDEbYz4dzcu,2012-01-17
Algiers,Calexico,2012,6sECoxmOxyfyVlExV2HIRb,Algiers,Calexico,6sECoxmOxyfyVlExV2HIRb,2012-09-11
Alive,Krewella,2012,2SHnUyZq0zwmvRIl4WY77G,Alive,Krewella,2SHnUyZq0zwmvRIl4WY77G,2012-06-18
All Around The World,Justin Bieber,2012,1Mg8vLBYwizu7AuhYQO64V,All Around The World,"Justin Bieber, Ludacris",1Mg8vLBYwizu7AuhYQO64V,2012-06-15
All Gold Everything,Trinidad James,2012,19K5wRn8DpOiCx6n8SFhZR,All Gold Everything,Trinidad James,19K5wRn8DpOiCx6n8SFhZR,2012-11-28
All I Have Left Is You,The Offspring,2012,2zCvytHUzL3CkeSlfrfLYI,All I Have Left Is You,The Offspring,2zCvytHUzL3CkeSlfrfLYI,2012-06-26
All I Need To Know,Thousand Foot Krutch,2012,3qwQO957WUbTw8A2Ifat4E,All I Need to Know,Thousand Foot Krutch,3qwQO957WUbTw8A2Ifat4E,2012-04-17
All In,Flying Lotus,2012,7eWIBNEmDlIpnrrhcubpK0,All In,Flying Lotus,7eWIBNEmDlIpnrrhcubpK0,2012-10-01
All In A Family,Loudon Wainwright III,2012,4rdSbjVQg5f8geyt4gWfmY,All in a Family,Loudon Wainwright III,4rdSbjVQg5f8geyt4gWfmY,2012-04-17
All In Vain,The Vaccines,2012,61mBH898BNub9ru3LcKUfK,All In Vain,The Vaccines,61mBH898BNub9ru3LcKUfK,2012-09-03
All Is Fair,Cheryl Cole,2012,1QTmt4xLgL91PiTLMldX7n,All Is Fair,Cheryl,1QTmt4xLgL91PiTLMldX7n,2012-01-01
All Is Fair,Big Wreck,2012,2kvWmhH0p7qc5e7GcqePMe,All Is Fair,Big Wreck,2kvWmhH0p7qc5e7GcqePMe,2012-01-01
All Over the Road,Easton Corbin,2012,6XD3HMATLswheYevIfKkSi,All Over The Road,Easton Corbin,6XD3HMATLswheYevIfKkSi,2012-01-01
All That I Want,Robbie Williams,2012,0Jm0R7hYJIdkWNvqQnnm53,All That I Want,Robbie Williams,0Jm0R7hYJIdkWNvqQnnm53,2012-11-05
All That Matters (The Beautiful Life),Kesha,2012,7949ooAKks9n3EB5CesM4B,All That Matters (The Beautiful Life),Kesha,7949ooAKks9n3EB5CesM4B,2012-11-30
All The Little Lights,Passenger,2012,5QrqXOTpWw4MfoDlHfCdBL,All the Little Lights,Passenger,5QrqXOTpWw4MfoDlHfCdBL,2013-02-17
All the Rowboats,Regina Spektor,2012,5rSlEtSKiOYivDFChX3FRW,All the Rowboats,Regina Spektor,5rSlEtSKiOYivDFChX3FRW,2012-05-25
All The Time,Jeremih,2012,0USZx50eApN045zIIyjePN,All The Time,"Jeremih, Lil Wayne, Natasha Mosley",0USZx50eApN045zIIyjePN,2013-01-01
All This Time,Britt Nicole,2012,6oUKzFleJraGH2LJsWhgfg,All This Time - Pop Mix,Britt Nicole,6oUKzFleJraGH2LJsWhgfg,2012
All Those Friendly People,Funeral Suits,2012,5RqJrJRVZ0wdiI4yFuv3u6,All Those Friendly People,Funeral Suits,5RqJrJRVZ0wdiI4yFuv3u6,2012-06-01
All Too Well,Taylor Swift,2012,1q3RiD1tIWUpGsNFADMlvl,All Too Well,Taylor Swift,1q3RiD1tIWUpGsNFADMlvl,2012-10-22
All Wash Out,Edward Sharpe & the Magnetic Zeros,2012,6J1DNhkecvjjEW9tsNWR75,All Wash Out,Edward Sharpe & The Magnetic Zeros,6J1DNhkecvjjEW9tsNWR75,2012-05-29
All We Have Is Now,The Modern Electric,2012,5s78vi4v2Qo95QbPGTWKE2,All We Have Is Now,The Modern Electric,5s78vi4v2Qo95QbPGTWKE2,2012-12-05
All Your Clothes,Martha Wainwright,2012,0fUK6eN7zol11FgdtwGixG,All Your Clothes,Martha Wainwright,0fUK6eN7zol11FgdtwGixG,2012-10-15
All Your Gold,Bat for Lashes,2012,2rReQXVcbiDCH59a7ZHeoI,All Your Gold,Bat For Lashes,2rReQXVcbiDCH59a7ZHeoI,2012-10-15
Allowance,Our Lady Peace,2012,4G9VChpbBIpv5jOKNHkEt1,Allowance,Our Lady Peace,4G9VChpbBIpv5jOKNHkEt1,2012-04-17
Alone Or With Friends,Tribes,2012,0lzOzarj5UYKswyUiSzFz2,Alone Or With Friends,Tribes,0lzOzarj5UYKswyUiSzFz2,2012-01-01
Alone Together,Daley,2012,4bx93Btylz6Rl6QIOrtBV4,Alone Together,"Daley, Marsha Ambrosius",4bx93Btylz6Rl6QIOrtBV4,2012-01-01
Alone With You (Maddie's Song),Ne-Yo,2012,2HkOWK5RHMw1zOZimRxLgH,Alone With You (Maddie's Song),Ne-Yo,2HkOWK5RHMw1zOZimRxLgH,2012-01-01
Alpha Omega,Architects,2012,6kPRhrZlI79vlKAy374E2M,Alpha Omega,Architects,6kPRhrZlI79vlKAy374E2M,2012-06-05
Alternative Power to the People,The Dandy Warhols,2012,1wpZ4dAzbi2voAnaZaDmNf,Alternative Power To The People,The Dandy Warhols,1wpZ4dAzbi2voAnaZaDmNf,2012-04-24
Always Waiting,Michael Kiwanuka,2012,4cLQpjdFdKjCuPf4crxuh1,Always Waiting,Michael Kiwanuka,4cLQpjdFdKjCuPf4crxuh1,2012-01-01
Amanaemonesia,Chairlift,2012,4EI01jKoCYK0tZqgAL2RpO,Amanaemonesia,Chairlift,4EI01jKoCYK0tZqgAL2RpO,2012-01-24
Amanita,Animal Collective,2012,6PPBVjnfqKuaMn6EjjdDXb,Amanita,Animal Collective,6PPBVjnfqKuaMn6EjjdDXb,2012-09-04
Amaryllis,Shinedown,2012,1V2FWYA9sLJQqjQ8BRWj7Q,Amaryllis,Shinedown,1V2FWYA9sLJQqjQ8BRWj7Q,2012-03-23
Amen,Leonard Cohen,2012,570g2MRjY7we1R48N2fzHr,Amen,Leonard Cohen,570g2MRjY7we1R48N2fzHr,2012-03-28
Amen,Meek Mill,2012,32UIpKdyGzgTPTO8e5ge5c,Amen (feat. Drake),"Meek Mill, Drake",32UIpKdyGzgTPTO8e5ge5c,2012-10-26
Amen,Paper Tongues,2012,6O5Hi5UuJ2bodLvaLPxzjm,Amen,Paper Tongues,6O5Hi5UuJ2bodLvaLPxzjm,2012-06-29
Amendment,Ani DiFranco,2012,62KrfdxFFSU3nWZen3BS1i,Amendment,Ani DiFranco,62KrfdxFFSU3nWZen3BS1i,2012-01-17
America,Howler,2012,3RDmptJqHBzmLP2ADMe2F5,America,Howler,3RDmptJqHBzmLP2ADMe2F5,2012-01-16
America,Deuce,2012,3smUHBHcUoOjqWRq9dfBDL,America,Deuce,3smUHBHcUoOjqWRq9dfBDL,2012-04-24
American Beautiful,The Henningsens,2012,6C1BUMo3Eq3Xudv2Oo2CLr,American Beautiful,The Henningsens,6C1BUMo3Eq3Xudv2Oo2CLr,2013-05-27
American Heart,Faith Hill,2012,2yPFfoT04AIb5Ak4r1NdHr,American Heart,Faith Hill,2yPFfoT04AIb5Ak4r1NdHr,2012-10-02
American Steel,Soulfly,2012,7blnGomUG8PcSSBuqixFmi,American Steel,Soulfly,7blnGomUG8PcSSBuqixFmi,2012-03-09
Amerigo,Patti Smith,2012,1tZ4JHHtnELQC3smRIkJ2q,Amerigo,Patti Smith,1tZ4JHHtnELQC3smRIkJ2q,2012-06-01
Amsterdam,Rick Ross,2012,4duKSDnLGdvwJ5yxDNhPmj,Amsterdam,Rick Ross,4duKSDnLGdvwJ5yxDNhPmj,2012-01-01
Amy,Green Day,2012,7mjLvFRhiMfvEJiBOLDZkB,Amy,Green Day,7mjLvFRhiMfvEJiBOLDZkB,2012-11-13
Analog Man,Joe Walsh,2012,11CK9ToNAdYPI15q2Jkp2D,Analog Man,Joe Walsh,11CK9ToNAdYPI15q2Jkp2D,2012-01-01
Anastasia,Slash,2012,7JJ22vCP45tMhZnAH4Sp1e,Anastasia,"Slash, Myles Kennedy And The Conspirators",7JJ22vCP45tMhZnAH4Sp1e,2012-01-01
Andrew In Drag,Magnetic Fields,2012,5ehMCdeOhsgsx25M6wAEzu,Andrew in Drag,The Magnetic Fields,5ehMCdeOhsgsx25M6wAEzu,2012-03-06
Angel,Gordon Bahary,2012,5gqx0ksCSHWnaSpIoSre7d,Angel,Gordon Bahary,5gqx0ksCSHWnaSpIoSre7d,2012-08-28
Angel,Sarah Brightman,2012,4ONd4j4MRfz48gpi2hjYuQ,Angel,Sarah Brightman,4ONd4j4MRfz48gpi2hjYuQ,2012-10-16
Angels,The xx,2012,3zsRP8rH1kaIAo9fmiP4El,Angels,The xx,3zsRP8rH1kaIAo9fmiP4El,2012-09-10
Angels & Stars,Eric Turner,2012,4oe86opYEkOklKITVFiNyp,Angels & Stars - Ishi Rock Re-Edit,"Eric Turner, Lupe Fiasco, Tinie Tempah",4oe86opYEkOklKITVFiNyp,2012-01-01
Animal,Conor Maynard,2012,690DtfFHFhizuE0rbQslzz,Animal,Conor Maynard,690DtfFHFhizuE0rbQslzz,2012-10-31
Animal Skins,Dry the River,2012,1UPsIlZ1LJPSDrNWpbD3PQ,Animal Skins,Dry the River,1UPsIlZ1LJPSDrNWpbD3PQ,2012-03-05
Animals,Muse,2012,2raJLzvNRvipP8cJuchk6U,Animals,Muse,2raJLzvNRvipP8cJuchk6U,2012-09-24
Anna Sun,Walk the Moon,2012,3e0yTP5trHBBVvV32jwXqF,Anna Sun,WALK THE MOON,3e0yTP5trHBBVvV32jwXqF,2012-06-19
Another Camden Afternoon,The Stranglers,2012,29RJqd7lqRsvxLfh96GOFg,Another Camden Afternoon,The Stranglers,29RJqd7lqRsvxLfh96GOFg,2012
Another Home,Mary Chapin Carpenter,2012,36MaK0ZaKPtrnW9Dd4fOFm,Another Home,Mary Chapin Carpenter,36MaK0ZaKPtrnW9Dd4fOFm,2012-01-01
Another Last Goodbye,Aerosmith,2012,5pAj9f6NE1WNmXHm61JaX8,Another Last Goodbye,Aerosmith,5pAj9f6NE1WNmXHm61JaX8,2012-11-06
Another Love,Tom Odell,2012,5FKnuwsKf7YFpmhA5Wnl0q,Another Love,Tom Odell,5FKnuwsKf7YFpmhA5Wnl0q,2012
Another Round,Fat Joe,2012,3Rh3zDYanZFHaeXFT4Asps,Another Round (feat. Chris Brown),"Fat Joe, Chris Brown",3Rh3zDYanZFHaeXFT4Asps,2011
Another Shot,Lostprophets,2012,1N9xehmHKR6yD0H21pzgcl,Another Shot,lostprophets,1N9xehmHKR6yD0H21pzgcl,2012-04-02
Anthem,Ringo Starr,2012,0Mdjxjn3GmtElirrKfMS46,Anthem,Ringo Starr,0Mdjxjn3GmtElirrKfMS46,2012-01-01
Anxiety,Ladyhawke,2012,7GnEAFng5S150NKKE0WOap,Anxiety,Ladyhawke,7GnEAFng5S150NKKE0WOap,2012-01-01
Any Day Will Do Fine,Michael Kiwanuka,2012,5DODqUKPEEVIS2TslOjz0K,Any Day Will Do Fine,Michael Kiwanuka,5DODqUKPEEVIS2TslOjz0K,2012-01-01
Anyhow,Leonard Cohen,2012,53Q4TZtICirlK5tQxxV5LO,Anyhow,Leonard Cohen,53Q4TZtICirlK5tQxxV5LO,2012-03-28
Anyone Else,Matt Cardle,2012,2KndZ38hCNVk3Jmb0l6uDC,Anyone Else,Matt Cardle,2KndZ38hCNVk3Jmb0l6uDC,2013-08-27
Anything Could Happen,Ellie Goulding,2012,7C7yqFTM0ncyJ04GIKrxdV,Anything Could Happen,Ellie Goulding,7C7yqFTM0ncyJ04GIKrxdV,2012-01-01
Anything We Want,Fiona Apple,2012,1eBB2ZqS7NAVe6henP56PY,Anything We Want,Fiona Apple,1eBB2ZqS7NAVe6henP56PY,2012-06-18
Anywhere In The World,Mark Ronson & Katy B,2012,2UnvZiqXDnx91k0Sy8hmTR,Anywhere in the World - Radio Edit,"Mark Ronson, Katy B",2UnvZiqXDnx91k0Sy8hmTR,2012-05-15
Apocalypse Dreams,Tame Impala,2012,7qU7vhCPKhkDiJYGoboISc,Apocalypse Dreams,Tame Impala,7qU7vhCPKhkDiJYGoboISc,2012-01-01
Apocalyptic Love,Slash,2012,1BBZvoRi5KJNVZTM0eLl6B,Apocalyptic Love,"Slash, Myles Kennedy And The Conspirators",1BBZvoRi5KJNVZTM0eLl6B,2012-01-01
Apocryphon,The Sword,2012,0PVS91vWfafu1M7nhgDTCV,Apocryphon,The Sword,0PVS91vWfafu1M7nhgDTCV,2012-10-22
Apparition,Frank + Derol,2012,4MfV4vECXJgjHwG7agDn0c,Apparition,Frank + Derol,4MfV4vECXJgjHwG7agDn0c,2012-01-01
Applesauce,Animal Collective,2012,0J5POT62uxjTbqNYpjBKvY,Applesauce,Animal Collective,0J5POT62uxjTbqNYpjBKvY,2012-09-04
April Fool,Patti Smith,2012,53eJ84ALjlKpU2A2OpohCN,April Fool,Patti Smith,53eJ84ALjlKpU2A2OpohCN,2012-06-01
Are We All We Are,Pink,2012,1DUhAeBCT4r66Gu4P3nirG,Are We All We Are,P!nk,1DUhAeBCT4r66Gu4P3nirG,2012-09-18
Are You With Me,Easton Corbin,2012,6z1frj1JhCZhgKzUZUNU31,Are You With Me,Easton Corbin,6z1frj1JhCZhgKzUZUNU31,2012-01-01
Arena,B.o.B,2012,1lge9PphTqgL3k7fidOo3j,Arena (feat. Chris Brown & T.I.),"B.o.B, Chris Brown, T.I.",1lge9PphTqgL3k7fidOo3j,2012-04-27
Arena Rock Encore With Full Cast,The Cribs,2012,0QPMMzMUwagPV5BxCFmyKD,Arena Rock Encore With Full Cast,The Cribs,0QPMMzMUwagPV5BxCFmyKD,2012-04-30
Arguing With Thermometers,Enter Shikari,2012,3fTC3Mf88BYUgsiWiOYVr9,Arguing With Thermometers,Enter Shikari,3fTC3Mf88BYUgsiWiOYVr9,2012-01-17
Army Of Me,Christina Aguilera,2012,7v5lw7SXqUaNuDBDSI6F8O,Army of Me,Christina Aguilera,7v5lw7SXqUaNuDBDSI6F8O,2012-11-09
Army Of Two,Olly Murs,2012,5eHBwub0uVM4bnXgzhiBbK,Army of Two,Olly Murs,5eHBwub0uVM4bnXgzhiBbK,2012-11-26
Around My Way (Freedom Ain't Free),Lupe Fiasco,2012,2Vba5MBCdGqcE57GSiOstv,Around My Way (Freedom Ain't Free),Lupe Fiasco,2Vba5MBCdGqcE57GSiOstv,2012-09-25
Artificial Nocturne,Metric,2012,6fPyxBPMICphFl3z9hJqvi,Artificial Nocturne,Metric,6fPyxBPMICphFl3z9hJqvi,2012-06-12
As Far as I Remember,Papa Roach,2012,0eGPGood2FTOezv1dMNgW4,As Far As I Remember,Papa Roach,0eGPGood2FTOezv1dMNgW4,2012-10-02
As Fast As You Can,Our Lady Peace,2012,5F0sY6wytQcDy5oLCPzY6u,As Fast As You Can,Our Lady Peace,5F0sY6wytQcDy5oLCPzY6u,2012-04-17
As Is,Van Halen,2012,6hkEQYEuQrJs8FV1EIptnn,As Is,Van Halen,6hkEQYEuQrJs8FV1EIptnn,2012-02-07
As Long As You Love Me,Justin Bieber,2012,0pwYLVXVknPSGUQb39cePC,As Long As You Love Me,"Justin Bieber, Big Sean",0pwYLVXVknPSGUQb39cePC,2012-06-15
As Your Friend,Chris Brown,2012,5Z1x5bcY08XnoUxRJKAHZv,As Your Friend,"Afrojack, Chris Brown",5Z1x5bcY08XnoUxRJKAHZv,2014-01-01
Automatic,Nicki Minaj,2012,4HWOkaS6pRmNODWmS7EGvs,Automatic,Nicki Minaj,4HWOkaS6pRmNODWmS7EGvs,2012-01-01
Automatic,Dawn Richard,2012,19lNd2q7ro6Gg5krNSLU1m,Automatic,Dawn Richard,19lNd2q7ro6Gg5krNSLU1m,2012-03-27
Automatic Systematic Habit,Garbage,2012,6v1jIacWXqK1FeSEnadbIt,Automatic Systematic Habit,Garbage,6v1jIacWXqK1FeSEnadbIt,2012-05-14
