,name,artists,hit,sentiment,score
47,A War You Cannot Win,All That Remains,0.0,negative,-0.9991
48,A Wasteland Companion,M. Ward,0.0,positive,0.8074
49,Aaliyah (feat. Jessie Ware),"Katy B, Jessie Ware",0.0,negative,-0.9682
50,Abraham's Daughter,Arcade Fire,0.0,neutral,0.1531
51,Absolute Zero,Stone Sour,0.0,negative,-0.9846
52,Accident Murderers,"Nas, Rick Ross",0.0,negative,-0.9998
53,Acts of Man,Frightened Rabbit,0.0,negative,-0.9552
54,Admit It Again,Say Anything,0.0,negative,-0.9069
55,Adorn,Miguel,1.0,positive,0.9978
56,Adrenaline,Shinedown,0.0,positive,0.9842
57,Advice,Graham Coxon,0.0,positive,0.9485
58,Affection,The All-American Rejects,0.0,positive,0.997
59,After You,Pulp,0.0,negative,-0.9004
60,Afterglow,Black Country Communion,0.0,negative,-0.9287
61,Aftershave Ocean,The Vaccines,0.0,positive,0.9755
62,Against You,Lacuna Coil,0.0,negative,-0.9712
63,Age,Lianne La Havas,0.0,positive,0.9608
64,Agony,Paloma Faith,0.0,negative,-0.9931
65,Airborne Ranger Infantry,Kristy Lee Cook,0.0,negative,-0.971
66,Alarm Clock,SHINee,0.0,neutral,0.0
67,Albacore,Ani DiFranco,0.0,positive,0.9963
68,Alive,Krewella,1.0,neutral,0.374
69,All Around The World,"Justin Bieber, Ludacris",1.0,positive,0.992
70,All Gold Everything,Trinidad James,1.0,negative,-0.9406
71,All I Have Left Is You,The Offspring,0.0,negative,-0.8625
72,All I Need to Know,Thousand Foot Krutch,0.0,positive,0.6907
73,All in a Family,Loudon Wainwright III,0.0,neutral,-0.2825
74,All In Vain,The Vaccines,0.0,negative,-0.9695
75,All Is Fair,Cheryl,0.0,negative,-0.9928
76,All Is Fair,Big Wreck,0.0,negative,-0.9099
77,All Over The Road,Easton Corbin,1.0,positive,0.9805
78,All That I Want,Robbie Williams,0.0,negative,-0.8362
79,All That Matters (The Beautiful Life),Kesha,0.0,positive,0.9998
80,All the Little Lights,Passenger,0.0,neutral,-0.4404
81,All the Rowboats,Regina Spektor,0.0,negative,-0.8558
82,All The Time,"Jeremih, Lil Wayne, Natasha Mosley",0.0,positive,0.7901
83,All This Time - Pop Mix,Britt Nicole,0.0,neutral,0.0342
84,All Those Friendly People,Funeral Suits,0.0,negative,-0.8931
85,All Too Well,Taylor Swift,0.0,positive,0.9916
86,All Wash Out,Edward Sharpe & The Magnetic Zeros,0.0,positive,0.9845
87,All We Have Is Now,The Modern Electric,0.0,neutral,0.1531
88,All Your Clothes,Martha Wainwright,0.0,positive,0.9279
89,All Your Gold,Bat For Lashes,0.0,negative,-0.9146
90,Allowance,Our Lady Peace,0.0,positive,0.9432
91,Alone Or With Friends,Tribes,0.0,positive,0.987
92,Alone Together,"Daley, Marsha Ambrosius",0.0,positive,0.8819
93,Alone With You (Maddie's Song),Ne-Yo,0.0,negative,-0.9835
94,Alpha Omega,Architects,0.0,negative,-0.9005
95,Always Waiting,Michael Kiwanuka,0.0,positive,0.9121
96,Amanaemonesia,Chairlift,0.0,negative,-0.9858
97,Amanita,Animal Collective,0.0,negative,-0.9484
98,Amaryllis,Shinedown,0.0,positive,0.8823
99,Amen,Leonard Cohen,0.0,neutral,0.1197
100,Amen (feat. Drake),"Meek Mill, Drake",1.0,negative,-0.9981
101,Amen,Paper Tongues,0.0,negative,-0.989
102,Amendment,Ani DiFranco,0.0,positive,0.9792
103,America,Howler,0.0,positive,0.9531
104,America,Deuce,0.0,negative,-0.9991
105,American Beautiful,The Henningsens,0.0,positive,0.9895
106,American Heart,Faith Hill,0.0,positive,0.997
107,American Steel,Soulfly,0.0,negative,-0.9796
108,Amerigo,Patti Smith,0.0,positive,0.976
109,Amsterdam,Rick Ross,0.0,negative,-0.9913
110,Amy,Green Day,0.0,positive,0.9865
111,Analog Man,Joe Walsh,0.0,negative,-0.7964
112,Anastasia,"Slash, Myles Kennedy And The Conspirators",0.0,negative,-0.9611
113,Andrew in Drag,The Magnetic Fields,0.0,negative,-0.6152
114,Angel,Gordon Bahary,0.0,positive,0.9626
115,Angel,Sarah Brightman,0.0,negative,-0.9008
116,Angels,The xx,0.0,positive,0.9981
117,Angels & Stars - Ishi Rock Re-Edit,"Eric Turner, Lupe Fiasco, Tinie Tempah",0.0,positive,0.9943
118,Animal,Conor Maynard,0.0,positive,0.9972
119,Animal Skins,Dry the River,0.0,neutral,-0.2023
120,Animals,Muse,0.0,negative,-0.8807
121,Anna Sun,WALK THE MOON,0.0,negative,-0.9962
122,Another Home,Mary Chapin Carpenter,0.0,negative,-0.9354
123,Another Last Goodbye,Aerosmith,0.0,positive,0.891
124,Another Love,Tom Odell,0.0,positive,0.9986
125,Another Round (feat. Chris Brown),"Fat Joe, Chris Brown",1.0,positive,0.9855
126,Another Shot,lostprophets,0.0,positive,0.9572
127,Anthem,Ringo Starr,0.0,positive,0.9907
128,Anxiety,Ladyhawke,0.0,negative,-0.9809
129,Any Day Will Do Fine,Michael Kiwanuka,0.0,negative,-0.8704
130,Anyhow,Leonard Cohen,0.0,negative,-0.9947
131,Anyone Else,Matt Cardle,0.0,positive,0.9922
132,Anything Could Happen,Ellie Goulding,1.0,negative,-0.9371
133,Anything We Want,Fiona Apple,0.0,positive,0.9082
134,Anywhere in the World - Radio Edit,"Mark Ronson, Katy B",0.0,positive,0.9866
135,Apocalypse Dreams,Tame Impala,0.0,positive,0.9362
136,Apocalyptic Love,"Slash, Myles Kennedy And The Conspirators",0.0,positive,0.6738
137,Apocryphon,The Sword,0.0,neutral,0.3818
138,Apparition,Frank + Derol,0.0,positive,0.8256
139,Applesauce,Animal Collective,0.0,positive,0.9851
140,April Fool,Patti Smith,0.0,negative,-0.8446
141,Are We All We Are,P!nk,0.0,negative,-0.977
142,Are You With Me,Easton Corbin,0.0,positive,0.9888
143,Arena (feat. Chris Brown & T.I.),"B.o.B, Chris Brown, T.I.",0.0,negative,-0.9989
144,Arena Rock Encore With Full Cast,The Cribs,0.0,neutral,-0.1027
145,Arguing With Thermometers,Enter Shikari,0.0,positive,0.807
146,Army of Me,Christina Aguilera,0.0,positive,0.9388
147,Army of Two,Olly Murs,0.0,positive,0.9961
148,Around My Way (Freedom Ain't Free),Lupe Fiasco,0.0,negative,-0.9955
149,Artificial Nocturne,Metric,0.0,neutral,0.2528
150,As Far As I Remember,Papa Roach,0.0,negative,-0.9948
151,As Fast As You Can,Our Lady Peace,0.0,neutral,0.2023
152,As Is,Van Halen,0.0,positive,0.99
153,As Long As You Love Me,"Justin Bieber, Big Sean",1.0,positive,0.9998
154,As Your Friend,"Afrojack, Chris Brown",0.0,positive,0.9984
155,Automatic,Nicki Minaj,0.0,negative,-0.7417
156,Automatic,Dawn Richard,0.0,positive,0.9565
157,Automatic Systematic Habit,Garbage,0.0,positive,0.9899
158,Ayla,The Maccabees,0.0,positive,0.9593
159,Ayy Ladies (feat. Tyga),"Travis Porter, Tyga",1.0,negative,-0.9951
160,B-Day Song,"Madonna, M.I.A.",0.0,positive,0.999
161,Babel,Mumford & Sons,1.0,negative,-0.8807
162,Baby Come Home,Scissor Sisters,0.0,negative,-0.9341
163,Baby Just Break,King Tuff,0.0,positive,0.5713
164,Back (with Jake Owen),Colt Ford,0.0,positive,0.7432
165,Back 2 Life (Live It Up) (feat. T.I.),"Sean Kingston, T.I.",0.0,positive,0.912
166,Back For You,One Direction,0.0,positive,0.78
167,"Back in Time - featured in ""Men In Black 3""",Pitbull,1.0,positive,0.9931
168,Back to the Bolthole,The Cribs,0.0,negative,-0.8668
169,Back When,Nas,0.0,positive,0.7685
170,Backseat Freestyle,Kendrick Lamar,0.0,negative,-0.9976
171,Backseat Serenade,All Time Low,0.0,positive,0.7424
172,Backtrack,Rebecca Ferguson,0.0,negative,-0.9931
173,Bad Apple,Tribes,0.0,positive,0.9845
174,Bad Blood,Bastille,0.0,negative,-0.9898
175,Bad Girls - N.A.R.S. Remix,"M.I.A., Missy Elliott, Nas",0.0,negative,-0.999
176,Bad Mood,The Vaccines,0.0,negative,-0.9989
177,Bad Rain,"Slash, Myles Kennedy And The Conspirators",0.0,negative,-0.766
178,Bad Religion,Frank Ocean,0.0,positive,0.9987
179,"Bad, Bad Dream",The Johnstones,0.0,positive,0.9984
180,"Bag of Money (feat. Rick Ross, Meek Mill & T-Pain)","Wale, Rick Ross, Meek Mill, T-Pain",1.0,negative,-0.9999
181,Bait And Switch,The Shins,0.0,positive,0.843
182,Ball (feat. Lil Wayne),"T.I., Lil Wayne",1.0,negative,-0.9982
183,Band Played On,Joe Walsh,0.0,neutral,-0.4166
184,"Bandz A Make Her Dance Remix (feat. French Montana, LoLa Monroe, Wiz Khalifa & B.o.B)","Juicy J, French Montana, Lola Monroe, Wiz Khalifa, B.o.B",0.0,negative,-0.9812
185,Banga,Patti Smith,0.0,positive,0.9812
186,Banjo,Rascal Flatts,1.0,positive,0.7676
187,Banjo,Leonard Cohen,0.0,negative,-0.9584
188,Banlieue,Maximo Park,0.0,negative,-0.8821
189,Barbara,Rufus Wainwright,0.0,positive,0.5106
190,Bastards,Cancer Bats,0.0,negative,-0.9911
191,Battle Born,The Killers,0.0,positive,0.9714
192,Battle in Me,Garbage,0.0,negative,-0.9981
193,Battle Scars,"Lupe Fiasco, Guy Sebastian",1.0,positive,0.9984
194,BBD,Azealia Banks,0.0,negative,-0.9993
195,Be A Boy,Robbie Williams,0.0,positive,0.8862
196,Be Above It,Tame Impala,0.0,neutral,0.2584
197,Be Alright,Justin Bieber,0.0,positive,0.9654
198,Be Careful What You Ask For,Everclear,0.0,positive,0.9086
199,Be Happy Children,Paul Weller,0.0,positive,0.9863
200,Be Honest (feat. Inara George),Jason Mraz,0.0,positive,0.9979
201,Be Mine,Alabama Shakes,0.0,neutral,0.4031
202,Be Somebody,Thousand Foot Krutch,0.0,positive,0.9234
203,Be Still,The Fray,0.0,negative,-0.9565
204,Be Still,The Killers,0.0,positive,0.9382
205,Be Strong,The 2 Bears,0.0,positive,0.9942
206,Beacon,Two Door Cinema Club,0.0,neutral,0.4939
207,Beam Me Up,P!nk,0.0,positive,0.8874
208,Beam Me Up - Radio Edit,CAZZETTE,0.0,neutral,0.3586
209,Beat It (feat. Chris Brown & Wiz Khalifa),"Sean Kingston, Chris Brown, Wiz Khalifa",1.0,positive,0.992
210,Beat This Summer,Brad Paisley,1.0,positive,0.9931
211,Beats Workin',Van Halen,0.0,positive,0.9722
212,Beautiful,P.O.D.,0.0,positive,0.999
213,Beautiful,"Carly Rae Jepsen, Justin Bieber",1.0,positive,0.9772
214,Beautiful,Aerosmith,0.0,positive,0.9947
215,Beautiful 'Cause You Love Me,Girls Aloud,0.0,positive,0.9683
216,Beautiful Friction,The Fixx,0.0,positive,0.9962
217,Beautiful Killer,Madonna,0.0,positive,0.9807
218,Beautiful Sinner,Nicki Minaj,0.0,positive,0.9991
219,Beautiful with You,Halestorm,0.0,positive,0.9962
220,Beautiful World,The Chevin,0.0,positive,0.9939
221,Beauty And A Beat,"Justin Bieber, Nicki Minaj",1.0,positive,0.9952
222,Beekeeper’s Daughter,The All-American Rejects,0.0,positive,0.7146
223,Been Away Too Long,Soundgarden,0.0,neutral,-0.3952
224,Beer,Lee Brice,0.0,positive,0.9936
225,Beer Money,Kip Moore,1.0,positive,0.9872
226,Beer With Jesus,Thomas Rhett,0.0,positive,0.9842
227,Beez In The Trap,"Nicki Minaj, 2 Chainz",1.0,negative,-0.9992
228,Before I Die,Papa Roach,0.0,negative,-0.9974
229,Beg for Broken Legs,Ryan Bingham,0.0,negative,-0.9703
230,Begin Again,Taylor Swift,1.0,positive,0.9831
231,Being Alive and Livin',Craig Morgan,0.0,positive,0.745
232,Believe,SafetySuit,0.0,negative,-0.9697
233,Believe,Justin Bieber,0.0,neutral,-0.4285
234,Believers (Arab Spring),Nelly Furtado,0.0,positive,0.992
235,Belly Belly Nice,Dave Matthews Band,0.0,positive,0.9966
236,Beloved Freak,Garbage,0.0,negative,-0.9569
237,Below My Feet,Mumford & Sons,0.0,neutral,-0.3508
238,Beneath Your Beautiful (feat. Emeli Sandé),"Labrinth, Emeli Sandé",1.0,positive,0.9984
239,Benny Goodman,Saint Motel,0.0,negative,-0.6239
240,Best Friend,Madonna,0.0,positive,0.9987
241,Best Friends and Hospital Beds,Funeral For A Friend,0.0,positive,0.6562
242,Best of Friends,Palma Violets,0.0,positive,0.9968
243,Better Dig Two,The Band Perry,1.0,positive,0.8313
244,Better Off Dead,lostprophets,0.0,negative,-0.993
245,Better Stories,Craig Morgan,0.0,positive,0.9945
246,"Better Than Yourself (Criminal Mind, Pt. 2)",Lukas Graham,0.0,positive,0.9946
247,Between The Raindrops,"Lifehouse, Natasha Bedingfield",1.0,positive,0.9922
248,Bible Belt,Dry the River,0.0,negative,-0.8971
249,Big Bright World,Garbage,0.0,positive,0.9356
250,Big Freeze,Muse,0.0,negative,-0.7183
251,Big Hoops (Bigger The Better),Nelly Furtado,0.0,positive,0.9994
252,Big River,Van Halen,0.0,positive,0.8798
253,Big Train,Black Country Communion,0.0,neutral,0.34
254,Bigger Than Love,"Benjamin Gibbard, Aimee Mann",0.0,positive,0.6686
255,Biggest Fan,Chris Brown,0.0,positive,0.9937
256,Birthday Song,"2 Chainz, Kanye West",1.0,negative,-0.9986
257,Bitch Bad,Lupe Fiasco,0.0,negative,-0.9993
258,"Bitch, Don’t Kill My Vibe",Kendrick Lamar,1.0,negative,-0.9605
259,Bitches & Bottles (Let's Get It Started),"DJ Khaled, Lil Wayne, T.I., Future",0.0,negative,-0.9998
260,Bittersweet,Ellie Goulding,0.0,neutral,0.3121
261,Black Heart,Stooshe,0.0,negative,-0.9912
262,Black Rain,Keane,0.0,positive,0.9914
263,Black Saturday,Soundgarden,0.0,negative,-0.9607
264,Black Tears,Jason Aldean,0.0,negative,-0.9752
265,Black Tin Box,"Miike Snow, Lykke Li",0.0,positive,0.9517
266,Black White & Blue,Ladyhawke,0.0,negative,-0.9867
267,Blank Page,Christina Aguilera,0.0,negative,-0.9662
268,Blaze Up a Fire,"Speech Debelle, Roots Manuva, Realism",0.0,negative,-0.9209
269,Bleed Into Your Mind,The All-American Rejects,0.0,negative,-0.971
270,Blonde,Bridgit Mendler,0.0,positive,0.9851
271,Blood And Fire,Van Halen,0.0,negative,-0.7627
272,Blood for Poppies,Garbage,0.0,negative,-0.8635
273,Bloodflood,alt-J,0.0,positive,0.9169
274,Bloody Mary (Nerve Endings),Silversun Pickups,0.0,neutral,-0.134
275,Blow Me (One Last Kiss),P!nk,1.0,negative,-0.9456
276,Blown Away,Carrie Underwood,1.0,negative,-0.8402
277,Blue,First Aid Kit,0.0,positive,0.9476
278,Blue Boy,Gordon Bahary,0.0,positive,0.9626
279,Blue Jeans,Lana Del Rey,0.0,positive,0.9959
280,Blue Paper,Yeasayer,0.0,neutral,0.3751
281,Blunderbuss,Jack White,0.0,positive,0.8594
282,Body Electric,Lana Del Rey,0.0,positive,0.9856
283,Bom Bom - Radio Edit,Sam And The Womp,0.0,positive,0.9884
284,Bombs,Dawn Richard,0.0,negative,-0.9993
285,Bombs,Gaz Coombes,0.0,negative,-0.7717
286,Bombs Away (feat. Morgan Freeman),"B.o.B, Morgan Freeman",0.0,positive,0.8298
287,Bones,Michael Kiwanuka,0.0,positive,0.5095
288,Bones,Young Guns,0.0,negative,-0.9663
289,Bones Of Birds,Soundgarden,0.0,negative,-0.9775
290,Boom Boom,Rye Rye,0.0,positive,0.992
291,Bootlegger's Boy,Old Crow Medicine Show,0.0,negative,-0.9948
292,Born Again (feat. Bon Jovi),"Big & Rich, Bon Jovi",0.0,positive,0.886
293,Born and Raised,John Mayer,0.0,negative,-0.9259
294,Born to Sing,Van Morrison,0.0,positive,0.8835
295,Borrowed,LeAnn Rimes,0.0,positive,0.9748
296,Both of Us (feat. Taylor Swift),"B.o.B, Taylor Swift",1.0,positive,0.8817
297,Boyfriend,Justin Bieber,1.0,positive,0.995
298,Boyfriend,RaeLynn,0.0,positive,0.6413
299,Boys & Girls,Alabama Shakes,0.0,negative,-0.7983
300,Brand New Me,Alicia Keys,0.0,positive,0.9931
301,Break Away,Gordon Bahary,0.0,positive,0.9998
302,Break Down These Walls,Melanie Fiona,0.0,neutral,0.2604
303,Break In,Halestorm,0.0,positive,0.6149
304,Break Ya Back,"Timbaland, Dev",0.0,positive,0.9945
305,Breakdown More,Eric Hutchinson,0.0,negative,-0.9079
306,Breakfast,Chiddy Bang,0.0,positive,0.8909
307,Breakfast (Syrup) (feat. 2 Chainz),"Kreayshawn, 2 Chainz",0.0,negative,-0.9727
308,"Breaking Down - MTV Unplugged, 2012",Florence + The Machine,0.0,negative,-0.6868
309,Breaking The Law,Emeli Sandé,0.0,negative,-0.9782
310,Breath Of Life,Florence + The Machine,0.0,positive,0.9549
311,Breathe,Delilah,0.0,positive,0.8941
312,Breathe Armageddon,Cancer Bats,0.0,negative,-0.9905
313,Breezeblocks,alt-J,0.0,positive,0.9999
314,Bricks and Mortar,Cancer Bats,0.0,positive,0.7469
315,Bright Lights,"Tinchy Stryder, Pixie Lott",0.0,positive,0.9932
316,Bring 'Em Down,lostprophets,0.0,positive,0.9789
317,Bring It On Home,Kix Brooks,0.0,negative,-0.5862
318,The Broken,Bebo Norman,0.0,positive,0.9495
319,Broken,Jake Bugg,0.0,negative,-0.5643
320,Broken Crown,Mumford & Sons,0.0,neutral,0.3191
321,Brother Mine,Suzanne Vega,0.0,positive,0.9791
322,Brother Song,Circa Survive,0.0,neutral,0.0511
323,Bruises (feat. Ashley Monroe),"Train, Ashley Monroe",1.0,positive,0.9936
324,BU2B2,Rush,0.0,negative,-0.9153
325,Bubblegum Bitch,MARINA,0.0,positive,0.8378
326,Bucket List,Nelly Furtado,0.0,positive,0.9928
327,Buffalo Soldier (feat. Shyne),"Matisyahu, Shyne",0.0,negative,-0.9942
328,Bullethead,Van Halen,0.0,negative,-0.9893
329,Bulls In The Bronx,Pierce The Veil,0.0,positive,0.9888
330,Bully,Shinedown,0.0,negative,-0.9992
331,BURN IT DOWN,Linkin Park,1.0,positive,0.9515
332,Burn That Candle Down,Richie Sambora,0.0,neutral,0.1128
333,By Crooked Steps,Soundgarden,0.0,negative,-0.9451
334,Bye Baby,Nas,0.0,positive,0.9739
335,C'Mon,Kesha,1.0,positive,0.9935
336,C’mon Let Me Ride,"Skylar Grey, Eminem",0.0,positive,0.9618
337,Caliban's Dream,"Underworld, Alex Trimble",0.0,positive,0.7783
338,California 37,Train,0.0,positive,0.9708
339,California Daze,Peace,0.0,negative,-0.9195
340,Call Me the Breeze,Beth Orton,0.0,neutral,0.0
341,Call Me Up,Thomas Rhett,0.0,positive,0.808
342,Call My Name,Cheryl,0.0,positive,0.9514
343,Call You Out,Flyleaf,0.0,negative,-0.5241
344,Cameo Lover,Kimbra,0.0,positive,0.9986
345,"Can You Hear Me? (Ayayaya) (feat. Skepta, Jme & Ms D)","Wiley, Jme, MSD, Skepta",0.0,positive,0.9889
346,Can You Learn (feat. R. Kelly),"T.I., R. Kelly",0.0,positive,0.9903
347,Can You Save Me?,Hoobastank,0.0,positive,0.7056
348,Can't Get Enough,lostprophets,0.0,negative,-0.9837
349,Can't Go Back,Little Big Town,0.0,neutral,0.2805
350,Can't Go Wrong,Phillip Phillips,0.0,negative,-0.9153
351,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,1.0,positive,0.9964
352,Can't Live in a World,Cover Drive,0.0,negative,-0.6208
353,Can't Say No,Conor Maynard,0.0,positive,0.941
354,Can't Shake You,Gloriana,1.0,positive,0.9665
355,Can't Stop Lovin' You (with Carrie Underwood),"Aerosmith, Carrie Underwood",0.0,positive,0.9738
356,Candles,Beth Orton,0.0,negative,-0.9806
357,Candles,Rufus Wainwright,0.0,positive,0.7579
358,Candles in the Sun,Miguel,0.0,positive,0.9948
359,Candy,Robbie Williams,0.0,negative,-0.9853
360,Capitol (feat. 2 Chainz),"Curren$y, 2 Chainz",0.0,positive,0.9676
361,Careless World,Tyga,0.0,negative,-0.9951
362,Carmen,Lana Del Rey,0.0,positive,0.9981
363,Carnies,Rush,0.0,negative,-0.9325
364,Carolina Rose,Gloriana,0.0,positive,0.9813
365,Carrie,Shiny Toy Guns,0.0,negative,-0.8898
366,Carried Away,Passion Pit,0.0,positive,0.9901
367,Carry On,fun.,1.0,negative,-0.9597
368,Carry On,Avenged Sevenfold,0.0,negative,-0.9831
369,Cars Not Leaving,Gabriel Bruce,0.0,positive,0.9534
370,CASTLE OF GLASS,Linkin Park,0.0,negative,-0.765
371,Casual Sex,My Darkest Days,0.0,positive,0.995
372,Catch My Breath,Kelly Clarkson,1.0,positive,0.8402
373,Catching Feelings,Justin Bieber,0.0,positive,0.9909
374,Caught me Slippin,"Starboy Nathan, Flo Rida",0.0,positive,0.9682
375,Cauterize,As I Lay Dying,0.0,neutral,0.3633
376,Caves (Album Version),Data Romance,0.0,neutral,0.2263
377,Cease Fire,Christina Aguilera,0.0,negative,-0.9979
378,"Celebrate (From the Motion Picture ""Sparkle"")","Whitney Houston, Jordin Sparks",0.0,positive,0.9996
379,Celebrate,"MIKA, Pharrell Williams",0.0,positive,0.9995
380,Celebrate,Kid Rock,0.0,positive,0.9941
381,Celebration,"The Game, Chris Brown, Tyga, Wiz Khalifa, Lil Wayne",1.0,positive,0.9993
382,Celebrity,Alanis Morissette,0.0,positive,0.8029
383,Center of It,Chris August,0.0,negative,-0.6102
384,Chained,The xx,0.0,negative,-0.644
385,Chains,Soulfly,0.0,negative,-0.9985
386,Chalk Outline,Three Days Grace,0.0,negative,-0.9812
387,Champion,"Nicki Minaj, Nas, Drake, Jeezy",0.0,positive,0.9974
388,Champion,The Chevin,0.0,positive,0.9961
389,Champions,"Kevin Rudolf, Limp Bizkit, Birdman, Lil Wayne",0.0,positive,0.9902
390,Change,Churchill,0.0,positive,0.7375
391,Change My Mind,Billy Ray Cyrus,0.0,positive,0.9287
392,"Change of Heart, Pt. 2",The Vaccines,0.0,positive,0.9274
393,Change The Record,"Melanie Fiona, B.o.B",0.0,positive,0.8997
394,Change Your Life,Little Mix,0.0,negative,-0.9656
395,Changed,Rascal Flatts,1.0,neutral,0.1003
396,Charge (Radio Edit),Sway,0.0,positive,0.9199
397,Charlie Ain't Home,ZZ Ward,0.0,positive,0.9621
398,Charmer,Aimee Mann,0.0,positive,0.617
399,Chartreuse,ZZ Top,0.0,positive,0.6098
400,Chasin' Papers (feat. Pharrell),"Curren$y, Pharrell Williams",0.0,negative,-0.9948
401,Chasing The Sun,The Wanted,1.0,positive,0.9898
402,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,1.0,positive,0.996
403,Cherry Pie,Edens Edge,0.0,positive,0.9854
404,Cherry Wine,"Nas, Amy Winehouse",0.0,positive,0.9979
405,Chi-Town,The Cribs,0.0,negative,-0.5647
406,Chickens in the Pen,Kid Rock,0.0,positive,0.9837
407,China Town,Van Halen,0.0,positive,0.9878
408,Chokehold,Adam Lambert,0.0,positive,0.9819
409,Choosing Sides,Field Music,0.0,negative,-0.9809
410,Christ Alone,Edens Edge,0.0,positive,0.9844
411,Christmas Comin' Round Again,Scotty McCreery,0.0,positive,0.9866
412,Christmas In Heaven,Scotty McCreery,0.0,positive,0.959
413,Christmas In The Sand,Colbie Caillat,0.0,positive,0.9968
414,Chum,Earl Sweatshirt,0.0,negative,-0.9936
415,Cigarettes & Truckstops,Lindi Ortega,0.0,positive,0.875
416,The Circle In The Square,Flobots,0.0,negative,-0.7703
417,Circles,Nelly Furtado,0.0,positive,0.9724
418,Circles,Christina Aguilera,0.0,negative,-0.9418
419,Circles,Passenger,0.0,neutral,-0.1531
420,Circles Around the Sun,Dispatch,0.0,positive,0.6868
421,Clarity,"Zedd, Foxes",1.0,negative,-0.976
422,Clean Slate,M. Ward,0.0,positive,0.9315
423,Climax,Usher,1.0,positive,0.9538
424,Climb On Board,Labrinth,0.0,positive,0.9782
425,Clique,"Kanye West, JAY-Z, Big Sean",1.0,negative,-0.998
426,Clockwork Angels,Rush,0.0,positive,0.9977
427,Close Enemies,Example,0.0,positive,0.9529
428,Close To You,Neon Trees,0.0,negative,-0.9867
429,Closer,Sara Arias,0.0,positive,0.9983
430,Closer,Aerosmith,0.0,positive,0.8979
431,Clouds,Newton Faulkner,0.0,negative,-0.938
432,Clouds,Zach Sobiech,0.0,positive,0.978
433,Clown,Emeli Sandé,0.0,positive,0.9637
434,Cocaine and Gin,Kid Rock,0.0,positive,0.8761
435,Cola,Lana Del Rey,0.0,positive,0.9951
436,Cold,"Kanye West, DJ Khaled",0.0,negative,-0.9933
437,Cold Beer Country,Toby Keith,0.0,neutral,-0.1546
