title,artist
Apocalypse Dreams,Tame Impala
Apocalyptic Love,Slash
Apocryphon,The Sword
Apparition,Frank + Derol
Applesauce,Animal Collective
April Fool,Patti Smith
Are We All We Are,Pink
Are You With Me,Easton Corbin
Arena,B.o.B
Arena Rock Encore With Full Cast,The Cribs
Arguing With Thermometers,Enter Shikari
Army Of Me,Christina Aguilera
Army Of Two,Olly Murs
Around My Way (Freedom Ain't Free),Lupe Fiasco
Artificial Nocturne,Metric
As Far as I Remember,Papa Roach
As Fast As You Can,Our Lady Peace
As Is,Van Halen
As Long As You Love Me,Justin Bieber
As Your Friend,Chris Brown
Ashes and Roses,Mary Chapin Carpenter
Automatic,Nicki Minaj
Automatic,Dawn Richard
Automatic Systematic Habit,Garbage
Ayla,The Maccabees
Ayy Ladies,Travis Porter
B-Day Song,Madonna
Babel,Mumford & Sons
Baby Come Home,Scissor Sisters
Baby Just Break,King Tuff
Back,Colt Ford
Back 2 Life,Sean Kingston
Back For You,One Direction
Back in Time,Pitbull
Back To The Bolthole,The Cribs
Back When,Nas
Backseat Freestyle,Kendrick Lamar
Backseat Serenade,All Time Low
Backtrack,Rebecca Ferguson
Bad Apple,Tribes
Bad Blood,Bastille
Bad Girls,M.I.A.
Bad Mood,The Vaccines
Bad Rain,Slash
Bad Religion,Frank Ocean
"Bad, Bad Dream",The Johnstones
Bag of Money,Wale and Meek Mill
Bait and Switch,The Shins
Ball,T.I.
Band Played On,Joe Walsh
Bandz A Make Her Dance,Juicy J
Banga,Patti Smith
Banjo,Rascal Flatts
Banjo,Leonard Cohen
Banlieue,Maxïmo Park
Barbara,Rufus Wainwright
Bastards,Cancer Bats
Battle Born,The Killers
Battle In Me,Garbage
Battle Scars,Lupe Fiasco
BBD,Azealia Banks
Be A Boy,Robbie Williams
Be Above It,Tame Impala
Be Alright,Justin Bieber
Be Careful What You Ask For,Everclear
Be Happy Children,Paul Weller
Be Honest,Jason Mraz
Be Mine,Alabama Shakes
Be Somebody,Thousand Foot Krutch
Be Still,The Fray
Be Still,The Killers
Be Strong,The 2 Bears
Beacon,Two Door Cinema Club
Beam Me Up,Pink
Beam Me Up,Cazzette
Beat It,Sean Kingston
Beat This Summer,Brad Paisley
Beats Workin,Van Halen
Beautiful,P.O.D.
Beautiful,Carly Rae Jepsen
Beautiful,Aerosmith
Beautiful 'Cause You Love Me,Girls Aloud
Beautiful Friction,The Fixx
Beautiful Killer,Madonna
Beautiful Sinner,Nicki Minaj
Beautiful With You,Halestorm
Beautiful World,The Chevin
Beauty And A Beat,Justin Bieber
Beekeeper's Daughter,The All-American Rejects
Been Away Too Long,Soundgarden
Beer,Lee Brice
Beer Money,Kip Moore
Beer With Jesus,Thomas Rhett
Beez In The Trap,Nicki Minaj
Before I Die,Papa Roach
Beg for Broken Legs,Ryan Bingham
Begin Again,Taylor Swift
Being Alive and Livin',Craig Morgan
Believe,SafetySuit
Believe,Justin Bieber
Believers (Arab Spring),Nelly Furtado
Belles,Andrew Bird
Belly Belly Nice,Dave Matthews Band
Beloved Freak,Garbage
Below My Feet,Mumford & Sons
Beneath Your Beautiful,Labrinth
Benny Goodman,Saint Motel
Best Friend,Madonna
Best Friends and Hospital Beds,Funeral for a Friend
Best of Friends,Palma Violets
Better Dig Two,The Band Perry
Better in a Black Dress,Katie Armiger
Better Off Dead,Lostprophets
Better Stories,Craig Morgan
Better Than Yourself (Criminal Mind Pt 2),Lukas Graham
Between the Raindrops,Lifehouse
Bible Belt,Dry the River
Big Bright World,Garbage
Big Freeze,Muse
Big Hoops (Bigger the Better),Nelly Furtado
Big River,Van Halen
Big Train,Black Country Communion
Bigger Than Love,Ben Gibbard
Biggest Fan,Chris Brown
Birthday Song,2 Chainz
Bitch Bad,Lupe Fiasco
"Bitch, Don't Kill My Vibe",Kendrick Lamar
Bitches and Bottles (Let's Get It Started),DJ Khaled
Bittersweet,Ellie Goulding
Black Heart,Stooshe
Black Ops II Theme,Trent Reznor
Black Rain,Keane
Black Saturday,Soundgarden
Black Tears,Jason Aldean
Black Tin Box,Miike Snow
Black White & Blue,Ladyhawke
Blank Page,Christina Aguilera
Blaze Up a Fire,Speech Debelle
Bleed Into Your Mind,The All-American Rejects
Blonde,Bridgit Mendler
Blood and Fire,Van Halen
Blood for Poppies,Garbage
Blood Ox Ritual,Skinflint
Bloodflood,Alt-J
Bloody Mary (Nerve Endings),Silversun Pickups
Blow Me (One Last Kiss),Pink
Blown Away,Carrie Underwood
Blue,First Aid Kit
Blue Boy,Gordon Bahary
Blue Jeans,Lana Del Rey
Blue Paper,Yeasayer
Blunderbuss,Jack White
Bob Dylan is Dead,Marvin Etzioni
Body Electric,Lana Del Rey
Bom Bom,Sam and the Womp
Bombs,Dawn Richard
Bombs,Gaz Coombes
Bombs Away,B.o.B
Bones,Michael Kiwanuka
Bones,Randy Stonehill and Buck Storm
Bones,Young Guns
Bones Of Birds,Soundgarden
Boom Boom,Rye Rye
Bootlegger's Boy,Old Crow Medicine Show
Born Again,Big & Rich
Born and Raised,John Mayer
Born To Sing,Van Morrison
Borrowed,LeAnn Rimes
Both of Us,B.o.B
Boyfriend,Justin Bieber
Boyfriend,RaeLynn
Boys & Girls,Alabama Shakes
Brand New Me,Alicia Keys
Break Away,Gordon Bahary
Break Down These Walls,Melanie Fiona
Break In,Halestorm
Break Ya Back,Timbaland
Breakdown More,Eric Hutchinson
Breakfast,Chiddy Bang
Breakfast  (Syrup),Kreayshawn
Breaking Down,Florence + the Machine
Breaking the Law,Emeli Sandé
Breath Of Life,Florence + the Machine
Breathe,Delilah
Breathe Armageddon,Cancer Bats
Breezeblocks,Alt-J
Bricks And Mortar,Cancer Bats
Bright Lights,Tinchy Stryder
Bring 'Em Down,Lostprophets
Bring It on Home,Kix Brooks
Broken,Bebo Norman
Broken,Jake Bugg
Broken Crown,Mumford & Sons
Brother Mine,Suzanne Vega
Brother Song,Circa Survive
Bruises,Train
BU2B2,Rush
Bubblegum Bitch,Marina
Bucket List,Nelly Furtado
Buffalo Soldier,Matisyahu
Bug Hunt,Skrillex
Bullethead,Van Halen
Bulls in the Bronx,Pierce the Veil
Bully,Shinedown
Burn It Down,Linkin Park
Burn That Candle Down,Richie Sambora
By Crooked Steps,Soundgarden
Bye Baby,Nas
C'Mon,Kesha
C'mon Let Me Ride,Skylar Grey
Caliban's Dream,Underworld
California 37,Train
California Daze,Peace
Call Me The Breeze,Beth Orton
Call Me Up,Thomas Rhett
Call My Name,Cheryl Cole
Call You Out,Flyleaf
Cameo Lover,Kimbra
Can You Hear Me (Ayayaya),Wiley
Can You Learn,T.I.
Can You Save Me?,Hoobastank
Can't Get Enough,Lostprophets
Can't Go Back,Little Big Town
Can't Go Wrong,Phillip Phillips
Can't Hold Us,Macklemore & Ryan Lewis
Can't Live in a World,Cover Drive
Can't Say No,Conor Maynard
Can't Shake You,Gloriana
Can't Stop Loving You,Aerosmith
Candles,Beth Orton
Candles,Rufus Wainwright
Candles in the Sun,Miguel
Candy,Robbie Williams
Capitol,Curren$y
Careless World,Tyga
Carmen,Lana Del Rey
Carnies,Rush
Carolina Rose,Gloriana
Carrie,Shiny Toy Guns
Carried Away,Passion Pit
Carry On,Fun.
Carry On,Avenged Sevenfold
Cars Not Leaving,Gabriel Bruce
Castle Of Glass,Linkin Park
Casual Sex,My Darkest Days
Catch My Breath,Kelly Clarkson
Catching Feelings,Justin Bieber
Caught Me Slippin,Starboy Nathan
Cauterize,As I Lay Dying
Caves,Data Romance
Cease Fire,Christina Aguilera
Celebrate,Whitney Houston & Jordin Sparks
Celebrate,Mika
Celebrate,Kid Rock
Celebration,Game
Celebrity,Alanis Morissette
Center Of It,Chris August
Chained,The xx
Chains,Soulfly
Chalk Outline,Three Days Grace
Champion,Nicki Minaj
Champion,The Chevin
Champions,O.A.R. and B.o.B
Champions,Kevin Rudolf
Change,Churchill
Change My Mind,Billy Ray Cyrus
Change Nothing,Jessica Sanchez
Change Of Heart Pt.2,The Vaccines
Change The Record,Melanie Fiona
Change Your Life,Little Mix
Changed,Rascal Flatts
Charge,Sway
Charlie Ain't Home,ZZ Ward
Charmer,Aimee Mann
Chartreuse,ZZ Top
Chasin' Paper,Curren$y
Chasing The Sun,The Wanted
Cheerleader,OMI
Cherry Pie,Edens Edge
Cherry Wine,Nas
Chi-Town,The Cribs
Chickens In The Pen,Kid Rock
China Town,Van Halen
Chokehold,Adam Lambert
Choosing Sides,Field Music
Christ Alone,Edens Edge
Christmas Comin' Round Again,Scotty McCreery
Christmas In Heaven,Scotty McCreery
Christmas In The Sand,Colbie Caillat
Chum,Earl Sweatshirt
Cigarettes & Truckstops,Lindi Ortega
Circle In The Square,Flobots
Circles,Nelly Furtado
Circles,Christina Aguilera
Circles,Passenger
Circles Around the Sun,Dispatch
Clarity,Zedd
Clean Slate,M. Ward
Cleaning Out My Closet,Angel Haze
Climax,Usher
Climb on Board,Labrinth
Clique,Kanye West
Clockwork Angels,Rush
Close Enemies,Example
Close To You,Neon Trees
Closer,Tegan and Sara
Closer,Aerosmith
Clouds,Newton Faulkner
Clouds,Zach Sobiech
Clown,Emeli Sandé
Cocaine and Gin,Kid Rock
Cola,Lana Del Rey
Cold,Kanye West
Cold Beer Country,Toby Keith
Cold Shoulder,Josh Turner
Colorado,Lukas Nelson and Promise of the Real
Come Alive,Leona Lewis
Come Along,Vicci Martinez
Come Healing,Leonard Cohen
Come Into My Head,Kimbra
Come On A Cone,Nicki Minaj
Come On Be A No-One,The Cribs
Come Over,Kenny Chesney
Come Taste The Rainbow,Example
Come Wake Me Up,Rascal Flatts
Come With Me Now,Kongos
Comeback Kid,Sleigh Bells
Coming to America,K'NAAN
Common Man,Black Country Communion
Compton,Kendrick Lamar
Confessor,Black Country Communion
Constant Conversations,Passion Pit
Constantine's Dream,Patti Smith
Constellations,Enter Shikari
Control,Garbage
Coral Blue,Converge
Corn Star,Craig Morgan
Coronation,Damon Albarn
Cough Cough,Everything Everything
Count Me Out,PUSHERJONES
Counterfeit,Tulisa
Country Boys Like Me,Craig Morgan
Country Song,Jake Bugg
Courage,Peter Gabriel
Courtesy Call,Thousand Foot Krutch
Cowboys and Angels,Dustin Lynch
CPU,Big Boi
Crack Rock,Frank Ocean
Cracks in Mr. Perfect,Ne-Yo
Crash,SafetySuit
Crawl,Black Country Communion
Crawl After You,M. Ward
Craziest Things,Cheryl Cole
Crazy Kids,Kesha
Crazy One More Time,Kip Moore
Crazy To Love You,Leonard Cohen
Crazy World,Boys Like Girls
Crazytown,Aimee Mann
Crucifix,Demon Hunter
Cruise,Florida Georgia Line
Cruising California (Bumpin' in My Trunk),The Offspring
Crush,Sleigh Bells
Cry Freedom,Black Country Communion
Cry Like a Ghost,Passion Pit
Crying on a Suitcase,Casey James
Crying Out For Help,Example
Crystallize,Lindsey Stirling
Cucci Galore,Kid Rock
Cuckoo,Adam Lambert
Cupid's Got a Shotgun,Carrie Underwood
Cups,Anna Kendrick
Curiosity,Carly Rae Jepsen
Cut Copy Me,Petula Clark
Cut Me Some Slack,"Paul McCartney, Dave Grohl, Krist Novoselic & Pat Smear"
Cuz I Play Guitar,Big & Rich
Damaged Goods,Yeasayer
Damn Good Friends,Elle Varner
Dance Again,Jennifer Lopez
Dance All Night,Dirty Heads
Dance Baby Dance,Chris Cagle
Dance For You,Beyoncé
Dandelion,Black Country Communion
Danger,Katy B
Danse Caribe,Andrew Bird
Dark Money,Geoff Tate
Dark Paradise,Lana Del Rey
Darkness,Leonard Cohen
Darkness,Attika 7
Daughters,Nas
Dauðalogn,Sigur Rós
Day 4,Bloc Party
Day Will Come,Keane
Daylight,Maroon 5
Days Go By,The Offspring
Dead Flowers,Demon Hunter
Dead in the Water,Ellie Goulding
Dead Sea,The Lumineers
Dead Set on Living,Cancer Bats
Dead Silence,Billy Talent
Deadlines And Commitments,The Killers
Dear Darlin',Olly Murs
Dear Old America,Heart
Death & Joy,Abandon Jalopy
Death to My Hometown,Bruce Springsteen
Deceiver,Impending Doom
Deeper Water,Public Image Ltd.
Deepest Shame,Plan B
Default,Atoms For Peace
Dementia,Owl City
Demon Road,Yeasayer
Demons,Imagine Dragons
Demonstrate,JoJo
Descending,Big Boi
Desolation,Lamb Of God
Desperation Breeds…,Andrew Bird
Dessert,JLS
"Detroit, Michigan",Kid Rock
Devil's Work,Miike Snow
Devotion,Jessie Ware
Diamond,Brandon Heath
Diamonds,Rihanna
Diamonds Make Babies,Dierks Bentley
Diced Pineapples,Rick Ross
Did It For The Girl,Greg Bates
Die In Your Arms,Justin Bieber
Die Young,Kesha
Diet Mountain Dew,Lana Del Rey
Different,Robbie Williams
Different Sides,Leonard Cohen
Dipoko,Skinflint
Dirty Bass,Far East Movement
Dirty Love,Kesha
Dirty Magic,The Offspring
Dirty Rotten Bastards,Green Day
Disconnected,Keane
Disparate Youth,Santigold
Dissolve Me,Alt-J
Distance,Kelis
Dive,Usher
Dive In,Trey Songz
Divide and Conquer,Shadows Fall
Dividing by Zero,The Offspring
Dixie Highway,Alan Jackson
DMT Song,Flying Lotus
DNA,Little Mix
Do it Anyway,Ben Folds Five
Do It Our Way (Play),Alesha Dixon
Do It With a Rockstar,Amanda Palmer
Do My Thing,Estelle
Do Something,Matthew West
Do You Love Me Like You Used To,Best Coast
Do You Think About Me,Carrie Underwood
Do You Think Of Me,Misha B
Do You...,Miguel
Doing it Our Way,Gloriana
Don't Be Scared,Trey Songz
Don't Believe Everything You Think,Lee Brice
Don't Blame Yourself,Sixpence None the Richer
Don't Count on the Wicked,Billy Talent
Don't Drop That Thun Thun,Finatticz
Don't Fail Me Now,Melanie Amaro
Don't Forget Your Hat,Mark Knopfler
Don't Give Up,Kevin Rudolf
Don't Judge Me,Chris Brown
Don't Leave Me,Nelly Furtado
Don't Leave Me (Ne Me Quitte Pas),Regina Spektor
Don't Let Me Die,Bobby Brown
Don't Rush,Kelly Clarkson
Don't Save Me,Haim
Don't Shoot She Cried,The Dandy Warhols
Don't Stop The Party,Pitbull
Don't Take Me Back,Lukas Nelson and Promise of the Real
Don't Wake Me Up,Chris Brown
Don't Ya,Brett Eldredge
Don't You Worry Child,Swedish House Mafia
Doom and Gloom,The Rolling Stones
Double Lifetime,Loudon Wainwright III
Down,Thousand Foot Krutch
Down In The Woods,Richard Hawley
DoYaThing,Gorillaz
Dragonfly,Paul Weller
Dreaming the Same Dream,No Doubt
Dreams and Disasters,Owl City
Dreams and Nightmares,Meek Mill
Dreams So Real,Metric
Dressin' Up,Katy Perry
Drifters,Paul Weller
Driftin' Back,Neil Young & Crazy Horse
Drink One For Me,Jason Aldean
Drinking From the Bottle,Calvin Harris
Drinking Side of Country,Bucky Covington
Drive By,Train
Drive Me,Phillip Phillips
Drive Me Crazy,Kip Moore
Drivin' Around Song,Colt Ford
Drunken Physics,Cancer Bats
Dull Tool,Fiona Apple
Dumpster World,Band of Horses
Duquesne Whistle,Bob Dylan
Dust On My Shoes,Tanita Tikaram
Dyslexicon,The Mars Volta
Eagle Song,The Staves
Early Roman Kings,Bob Dylan
Easy Money,Bruce Springsteen
Edge of Destruction,Machine Gun Kelly
Edge of Evolution,Alanis Morissette
Ego Music,Pet Shop Boys
Eight Of Swords,Huntress
El Cerrito Place,Kenny Chesney
Electric Candyman,Flying Lotus
Electric Sky,Milla Jovovich
Elephant,Alexandra Burke
Elephant,Tame Impala
Embers,Owl City
Emily,Mika
Emmylou,First Aid Kit
Empathy,Alanis Morissette
End of the Line,Sleigh Bells
End Of Time,Lacuna Coil
Endless Summer,Aaron Lewis
Enemies,Shinedown
Enemy,Nelly Furtado
Enemy,The Weeknd
Enough of No Love,Keyshia Cole
Enough Said,Aaliyah
Eternity,Paul van Dyk
Euphoria,Loreen
Euphoria,Usher
Even If,Kutless
Ever Enough,A Rocket to the Moon
Every Inch Of You,The Darkness
Every Night I Say A Prayer,Little Boots
Every Single Night,Fiona Apple
Every Storm (Runs Out of Rain),Gary Allan
Everybody Have A Good Time,The Darkness
Everyday Birthday,Swizz Beatz
Everyone Will Die,Motion City Soundtrack
Everything But You,Kip Moore
Everything Has Changed,Taylor Swift
Everything Is Embarrassing,Sky Ferreira
Everything Is Sound (La La La),Jason Mraz
Everything That I Got,Kristine W
Everything Wrong,Martha Wainwright
Exorcismic Breeding Knife,Of Montreal
Explode,Cover Drive
Explorers,Muse
Explosions,Ellie Goulding
Express Yourself,Labrinth
Eye on It,tobyMac
Eyeoneye,Andrew Bird
Eyes Open,Taylor Swift
Eyez,P.O.D.
F--k Time,Green Day
Facemelt,Rita Ora
Fade Into You,Sam Palladio and Clare Bowen
Faded,Tyga
Fading Listening,Shiny Toy Guns
Failbait,Deadmau5
Failure,Sixpence None the Richer
Faith When I Fall,Kip Moore
Faithful,Hawk Nelson
Fall,Justin Bieber
Fall From the Grace Of Love,Don Felder
Fall In Love,Rita Ora
Fall of '82,The Shins
Fallen World,DragonForce
Falling Free,Madonna
Family,Joe Walsh
Family,tobyMac
Fanatic,Heart
Far and Away,Slash
Fatal Shore,Andrew Bird
Father Time,Animal Collective
Fatty Boom Boom,Die Antwoord
Feather On The Clyde,Passenger
Feel Again,OneRepublic
Feel Alive,Fergie
Feel Like a Rock Star,Kenny Chesney
Feel That Again,Jason Aldean
Feel The Love,Rudimental
Feel This Moment,Pitbull
Feel to Follow,The Maccabees
Feelin' Single,R. Kelly
Feels Good At First,Train
Feels So Real,Edens Edge
Felt,Garbage
Females Welcomed,Trinidad James
Fiction,The xx
Figure 8,Ellie Goulding
Figure It Out,Serj Tankian
Filth Friends Unite,I See Stars
Finally Found You,Enrique Iglesias
Find Me a Baby,Josh Turner
Find Our Way,Our Lady Peace
Fingers Never Bleed,Yeasayer
Fire,Raghav
Fire,Jake Bugg
Fire Burns,Nicki Minaj
Fire From the Sky,Shadows Fall
Fire in the Henhouse,Our Lady Peace
Fire Over Water,DJ Fresh
Fire We Make,Alicia Keys
Fireflies,Leona Lewis
Firewood,Regina Spektor
First Kiss,A Rocket to the Moon
First Steps,Elbow
Fish Weren't Bitin',Craig Morgan
Fitzpleasure,Alt-J
Fjögur píanó,Sigur Rós
Flaws,Bastille
Flesh And Bone,The Killers
Flower,Kylie Minogue
Flutes,Hot Chip
Fly on the Wall,Thousand Foot Krutch
Folk Hero Shtick,Yeasayer
Follow Me,Muse
For A Fool,The Shins
For All,Far East Movement
For Baltimore,All Time Low
For My Sake,Shinedown
For The Animals,The Cult
For the Love of God,Josh Turner
For the Record,Kathleen Edwards
For The Rest Of My Life,Third Day
For You,Keith Urban
Forever,Aaron Lewis
Forever,Haim
Forever Changed,Carrie Underwood
Forever I've Known,The Maccabees
Forget,Lianne La Havas
Forgiveness,Matthew West
Forgiveness,tobyMac
Forrest Gump,Frank Ocean
Fraction of a Man,Jerrod Niemann
Frank D Fixer,Jason Mraz
Freak,Kiss
Freak Like Me,Santigold
Freakshow,Hinder
Free,Haley Reinhart
Free Drunk,Howler
Free The House,Halfnoise
Freedom,Nicki Minaj
Freedom at 21,Jack White
Freedom Fighter,Aerosmith
Friends We Won't Forget,Lee Brice
Front Porch Thing,Little Big Town
Fu--in' Problems,A$AP Rocky
Fuji-san,Patti Smith
Fumble,Trey Songz
Funk 50,Joe Walsh
Future This,The Big Pink
G Season,T.I.
"Gandhi Mate, Gandhi",Enter Shikari
Gang Bang,Madonna
Gangnam Style,Psy
Gas Pedal,Sage The Gemini
Gaucho,Dave Matthews Band
Get Got,Toby Keith
Get It Over With,Rihanna
Get It Started,Pitbull
Get Lost,The Gossip
Get Low,Waka Flocka Flame
Get Out My Head,Redlight
Get Up (A Cowboys Anthem),Kelly Clarkson
Get Your Shine On,Florida Georgia Line
Ghetto Baby,Cheryl Cole
Ghetto Dreams,2 Chainz
Ghost Town,The Vaccines
Ghosts That We Knew,Mumford & Sons
Giants,The Stranglers
Gift of Acceptance,India.Arie
Gimme Money,Ester Dean
Gimme Twice,The Royal Concept
Girl Gone Wild,Madonna
Girl In The Mirror,Cheryl Cole
Girl On Fire,Alicia Keys
Girls In Black,Don Felder
Give It All We Got Tonight,George Strait
Give it Up,The Big Pink
Give Me a Reason,Three Days Grace
Give Me All Your Luvin',Madonna
Give Me Life,JLS
Give Me Love,The Used
Give Out,Sharon Van Etten
Given To The Wild (Intro),The Maccabees
Glass Of The Microscope,Yeasayer
Glassheart,Leona Lewis
Glissandra,Smashing Pumpkins
Glitters Like Gold,The Cribs
Glory,Jay-Z
Gluttony,Buckcherry
Go Hard (La.La.La),Kreayshawn
Go On…Miss Me,Gloriana
Go Right Ahead,The Hives
God Forsaken,Demon Hunter
God From the Machine,Santigold
God Help This Divorce,Miike Snow
God Save Rock n Roll,Kid Rock
God Wants Us to Wait,Magnetic Fields
God With Us,Jeremy Camp
"God, Drugs & Sex",Anberlin
Gods and Monsters,Lana Del Rey
Goin' In,Jennifer Lopez
Goin' to the Party,Alabama Shakes
Going Down To Monte Carlo,Van Morrison
Going Home,Leonard Cohen
Going Nowhere,Little Mix
Gold,Owl City
Gold Rush,Gloriana
Gold Trans Am,Kesha
Golden Rule,Lukas Nelson and Promise of the Real
Goldie,A$AP Rocky
Goldrushed,The Royal Concept
Gone,My Darkest Days
Gone Sovereign,Stone Sour
"Gone, Gone, Gone",Phillip Phillips
Gonzo,The All-American Rejects
Good Girl,Carrie Underwood
Good in Goodbye,Carrie Underwood
Good Intentions,Dappy
Good Kid,Kendrick Lamar
Good Morning,Norah Jones
Good Morning To the Night,Elton John vs Pnau
Good Ol' Days,The Script
Good Time,Owl City
Goodbye In Her Eyes,Zac Brown Band
Goodbyes,3 Doors Down
"Goodnight, Fair Lady",Coheed and Cambria
Gorilla,Bruno Mars
Gospel,Robbie Williams
Gossip,Big Boi
Got Everything,Wiz Khalifa
Got Me Good,Ciara
Gotham's Reckoning,Hans Zimmer
Grandaddy's Gun,Aaron Lewis
Gravity,Lecrae
Gravity,No Doubt
Green,Paul Weller
Grew up at Midnight,The Maccabees
Greyhound,Swedish House Mafia
Guap,Big Sean
Guardian,Alanis Morissette
Guggenheim,The Ting Tings
Gumby,Aimee Mann
Gun Has No Trigger,Dirty Projectors
Gun Shot,Nicki Minaj
Guns and Roses,T.I.
Hail Mary,Trey Songz
Halcyon,Ellie Goulding
Half Of Me,Rihanna
Half Of The World,Paul Buchanan
Hall Of Fame,The Script
Halo,Slash
Halo Effect,Rush
Hand On Heart,Olly Murs
Hands and Faces,The Used
Handshake,Two Door Cinema Club
Handsome Devils Club,Pure Love
Handwritten,The Gaslight Anthem
Hang Loose,Alabama Shakes
Hanging On,Ellie Goulding
Happiness,Three Days Grace
Happy Anniversary,Motion City Soundtrack
Happy Christmas,Colbie Caillat
Happy Karma Christmas,Sufjan Stevens
Happy New Year,Kid Rock
Happy Pills,Norah Jones
Harakiri,Serj Tankian
Hard & Fast,Slash
Hard to Love,Lee Brice
Hard Way Home,Brandi Carlile
Harlem Shake,Baauer
Harry Is Our Man - Redknapp For England!,Kunt and the Gang
Hatin' Joint,ScHoolboy Q
Haven't Had A Drink All Day,Toby Keith
Haven't Seen The Last Of You,Toby Keith
Havoc,Alanis Morissette
"He Ain't Heavy, He's My Brother",The Justice Collective
Head to Toe,Olly Murs
Headlights,Morning Parade
Headlong Flight,Rush
Headphones,Little Boots
Heart Attack,Trey Songz
Heart Of A Girl,The Killers
Heart on Loan,Lostprophets
Heartbeat Slowing Down,The All-American Rejects
Heartbreaker,Alabama Shakes
Heatwave,Wiley
Heavy Love,Serena Ryder
Heavy Prey,Lacey Sturm
Hell Above,Pierce the Veil
Hell Or Hallelujah,Kiss
Hello,Karmin
"Hello Tyrannosaurus, Meet Tyrannicide",Enter Shikari
