"title","artist","hit"
"4, 5, 6","Sole Featuring JT Money & Kandi",1
"Bug A Boo","Destiny's Child",1
"N 2 Gether Now","Limp Bizkit Featuring Method Man",1
"Don't Say You Love Me","M2M",1
"Still D.R.E.","Dr. Dre Featuring Snoop Dogg",1
"She Thinks My Tractor's Sexy","Kenny Chesney",1
"Maria Maria","Santana Featuring The Product G&B",1
"There You Go","P!nk",1
"American Pie","Madonna",1
"Only God Knows Why","Kid Rock",1
"I Try","Macy Gray",1
"Another Dumb Blonde","Hoku",1
"Dear Lie","TLC",1
"Otherside","Red Hot Chili Peppers",1
"You Sang To Me","Marc Anthony",1
"Anything","JAY-Z",1
"Been There","Clint Black With Steve Wariner",1
"Feelin' So Good","Jennifer Lopez Featuring Big Pun & Fat Joe",1
"I Need A Hot Girl","Hot Boys",1
"Do What You Gotta Do","Garth Brooks",1
"That's What I'm Looking For","Da Brat",1
"Party Up (Up In Here)","DMX",1
"Carlene","Phil Vassar",1
"No Leaf Clover","Metallica",1
"Whoa!","Black Rob",1
"Best Friend","Puff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe",1
"Left, Right, Left","Drama",1
"U Don't Love Me","Kumbia Kings Featuring A.B. Quintanilla",1
"Baby Don't Cry (Keep Ya Head Up II)","2Pac + Outlawz",1
"I Learned From The Best","Whitney Houston",1
"It Was","Chely Wright",1
"Daddy Won't Sell The Farm","Montgomery Gentry",1
"Stay Or Let It Go","Brian McKnight",1
"Still In My Heart","Tracie Spencer",1
"Freakin' It","Will Smith",1
"Get Up","Amel Larrieux",1
"Goodbye Earl","Dixie Chicks",1
"Try Again","Aaliyah",1
"Higher","Creed",1
"He Wasn't Man Enough","Toni Braxton",1
"The Bad Touch","Bloodhound Gang",1
"The Way You Love Me","Faith Hill",1
"Be With You","Enrique Iglesias",1
"I Wish","Carl Thomas",1
"Buy Me A Rose","Kenny Rogers With Alison Krauss & Billy Dean",1
"She's More","Andy Griggs",1
"You Owe Me","NAS Featuring Ginuwine",1
"Where You Are","Jessica Simpson Featuring Nick Lachey",1
"Couldn't Last A Moment","Collin Raye",1
"Shackles (Praise You)","Mary Mary",1
"I Belong To You","Lenny Kravitz",1
"Private Emotion","Ricky Martin Featuring Meja",1
"What I Need To Do","Kenny Chesney",1
"Ryde Or Die, Chick","The Lox Featuring Timbaland And EVE",1
"Mr. Too Damn Good","Gerald Levert",1
"Can't Stay","Dave Hollister",1
"Real Live Woman","Trisha Yearwood",1
"Mirror Mirror","M2M",1
"Whistle While You Twurk","Ying Yang Twins",1
"I'm Outta Love","Anastacia",1
"Swear It Again","Westlife",1
"Unconditional","Clay Davidson",1
"If You Don't Wanna Love Me","Tamar Braxton",1
"No Mercy","Ty Herndon",1
"Wobble Wobble","504 Boyz",1
"This Time Around","Hanson",1
"Oops!...I Did It Again","Britney Spears",1
"I Turn To You","Christina Aguilera",1
"Separated","Avant",1
"Crash And Burn","Savage Garden",1
"Bent","matchbox twenty",1
"Big Pimpin'","Jay-Z Featuring UGK",1
"Better Off Alone","Alice Deejay",1
"Someday Out Of The Blue","Elton John",1
"Broadway","Goo Goo Dolls",1
"Graduation (Friends Forever)","Vitamin C",1
"The Chain Of Love","Clay Walker",1
"Yes!","Chad Brock",1
"Best Of Me","Mya Featuring Jadakiss",1
"Where I Wanna Be","Donell Jones",1
"Kryptonite","3 Doors Down",1
"The Real Slim Shady","Eminem",1
"Purest Of Pain (A Puro Dolor)","Son By Four",1
"I Don't Wanna Kiss You Goodnight","LFO",1
"It's So Hard","Big Punisher Featuring Donell Jones",1
"Give Me You","Mary J. Blige",1
"Let's Get Married","Jagged Edge",1
"It's Gonna Be Me","'N Sync",1
"Another Nine Minutes","Yankee Grey",1
"More","Trace Adkins",1
"Absolutely (Story Of A Girl)","Nine Days",1
"Back Here","BBMak",1
"Prayin' For Daylight","Rascal Flatts",1
"Flowers On The Wall","Eric Heatherly",1
"(Hot S**t) Country Grammar","Nelly",1
"The One","Backstreet Boys",1
"I Hope You Dance","Lee Ann Womack",1
"Desert Rose","Sting Featuring Cheb Mami",1
"Wifey","Next",1
"Jumpin', Jumpin'","Destiny's Child",1
"Dance Tonight","Lucy Pearl",1
"Some Things Never Change","Tim McGraw",1
"The Next Episode","Dr. Dre Featuring Snoop Dogg",1
"I Need You","LeAnn Rimes",1
"What'Chu Like","Da Brat Featuring Tyrese",1
"I'll Be","Reba McEntire",1
"With Arms Wide Open","Creed",1
"Monica","Before Dark",1
"I Disappear","Metallica",1
"Shut Up","Trick Daddy Featuring Duece Poppito, Trina, Co",1
"Nothing As It Seems","Pearl Jam",1
"Me Neither","Brad Paisley",1
"3 Little Words","Nu Flavor",1
"Love Sets You Free","Kelly Price & Friends",1
"Crybaby","Mariah Carey Featuring Snoop Dogg",1
"Doesn't Really Matter","Janet",1
"Simple Kind Of Life","No Doubt",1
"I Wanna Be With You","Mandy Moore",1
"I Will Love Again","Lara Fabian",1
"I Think God Can Explain","Splender",1
"I Think I'm In Love With You","Jessica Simpson",1
"What About Now","Lonestar",1
"Incomplete","Sisqo",1
"That's The Way","Jo Dee Messina",1
"Could I Have This Kiss Forever","Whitney Houston & Enrique Iglesias",1
"Same Script, Different Cast","Whitney Houston & Deborah Cox",1
"Whatever","Ideal Featuring Lil' Mo",1
"It Must Be Love","Alan Jackson",1
"No More","Ruff Endz",1
"Taking You Home","Don Henley",1
"Cold Day In July","Dixie Chicks",1
"One Voice","Billy Gilman",1
"You'll Always Be Loved By Me","Brooks & Dunn",1
"Take That","Torrey Carter Featuring Missy ""Misdemeanor"" Elliott",1
"When You Need My Love","Darryl Worley",1
"Riddle","En Vogue",1
"What You Want","DMX Featuring Sisqo",1
"Got Beef","Snoop Dogg Presents Tha Eastsidaz Featuring Jayo Felony And Blaqthoven",1
"Wonderful","Everclear",1
"Faded","SoulDecision Featuring Thrust",1
"Come On Over Baby (All I Want Is You)","Christina Aguilera",1
"Change Your Mind","Sister Hazel",1
"No Matter What They Say","Lil' Kim",1
"I Will...But","SHeDAISY",1
"As We Lay","Kelly Price",1
"Don't Think I'm Not","Kandi",1
"Just Be A Man About It","Toni Braxton",1
"Last Resort","Papa Roach",1
"Californication","Red Hot Chili Peppers",1
"Your Everything","Keith Urban",1
"The Light","Common",1
"Treat Her Like A Lady","Joe",1
"Sour Girl","Stone Temple Pilots",1
"Country Comes To Town","Toby Keith",1
"Who Let The Dogs Out","Baha Men",1
"Dance With Me","Debelah Morgan",1
"Callin' Me","Lil' Zane Featuring 112",1
"Got It All","Eve & Jadakiss",1
"Don't Call Me Baby","Madison Avenue",1
"West Side Story","LFO",1
"Cherchez LaGhost","Ghostface Killah",1
"Dancing Queen","A*Teens",1
"Music","Madonna",1
"Bounce With Me","Lil Bow Wow Featuring Xscape",1
"Lucky","Britney Spears",1
"Give Me Just One Night (Una Noche)","98 Degrees",1
"Most Girls","P!nk",1
"Shake Ya Ass","Mystikal",1
"Bag Lady","Erykah Badu",1
"It's My Life","Bon Jovi",1
"Case Of The Ex (Whatcha Gonna Do)","Mya",1
"You're A God","Vertical Horizon",1
"It's Always Somethin'","Joe Diffie",1
"Go On","George Strait",1
"Kiss This","Aaron Tippin",1
"Let's Make Love","Faith Hill With Tim McGraw",1
"The Way I Am","Eminem",1
"Aaron's Party (Come Get It)","Aaron Carter",1
"Open My Heart","Yolanda Adams",1
"Best Of Intentions","Travis Tritt",1
"Deep Inside Of You","Third Eye Blind",1
"Feels Like Love","Vince Gill",1
"The Hardest Part Of Breaking Up (Is Getting Back Your Stuff)","2Gether",1
"Baby U Are","Gerald Levert",1
"Hey Papi","Jay-Z Featuring Memphis Bleek & Amil",1
"Ta Da","Lil' Mo",1
"Kernkraft 400","Zombie Nation",1
"Liar","Profyle",1
"Pinch Me","Barenaked Ladies",1
"Gotta Tell You","Samantha Mumba",1
"The Little Girl","John Michael Montgomery",1
"Between Me And You","Ja Rule Featuring Christina Milian",1
"Independent Women Part I","Destiny's Child",1
"This I Promise You","'N Sync",1
"There You Are","Martina McBride",1
"My Baby You","Marc Anthony",1
"That Other Woman","Changing Faces",1
"Just Another Day In Paradise","Phil Vassar",1
"Summer Rain","Carl Thomas",1
"Can't Fight The Moonlight","LeAnn Rimes",1
"Can't Go For That","Tamia",1
"What's Your Fantasy","Ludacris Featuring Shawnna",1
"Bad Boyz","Shyne Featuring Barrington Levy",1
"You Should've Told Me","Kelly Price",1
"That's The Kind Of Mood I'm In","Patty Loveless",1
"You Won't Be Lonely Now","Billy Ray Cyrus",1
"He Loves U Not","Dream",1
"Pull Over","Trina",1
"Shape Of My Heart","Backstreet Boys",1
"She Bangs","Ricky Martin",1
"E.I.","Nelly",1
"If You're Gone","matchbox twenty",1
"I Just Wanna Love U (Give It 2 Me)","JAY-Z",1
"Without You","Dixie Chicks",1
"We Danced","Brad Paisley",1
"911","Wyclef Jean Featuring Mary J. Blige",1
"Just Friends (Sunny)","Musiq",1
"My Next Thirty Years","Tim McGraw",1
"It Wasn't Me","Shaggy Feat. Ricardo ""RikRok"" Ducent",1
"Crazy For This Girl","Evan And Jaron",1
"I Lost It","Kenny Chesney",1
"Girls Dem Sugar","Beenie Man Featuring Mya",1
"Born To Fly","Sara Evans",1
"Pop Ya Collar","Usher",1
"Beautiful Day","U2",1
"My First Love","Avant Featuring KeKe Wyatt",1
"Loser","3 Doors Down",1
"Sleepwalker","The Wallflowers",1
"Hemorrhage (In My Hands)","Fuel",1
"www.memory","Alan Jackson",1
"Stan","Eminem Featuring Dido",1
"What Means The World To You","Cam'ron",1
"My Love Goes On And On","Chris Cagle",1
"No More (Baby I'ma Do Right)","3LW",1
"Straight Up","Chante Moore",1
"Ms. Jackson","OutKast",1
"Again","Lenny Kravitz",1
"Tell Her","Lonestar",1
"Emotional","Carl Thomas",1
"So In Love With Two","Mikaila",1
"Rollin'","Limp Bizkit",1
"If I Am","Nine Days",1
"Stronger","Britney Spears",1
"Original Prankster","The Offspring",1
"Babylon","David Gray",1
"How Many Licks?","Lil' Kim Featuring Sisqo",1
"Burn","Jo Dee Messina",1
"Meanwhile Back At The Ranch","The Clark Family Experience",1
"Bow Wow (That's My Name)","Lil Bow Wow",1
"The Itch","Vitamin C",1
"Oklahoma","Billy Gilman",1
"Do You","Funkmaster Flex Featuring DMX",1
"South Side","Moby Featuring Gwen Stefani",1
"Spanish Guitar","Toni Braxton",1
"Liquid Dreams","O-Town",1
"Love Don't Cost A Thing","Jennifer Lopez",1
"Danger (Been So Long)","Mystikal Featuring Nivea",1
"Don't Tell Me","Madonna",1
"Crazy","K-Ci & JoJo",1
"Mamacita","Public Announcement",1
"The Christmas Shoes","NewSong",1
"My Everything","98 Degrees",1
"Project Chick","Cash Money Millionaires",1
"Promise","Jagged Edge",1
"One Woman Man","Dave Hollister",1
"Put It On Me","Ja Rule Featuring Lil' Mo & Vita",1
"Angel","Shaggy Featuring Rayvon",1
"It's Over Now","112",1
"Where Are You Christmas?","Faith Hill",1
"Ashes By Now","Lee Ann Womack",1
"Still On Your Side","BBMak",1
"You Make Me Sick","P!nk",1
"Is That Your Chick","Memphis Bleek Featuring Jay-Z & Missy Elliott",1
"Stutter","Joe Featuring Mystikal",1
"Butterfly","Crazy Town",1
"X","Xzibit",1
"There Is No Arizona","Jamie O'Neal",1
"Could It Be","Jaheim",1
"Thank You In Advance","Boyz II Men",1
"Wild Horses","Garth Brooks",1
"But For The Grace Of God","Keith Urban",1
"You Shouldn't Kiss Me Like This","Toby Keith",1
"This Everyday Love","Rascal Flatts",1
"Oh No","Mos Def & Pharoahe Monch Featuring Nate Dogg",1
"Bouncing Off The Ceiling (Upside Down)","A*Teens",1
"Lady (Hear Me Tonight)","Modjo",1
"A Little Gasoline","Terri Clark",1
"Cha-Cha Slide","Mr. C The Slide Man",1
"I Know","Sunday",1
"All Good?","De La Soul Featuring Chaka Khan",1
"Nobody Wants To Be Lonely","Ricky Martin Duet With Christina Aguilera",1
"Jaded","Aerosmith",1
"Thank You","Dido",1
"Southern Hospitality","Ludacris",1
"Stranger In My House","Tamia",1
"One More Day","Diamond Rio",1
"Who I Am","Jessica Andrews",1
"Outside","Aaron Lewis Of Staind With Fred Durst",1
"I Did It","Dave Matthews Band",1
"After Party","Koffee Brown",1
"Free","Mya",1
"Snoop Dogg","Snoop Dogg",1
"Breathless","The Corrs",1
"A Good Day To Run","Darryl Worley",1
"If My Heart Had Wings","Faith Hill",1
"By Your Side","Sade",1
"Soul Sista","Bilal",1
"Pour Me","Trick Pony",1
"You All Dat","Baha Men With Imani Coppola",1
"Georgia","Carolyn Dawn Johnson",1
"Change The Game","Jay-Z, Beanie Sigel And Memphis Bleek",1
"Around The World (La La La La La)","ATC",1
"Ride Wit Me","Nelly Featuring City Spud",1
"Hanging By A Moment","Lifehouse",1
"A Long Walk","Jill Scott",1
"Who's That Girl?","Eve",1
"The Call","Backstreet Boys",1
"Love","Musiq Soulchild",1
"Thank You For Loving Me","Bon Jovi",1
"Don't Talk","Jon B",1
"Drive","Incubus",1
"Never Had A Dream Come True","S Club 7",1
"Just Another Girl","Monica",1
"Best I Ever Had (Grey Sky Morning)","Vertical Horizon",1
"I'm Like A Bird","Nelly Furtado",1
"So Fresh, So Clean","OutKast",1
"One Step Closer","Linkin Park",1
"Oochie Wally","QB Finest Featuring Nas & Bravehearts",1
"It's A Great Day To Be Alive","Travis Tritt",1
"One More Time","Daft Punk",1
"Missing You","Case",1
"Look At Us","Sarina Paris",1
"Get Crunked Up","Iconz Featuring Tony Manshino",1
"Chickenhead","Project Pat",1
"Cross The Border","Philly's Most Wanted",1
"All For You","Janet",1
"Survivor","Destiny's Child",1
"Get Over Yourself","Eden's Crush",1
"Heard It All Before","Sunshine Anderson",1
"Follow Me","Uncle Kracker",1
"Ain't Nothing 'Bout You","Brooks & Dunn",1
"Don't Happen Twice","Kenny Chesney",1
"Drops Of Jupiter (Tell Me)","Train",1
"Get Ur Freak On","Missy ""Misdemeanor"" Elliott",1
"If I Fall You're Going Down With Me","Dixie Chicks",1
"She Misses Him","Tim Rushlow",1
"Maybe I Deserve","Tank",1
"Yellow","Coldplay",1
"Grown Men Don't Cry","Tim McGraw",1
"Fiesta","R. Kelly Featuring Jay-Z",1
"Lay Low","Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz",1
"Mrs. Steven Rudy","Mark McGuinn",1
"Request Line","The Black Eyed Peas Featuring Macy Gray",1
"Take It To Da House","Trick Daddy Featuring The SNS Express",1
"Video","India.Arie",1
"What Would You Do?","City High",1
"Bizounce","Olivia",1
"Lucky 4 You (Tonight I'm Just Me)","SHeDAISY",1
"Superwoman Pt. II","Lil' Mo Featuring Fabolous",1
"Lady Marmalade","Christina Aguilera, Lil' Kim, Mya & P!nk",1
"Play","Jennifer Lopez",1
"Peaches & Cream","112",1
"Let Me Blow Ya Mind","Eve Featuring Gwen Stefani",1
"Until The End Of Time","2Pac",1
"Right Where I Need To Be","Gary Allan",1
"It's Been Awhile","Staind",1
"If You Can Do Anything Else","George Strait",1
"I Like Them Girls","Tyrese",1
"I Could Not Ask For More","Sara Evans",1
"There It Is","Ginuwine",1
"Mad Season","matchbox twenty",1
"I'm Already There","Lonestar",1
"Two People Fell In Love","Brad Paisley",1
"She Couldn't Change Me","Montgomery Gentry",1
"What It Feels Like For A Girl","Madonna",1
"Puppy Love","Lil Bow Wow Featuring Jagged Edge",1
"My Way","Limp Bizkit",1
"When Somebody Loves You","Alan Jackson",1
"Rose Bouquet","Phil Vassar",1
"Guilty Until Proven Innocent","Jay-Z Featuring R. Kelly",1
"Hit 'Em Up Style (Oops!)","Blu Cantrell",1
"Can't Believe","Faith Evans Featuring Carl Thomas",1
"La Bomba","Azul Azul",1
"I Cry","Ja Rule Featuring Lil' Mo",1
"That's How I Beat Shaq","Aaron Carter",1
"My Baby","Lil' Romeo",1
"There You'll Be","Faith Hill",1
"Pop","'N Sync",1
"Irresistible","Jessica Simpson",1
"Baby, Come Over (This Is Our Night)","Samantha Mumba",1
"This Is Me","Dream",1
"Wait A Minute","Ray J Featuring Lil' Kim",1
"Where The Party At","Jagged Edge With Nelly",1
"More Than That","Backstreet Boys",1
"When It's Over","Sugar Ray",1
"We Need A Resolution","Aaliyah Featuring Timbaland",1
"The Space Between","Dave Matthews Band",1
"Let's Get It","Three The... G. Dep, P. Diddy & Black Rob",1
"I Do!!","Toya",1
"Everybody Doesn't","Amanda",1
"There She Goes","Babyface",1
"Dream On","Depeche Mode",1
"Playas Gon' Play","3LW",1
"Imitation Of Life","R.E.M.",1
"Austin","Blake Shelton",1
"What I Really Meant To Say","Cyndi Thomson",1
"Bootylicious","Destiny's Child",1
"U Remind Me","Usher",1
"All Or Nothing","O-Town",1
"Fill Me In","Craig David",1
"Someone To Call My Lover","Janet",1
"Here's To The Night","Eve 6",1
"I Wanna Be Bad","Willa Ford",1
"Flavor Of The Weak","American Hi-Fi",1
"When I Think About Angels","Jamie O'Neal",1
"I'm Just Talkin' About Tonight","Toby Keith",1
"Where The Blacktop Ends","Keith Urban",1
"Downtime","Jo Dee Messina",1
"She's All I Got","Jimmy Cozier",1
"Loverboy","Mariah Carey Featuring Cameo",1
"Schism","Tool",1
"While You Loved Me","Rascal Flatts",1
"Just In Case","Jaheim",1
"What It Is","Violator Featuring Busta Rhymes",1
"Fallin'","Alicia Keys",1
"Purple Hills","D12",1
"Midwest Swing","St. Lunatics",1
"I'm Real","Jennifer Lopez Featuring Ja Rule",1
"Take You Out","Luther Vandross",1
"Contagious","The Isley Brothers Featuring Ronald Isley",1
"One Minute Man","Missy ""Misdemeanor"" Elliott",1
"Izzo (H.O.V.A.)","JAY-Z",1
"Area Codes","Ludacris Featuring Nate Dogg",1
"Family Affair","Mary J. Blige",1
"I'm A Believer","Smash Mouth",1
"Bad Boy For Life","P. Diddy, Black Rob & Mark Curry",1
"The Way","Jill Scott",1
"Start The Commotion","The Wiseguys",1
"Only Time","Enya",1
"Bad Day","Fuel",1
"Only In America","Brooks & Dunn",1
"I'm A Thug","Trick Daddy",1
"Be Like That","3 Doors Down",1
"The Rock Show","Blink-182",1
"Differences","Ginuwine",1
"Laredo","Chris Cagle",1
"I Would've Loved You Anyway","Trisha Yearwood",1
"Why They Call It Falling","Lee Ann Womack",1
"Miss California","Dante Thomas Featuring Pras",1
"Can't Deny It","Fabolous Featuring Nate Dogg",1
"Just A Baby Boy","Snoop Dogg Featuring Tyrese & Mr. Tan",1
"Sandstorm","Darude",1
"I'll Fly With You (L'amour Toujours)","Gigi D'Agostino",1
"On A Night Like This","Trick Pony",1
"My Projects","Coo Coo Cal",1
"Castles In The Sky","Ian Van Dahl Featuring Marsha",1
"Because I Got High","Afroman",1
"Turn Off The Light","Nelly Furtado",1
"Every Other Time","LFO",1
"Angry All The Time","Tim McGraw",1
"Feelin' On Yo Booty","R. Kelly",1
"Everywhere","Michelle Branch",1
"Set It Off","Juvenile",1
"Superman (It's Not Easy)","Five For Fighting",1
"Clint Eastwood","Gorillaz",1
"Where I Come From","Alan Jackson",1
"Smooth Criminal","Alien Ant Farm",1
"Six-Pack Summer","Phil Vassar",1
"Fat Lip","Sum 41",1
"Livin' It Up","Ja Rule Featuring Case",1
"Raise Up","Petey Pablo",1
"Crawling","Linkin Park",1
"Girl Next Door","Musiq Soulchild Featuring Ayana",1
"AM To PM","Christina Milian",1
"Bia' Bia'","Lil Jon & The East Side Boyz Featuring Ludacris, Too Short, Big Kap & Chyna Whyte",1
"Don't Mess With The Radio","Nivea",1
"Ugly","Bubba Sparxxx",1
"Ghetto Girls","Lil Bow Wow",1
"You Rock My World","Michael Jackson",1
"Rock The Boat","Aaliyah",1
"Hero","Enrique Iglesias",1
"Lifetime","Maxwell",1
"What's Going On","All Star Tribute",1
"Gone","'N Sync",1
"How You Remind Me","Nickelback",1
"God Bless The USA","Lee Greenwood",1
"Emotion","Destiny's Child",1
"Stuck In A Moment You Can't Get Out Of","U2",1
"U Got It Bad","Usher",1
"So Complicated","Carolyn Dawn Johnson",1
"Love Of My Life","Brian McKnight",1
"Love Of A Woman","Travis Tritt",1
"When God-Fearin' Women Get The Blues","Martina McBride",1
"You Gets No Love","Faith Evans",1
"What Am I Gonna Do","Tyrese",1
"I'm A Survivor","Reba",1
"Wish You Were Here","Incubus",1
"Angels In Waiting","Tammy Cochran",1
"What If","Babyface",1
"Do U Wanna Roll (Dolittle Theme)","R.L., Snoop Dogg & Lil' Kim",1
"John Doe","Public Announcement Featuring LeLe",1
"The Star Spangled Banner","Whitney Houston",1
"Shine","Lil' Wayne Featuring Baby, Mack 10 & Mickey",1
"Girls, Girls, Girls","JAY-Z",1
"Drowning","Backstreet Boys",1
"Caramel","City High Featuring Eve",1
"Where The Stars And Stripes And The Eagle Fly","Aaron Tippin",1
"Get The Party Started","P!nk",1
"My Sacrifice","Creed",1
"I Wanna Talk About Me","Toby Keith",1
"I'm A Slave 4 U","Britney Spears",1
"Dig In","Lenny Kravitz",1
"#1","Nelly",1
"Run","George Strait",1
"Riding With Private Malone","David Ball",1
"We Thuggin'","Fat Joe Featuring R. Kelly",1
"I'm Tryin'","Trace Adkins",1
"Fade","Staind",1
"With Me","Lonestar",1
"Whenever, Wherever","Shakira",1
"Wrapped Up In You","Garth Brooks",1
"Diddy","P. Diddy Featuring The Neptunes",1
"Control","Puddle Of Mudd",1
"Alive","P.O.D.",1
"In The End","Linkin Park",1
"Who We Be","DMX",1
"Lights, Camera, Action!","Mr. Cheeks",1
"A Woman's Worth","Alicia Keys",1
"Ballin' Out Of Control","Jermaine Dupri Featuring Nate Dogg",1
"Fatty Girl","Ludacris, LL Cool J & Keith Murray",1
"Always On Time","Ja Rule Featuring Ashanti",1
"Butterflies","Michael Jackson",1
"Wherever You Will Go","The Calling",1
"Son Of A Gun","Janet Featuring Missy Elliott, P. Diddy & Carly Simon",1
"Where Were You (When The World Stopped Turning)","Alan Jackson",1
"Standing Still","Jewel",1
"Good Morning Beautiful","Steve Holy",1
"Roll Out (My Business)","Ludacris",1
"Goodbye","Jagged Edge",1
"Wrapped Around","Brad Paisley",1
"Break Ya Neck","Busta Rhymes",1
"Brotha","Angie Stone",1
"From Her Mama (Mama Got A**)","Juvenile",1
"Don't You Forget It","Glenn Lewis",1
"Young'n (Holla Back)","Fabolous",1
"Hey Baby","No Doubt Featuring Bounty Killer",1
"7 Days","Craig David",1
"The Whole World","OutKast Featuring Killer Mike",1
"Bouncin' Back (Bumpin' Me Against The Wall)","Mystikal",1
"Uh Huh","B2K",1
"Blurry","Puddle Of Mudd",1
"No More Drama","Mary J. Blige",1
"Take Away","Missy ""Misdemeanor"" Elliott Featuring Ginuwine & Tweet",1
"The World's Greatest","R. Kelly",1
"Ain't It Funny","Jennifer Lopez Featuring Ja Rule",1
"Welcome To Atlanta","Jermaine Dupri & Ludacris",1
"Round And Round","Jonell & Method Man",1
"Let's Stay Home Tonight","Joe",1
"Bring On The Rain","Jo Dee Messina With Tim McGraw",1
"Part II","Method Man & Redman",1
"Nothing In This World","KeKe Wyatt Featuring Avant",1
"Chop Suey","System Of A Down",1
"Defy You","The Offspring",1
"Wasting My Time","Default",1
"The Long Goodbye","Brooks & Dunn",1
"Got Ur Self A...","Nas",1
"Never Too Far/Hero Medley","Mariah Carey",1
"Ooohhhwee","Master P Featuring Weebie",1
"God Bless America","Daniel Rodriguez",1
"What About Us?","Brandy",1
"Can't Get You Out Of My Head","Kylie Minogue",1
"The Cowboy In Me","Tim McGraw",1
"Blessed","Martina McBride",1
"Hey Luv (Anything)","Mobb Deep Featuring 112",1
"Some Days You Gotta Dance","Dixie Chicks",1
"Hands Clean","Alanis Morissette",1
"Jigga","JAY-Z",1
"Just Let Me Be In Love","Tracy Byrd",1
"More Than A Woman","Aaliyah",1
"In Another World","Joe Diffie",1
"I Love You","Faith Evans",1
"I'm Movin' On","Rascal Flatts",1
